NFR19,Source,Activity,Profile_ID,SNAP,GNFR
1A1ai,Power stations,Fuel oil,ENER_COG,1,A_PublicPower
1A1ai,Power stations,Gas oil,ENER_COG,1,A_PublicPower
1A1ai,Power stations,LPG,ENER_OTH,1,A_PublicPower
1A1ai,Power stations,Natural gas,ENER_GAS,1,A_PublicPower
1A1ai,Power stations,Landfill gas,ENER_BIO,1,A_PublicPower
1A1ai,Power stations,Sewage gas,ENER_BIO,1,A_PublicPower
1A1ai,Power stations,OPG,ENER_OTH,1,A_PublicPower
1A1ai,Power stations,Orimulsion,ENER_OTH,1,A_PublicPower
1A1ai,Power stations,Petroleum coke,ENER_OTH,1,A_PublicPower
1A1ai,Power stations,Straw,ENER_OTH,1,A_PublicPower
1A1ai,Power stations,Wood,ENER_OTH,1,A_PublicPower
1A1ai,Power stations,MSW,ENER_OTH,1,A_PublicPower
1A1ai,Power stations,Scrap tyres,ENER_OTH,1,A_PublicPower
1A1ai,Power stations,Sour gas,ENER_OTH,1,A_PublicPower
1A1ai,Power stations,Waste oils,ENER_OTH,1,A_PublicPower
1A1ai,Power stations,Poultry litter,ENER_OTH,1,A_PublicPower
1A1ai,Power stations,Liquid bio-fuels,ENER_BIO,1,A_PublicPower
1A1aiii,Heat supply,Landfill gas,MISC_ANY,1,A_PublicPower
1A1aiii,Heat supply,Sewage gas,MISC_ANY,1,A_PublicPower
1A1b,Refineries - combustion,Fuel oil,MISC_ANY,1,B_Industry
1A1b,Refineries - combustion,Gas oil,MISC_ANY,1,B_Industry
1A1b,Refineries - combustion,LPG,MISC_ANY,1,B_Industry
1A1b,Refineries - combustion,Refinery miscellaneous,MISC_ANY,1,B_Industry
1A1b,Refineries - combustion,Naphtha,MISC_ANY,1,B_Industry
1A1b,Refineries - combustion,Natural gas,MISC_ANY,1,B_Industry
1A1b,Refineries - combustion,OPG,MISC_ANY,1,B_Industry
1A1b,Refineries - combustion,Petrol,MISC_ANY,1,B_Industry
1A1b,Refineries - combustion,Petroleum coke,MISC_ANY,1,B_Industry
1A1b,Refineries - combustion,Burning oil,MISC_ANY,1,B_Industry
1A1c,Collieries - combustion,Coal,INDU_MIN_GEN,1,B_Industry
1A1c,Collieries - combustion,Colliery methane,INDU_MIN_GEN,1,B_Industry
1A1c,Collieries - combustion,Natural gas,INDU_MIN_GEN,1,B_Industry
1A1c,Gas production,Colliery methane,MISC_ANY,1,B_Industry
1A1c,Gas production,LPG,MISC_ANY,1,B_Industry
1A1c,Gas production,Natural gas,MISC_ANY,1,B_Industry
1A1c,Nuclear fuel production,Natural gas,MISC_ANY,1,B_Industry
1A1c,Upstream Oil Production - fuel combustion,Gas oil,INDU_MAN_PET,1,B_Industry
1A1c,Upstream Oil Production - fuel combustion,Natural gas,INDU_MAN_PET,1,B_Industry
1A1c,Solid smokeless fuel production,Coke,MISC_ANY,1,B_Industry
1A1c,Upstream oil and gas production - combustion at gas separation plant,LPG,INDU_MAN_PET,1,B_Industry
1A1c,Upstream oil and gas production - combustion at gas separation plant,OPG,INDU_MAN_PET,1,B_Industry
1A1c,Oil terminal: fuel combustion,Gas oil,INDU_MAN_PET,1,B_Industry
1A1c,Gas terminal: fuel combustion,Gas oil,INDU_MAN_PET,1,B_Industry
1A1c,Upstream Gas Production - fuel combustion,Gas oil,INDU_MAN_PET,1,B_Industry
1A1c,Upstream Gas Production - fuel combustion,Natural gas,INDU_MAN_PET,1,B_Industry
1A1c,Coke production,Blast furnace gas,INDU_MAN_CAP,1,B_Industry
1A1c,Coke production,Coke oven gas,INDU_MAN_CAP,1,B_Industry
1A1c,Coke production,Colliery methane,INDU_MAN_CAP,1,B_Industry
1A1c,Coke production,Natural gas,INDU_MAN_CAP,1,B_Industry
1A1c,Town gas manufacture,LPG,MISC_ANY,1,B_Industry
1A1c,Oil terminal: fuel combustion,Natural gas,INDU_MAN_PET,1,B_Industry
1A1c,Gas terminal: fuel combustion,Natural gas,INDU_MAN_PET,1,B_Industry
1A1c,Town gas manufacture,Burning oil,MISC_ANY,1,B_Industry
1A1c,Collieries - combustion,Coke oven gas,INDU_MIN_GEN,1,B_Industry
1A1c,Gas production,OPG,MISC_ANY,1,B_Industry
1A1c,Gas production,Town gas,MISC_ANY,1,B_Industry
1A1c,Town gas manufacture,Coal,MISC_ANY,1,B_Industry
1A1c,Town gas manufacture,Coke,MISC_ANY,1,B_Industry
1A1c,Town gas manufacture,Coke oven gas,MISC_ANY,1,B_Industry
1A1c,Town gas manufacture,Natural gas,MISC_ANY,1,B_Industry
1A1c,Solid smokeless fuel production,Natural gas,MISC_ANY,1,B_Industry
1A1ci,Coke production,Blast furnace gas,INDU_MAN_CAP,1,B_Industry
1A1ci,Coke production,Coke oven gas,INDU_MAN_CAP,1,B_Industry
1A1ci,Coke production,Colliery methane,INDU_MAN_CAP,1,B_Industry
1A1ci,Coke production,Natural gas,INDU_MAN_CAP,1,B_Industry
1A1ci,Solid smokeless fuel production,Coke,MISC_ANY,1,B_Industry
1A1ci,Solid smokeless fuel production,Natural gas,MISC_ANY,1,B_Industry
1A1cii,Upstream Oil Production - fuel combustion,Gas oil,INDU_MAN_PET,1,B_Industry
1A1cii,Upstream Oil Production - fuel combustion,Natural gas,INDU_MAN_PET,1,B_Industry
1A1cii,Oil terminal: fuel combustion,Gas oil,INDU_MAN_PET,1,B_Industry
1A1cii,Oil terminal: fuel combustion,Natural gas,INDU_MAN_PET,1,B_Industry
1A1cii,Gas terminal: fuel combustion,Gas oil,INDU_MAN_PET,1,B_Industry
1A1cii,Gas terminal: fuel combustion,Natural gas,INDU_MAN_PET,1,B_Industry
1A1cii,Upstream Gas Production - fuel combustion,Gas oil,INDU_MAN_PET,1,B_Industry
1A1cii,Upstream Gas Production - fuel combustion,Natural gas,INDU_MAN_PET,1,B_Industry
1A1cii,Upstream oil and gas production - combustion at gas separation plant,LPG,INDU_MAN_PET,1,B_Industry
1A1cii,Upstream oil and gas production - combustion at gas separation plant,OPG,INDU_MAN_PET,1,B_Industry
1A1ciii,Collieries - combustion,Coal,INDU_MIN_GEN,1,B_Industry
1A1ciii,Collieries - combustion,Coke oven gas,INDU_MIN_GEN,1,B_Industry
1A1ciii,Collieries - combustion,Colliery methane,INDU_MIN_GEN,1,B_Industry
1A1ciii,Collieries - combustion,Natural gas,INDU_MIN_GEN,1,B_Industry
1A1ciii,Gas production,Colliery methane,MISC_ANY,1,B_Industry
1A1ciii,Gas production,LPG,MISC_ANY,1,B_Industry
1A1ciii,Gas production,Natural gas,MISC_ANY,1,B_Industry
1A1ciii,Gas production,OPG,MISC_ANY,1,B_Industry
1A1ciii,Gas production,Town gas,MISC_ANY,1,B_Industry
1A1ciii,Nuclear fuel production,Natural gas,MISC_ANY,1,B_Industry
1A1ciii,Town gas manufacture,Burning oil,MISC_ANY,1,B_Industry
1A1ciii,Town gas manufacture,Coal,MISC_ANY,1,B_Industry
1A1ciii,Town gas manufacture,Coke,MISC_ANY,1,B_Industry
1A1ciii,Town gas manufacture,Coke oven gas,MISC_ANY,1,B_Industry
1A1ciii,Town gas manufacture,LPG,MISC_ANY,1,B_Industry
1A1ciii,Town gas manufacture,Natural gas,MISC_ANY,1,B_Industry
1A2a,Iron and steel - combustion plant,Blast furnace gas,INDU_MAN_IRO,3,B_Industry
1A2a,Iron and steel - combustion plant,Coal,INDU_MAN_IRO,3,B_Industry
1A2a,Iron and steel - combustion plant,Coke,INDU_MAN_IRO,3,B_Industry
1A2a,Iron and steel - combustion plant,Coke oven gas,INDU_MAN_IRO,3,B_Industry
1A2a,Iron and steel - combustion plant,Fuel oil,INDU_MAN_IRO,3,B_Industry
1A2a,Iron and steel - combustion plant,Gas oil,INDU_MAN_IRO,3,B_Industry
1A2a,Iron and steel - combustion plant,LPG,INDU_MAN_IRO,3,B_Industry
1A2a,Iron and steel - combustion plant,Natural gas,INDU_MAN_IRO,3,B_Industry
1A2a,Blast furnaces,Blast furnace gas,INDU_MAN_IRO,3,B_Industry
1A2a,Blast furnaces,Coke oven gas,INDU_MAN_IRO,3,B_Industry
1A2a,Blast furnaces,Natural gas,INDU_MAN_IRO,3,B_Industry
1A2a,Sinter production,Coke,INDU_PRO_GEN,3,B_Industry
1A2a,Iron and steel - combustion plant,Town gas,INDU_MAN_IRO,3,B_Industry
1A2a,Blast furnaces,LPG,INDU_MAN_IRO,3,B_Industry
1A2b,Autogenerators,Coal,INDU_PRO_GEN,3,B_Industry
1A2b,Autogeneration - exported to grid,Coal,INDU_PRO_GEN,3,B_Industry
1A2b,Non-Ferrous Metal (combustion),Coal,INDU_MAN_MET,3,B_Industry
1A2b,Non-Ferrous Metal (combustion),Fuel oil,INDU_MAN_MET,3,B_Industry
1A2b,Non-Ferrous Metal (combustion),Gas oil,INDU_MAN_MET,3,B_Industry
1A2b,Non-Ferrous Metal (combustion),Natural gas,INDU_MAN_MET,3,B_Industry
1A2c,Ammonia production - combustion,Natural gas,INDU_PRO_GEN,3,B_Industry
1A2c,Chemicals (combustion),Coal,INDU_MAN_CHE,3,B_Industry
1A2c,Chemicals (combustion),Fuel oil,INDU_MAN_CHE,3,B_Industry
1A2c,Chemicals (combustion),Gas oil,INDU_MAN_CHE,3,B_Industry
1A2c,Chemicals (combustion),Natural gas,INDU_MAN_CHE,3,B_Industry
1A2c,Chemicals (combustion),OPG,INDU_MAN_CHE,3,B_Industry
1A2c,Methanol production – combustion,Natural gas,INDU_PRO_GEN,3,B_Industry
1A2d,"Pulp, Paper and Print (combustion)",Coal,INDU_MAN_PAP,3,B_Industry
1A2d,"Pulp, Paper and Print (combustion)",Fuel oil,INDU_MAN_PAP,3,B_Industry
1A2d,"Pulp, Paper and Print (combustion)",Gas oil,INDU_MAN_PAP,3,B_Industry
1A2d,"Pulp, Paper and Print (combustion)",Natural gas,INDU_MAN_PAP,3,B_Industry
1A2e,"Food & drink, tobacco (combustion)",Coal,INDU_MAN_FAB,3,B_Industry
1A2e,"Food & drink, tobacco (combustion)",Fuel oil,INDU_MAN_FAB,3,B_Industry
1A2e,"Food & drink, tobacco (combustion)",Gas oil,INDU_MAN_FAB,3,B_Industry
1A2e,"Food & drink, tobacco (combustion)",Natural gas,INDU_MAN_FAB,3,B_Industry
1A2f,Lime production - non decarbonising,Coal,INDU_PRO_GEN,3,B_Industry
1A2f,Lime production - non decarbonising,Coke,INDU_PRO_GEN,3,B_Industry
1A2f,Lime production - non decarbonising,Natural gas,INDU_PRO_GEN,3,B_Industry
1A2f,Cement - non-decarbonising,Clinker production,INDU_PRO_GEN,3,B_Industry
1A2f,Other industrial combustion,Scrap tyres,INDU_MAN_GEN,3,B_Industry
1A2f,Cement production - combustion,Coal,INDU_PRO_GEN,3,B_Industry
1A2f,Cement production - combustion,Fuel oil,INDU_PRO_GEN,3,B_Industry
