NFR19,GNFR19,Source,Activity
1A3a,H_Aviation,Aircraft between UK and CDs - Cruise,Aviation turbine fuel
1A3a,H_Aviation,Aircraft between UK and CDs - TOL,Aviation spirit
1A3a,H_Aviation,Aircraft between UK and CDs - TOL,Aviation turbine fuel
1A3a,H_Aviation,Aircraft between UK and Gibraltar - Cruise,Aviation spirit
1A3a,H_Aviation,Aircraft between UK and Gibraltar - Cruise,Aviation turbine fuel
1A3a,H_Aviation,Aircraft between UK and Gibraltar - TOL,Aviation spirit
1A3a,H_Aviation,Aircraft between UK and Gibraltar - TOL,Aviation turbine fuel
1A3a,H_Aviation,Aircraft between UK and other OTs (excl Gib. and Bermuda) - Cruise,Aviation spirit
1A3a,H_Aviation,Aircraft between UK and other OTs (excl Gib. and Bermuda) - Cruise,Aviation turbine fuel
1A3a,H_Aviation,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation spirit
1A3a,H_Aviation,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation turbine fuel
1A3ai(i),H_Aviation,Aircraft - international take off and landing,Aviation spirit
1A3ai(i),H_Aviation,Aircraft - international take off and landing,Aviation turbine fuel
1A3ai(i),H_Aviation,Aircraft between UK and Bermuda - TOL,Aviation spirit
1A3ai(i),H_Aviation,Aircraft between UK and Bermuda - TOL,Aviation turbine fuel
1A3ai(i),H_Aviation,Aircraft between UK and CDs - TOL,Aviation spirit
1A3ai(i),H_Aviation,Aircraft between UK and CDs - TOL,Aviation turbine fuel
1A3ai(i),H_Aviation,Aircraft between UK and Gibraltar - TOL,Aviation spirit
1A3ai(i),H_Aviation,Aircraft between UK and Gibraltar - TOL,Aviation turbine fuel
1A3ai(i),H_Aviation,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation spirit
1A3ai(i),H_Aviation,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation turbine fuel
1A3ai(i),H_Aviation,Aircraft engines,Lubricants
1A3aii(i),H_Aviation,Aircraft - domestic take off and landing,Aviation spirit
1A3aii(i),H_Aviation,Aircraft - domestic take off and landing,Aviation turbine fuel
1A3bi,F_RoadTransport,Road transport - cars - cold start,DERV
1A3bi,F_RoadTransport,Road transport - cars - cold start,Petrol
1A3bi,F_RoadTransport,Road transport - cars - motorway driving,DERV
1A3bi,F_RoadTransport,Road transport - cars - motorway driving,Petrol
1A3bi,F_RoadTransport,Road transport - cars - rural driving,DERV
1A3bi,F_RoadTransport,Road transport - cars - rural driving,Petrol
1A3bi,F_RoadTransport,Road transport - cars - urban driving,DERV
1A3bi,F_RoadTransport,Road transport - cars - urban driving,Petrol
1A3bii,F_RoadTransport,Road transport - LGVs - cold start,DERV
1A3bii,F_RoadTransport,Road transport - LGVs - cold start,Petrol
1A3bii,F_RoadTransport,Road transport - LGVs - motorway driving,DERV
1A3bii,F_RoadTransport,Road transport - LGVs - motorway driving,Petrol
1A3bii,F_RoadTransport,Road transport - LGVs - rural driving,DERV
1A3bii,F_RoadTransport,Road transport - LGVs - rural driving,Petrol
1A3bii,F_RoadTransport,Road transport - LGVs - urban driving,DERV
1A3bii,F_RoadTransport,Road transport - LGVs - urban driving,Petrol
1A3biii,F_RoadTransport,Road transport - buses and coaches - motorway driving,DERV
1A3biii,F_RoadTransport,Road transport - buses and coaches - rural driving,DERV
1A3biii,F_RoadTransport,Road transport - buses and coaches - urban driving,DERV
1A3biii,F_RoadTransport,Road transport - HGV articulated - motorway driving,DERV
1A3biii,F_RoadTransport,Road transport - HGV articulated - rural driving,DERV
1A3biii,F_RoadTransport,Road transport - HGV articulated - urban driving,DERV
1A3biii,F_RoadTransport,Road transport - HGV rigid - motorway driving,DERV
1A3biii,F_RoadTransport,Road transport - HGV rigid - rural driving,DERV
1A3biii,F_RoadTransport,Road transport - HGV rigid - urban driving,DERV
1A3biv,F_RoadTransport,Road transport - mopeds (<50cc 2st) - urban driving,Lubricants
1A3biv,F_RoadTransport,Road transport - mopeds (<50cc 2st) - urban driving,Petrol
1A3biv,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - rural driving,Petrol
