sector,wday,coeff,coeff_l,coeff_u
1,1,1.07737082521059,0.947605913716706,1.20713573670447
1,2,1.05156592920911,0.949793199431772,1.15333865898645
1,3,1.02576619499921,0.945284724272661,1.10624766572576
1,4,0.999973679296632,0.927964476633992,1.07198288195927
1,5,0.974195437190263,0.893713966463713,1.05467690791681
1,6,0.948436742252627,0.84666401247529,1.05020947202997
1,7,0.922691191841571,0.792926280347691,1.05245610333545
2,1,1.00112199106638,0.894713184830192,1.10753079730257
2,2,1.00074771999187,0.917290484661199,1.08420495532255
2,3,1.00036891612038,0.934373607022135,1.06636422521863
2,4,0.999990578830695,0.940945056418146,1.05903610124324
2,5,0.999619268669016,0.933623959570768,1.06561457776726
2,6,0.999255690862074,0.915798455531399,1.08271292619275
2,7,0.998895834459576,0.892487028223387,1.10530464069577
3,1,1.06829996988839,1.05646863117991,1.08013130859688
3,2,1.08953847175859,1.07903655855583,1.10004038496134
3,3,1.0885670131459,1.07896258900955,1.09817143728224
3,4,1.05752361442327,1.04824397038124,1.06680325846529
3,5,0.990686317691096,0.981081893554751,1.00029074182744
3,6,0.898737404801413,0.888235491598658,0.909239318004168
3,7,0.806647208291348,0.794815869582863,0.818478546999834
4,1,1.08446147081477,1.07480111839634,1.09412182323321
4,2,1.08717566401383,1.07841704945137,1.09593427857628
4,3,1.0847087542071,1.07674363555178,1.09267387286243
4,4,1.05912953737788,1.05148690791195,1.06677216684381
4,5,0.991369242670602,0.983404124015278,0.999334361325927
4,6,0.893877779339648,0.885119164777194,0.902636393902103
4,7,0.799277551576163,0.789617199157733,0.808937903994594
5,1,1.06524262249618,1.05083278788019,1.07965245711218
5,2,1.08815348952185,1.07550272533495,1.10080425370874
5,3,1.09056576057058,1.0789571012338,1.10217441990736
5,4,1.06499032169995,1.05374297048269,1.07623767291721
5,5,1.00060482381559,0.988996164478812,1.01221348315237
5,6,0.900686515642354,0.888035751455461,0.913337279829247
5,7,0.789756466253491,0.775346631637498,0.804166300869484
6,1,0.996359440617685,0.995289518249598,0.997429362985773
6,2,0.997572788575183,0.99673380336939,0.998411773780976
6,3,0.99878633418034,0.998122729699318,0.999449938661362
6,4,1.00000000216982,0.999406109115786,1.00059389522386
6,5,1.00121363215607,1.00055002767505,1.00187723663709
6,6,1.00242716407608,1.00158817887029,1.00326614928188
6,7,1.00364063822482,1.00257071585673,1.00471056059291
7,1,1.02301072238629,1.01700189885208,1.02901954592049
7,2,1.03727627957038,1.0315812270647,1.04297133207606
7,3,1.05509174947801,1.04995373162728,1.06022976732874
7,4,1.06661104461482,1.06178620211285,1.07143588711679
7,5,1.03606240825687,1.03092439040614,1.0412004261076
7,6,0.948354769066138,0.942659716560456,0.95404982157182
7,7,0.8335930266275,0.827584203093296,0.839601850161705
8,1,1.05209745785782,0.969085362532159,1.13510955318347
8,2,1.03473218769874,0.969617703215059,1.09984667218243
8,3,1.01736685502332,0.965883817517189,1.06884989252945
8,4,1.00000148307101,0.953947818400262,1.04605514774175
8,5,0.98263507229075,0.931152034784621,1.03411810979688
8,6,0.965267361591328,0.900152877107645,1.03038184607501
8,7,0.947899582467038,0.864887487141381,1.0309116777927
9,1,0.992145548670826,0.984149896837742,1.00014120050391
9,2,0.994763667742275,0.988491501771697,1.00103583371285
9,3,0.997381748844833,0.992423027977029,1.00234046971264
9,4,0.999999852163342,0.995564491100002,1.00443521322668
9,5,1.00261805641327,0.99765933554547,1.00757677728108
9,6,1.00523637383046,0.998964207859885,1.01150853980104
9,7,1.00785475233499,0.999859100501905,1.01585040416807
10,1,0.997710331535955,0.979252985120687,1.01616767795122
10,2,0.998472769269213,0.983994906962521,1.01295063157591
10,3,0.999235620589576,0.987788603848191,1.01068263733096
10,4,0.999999064752117,0.989759207308527,1.01023892219571
10,5,1.00076310197632,0.989316085234933,1.0122101187177
10,6,1.00152743556088,0.987049573254186,1.01600529786757
10,7,1.00229167631594,0.983834329900674,1.02074902273121
11,1,0.99753806526643,0.988431107823727,1.00664502270913
11,2,0.998365320479135,0.99122797648657,1.0055026644717
11,3,0.999190292465429,0.993541034750748,1.00483955018011
11,4,1.00001059409079,0.99495067941562,1.00507050876596
11,5,1.00082454269587,0.995175284981194,1.00647380041055
11,6,1.00163282630941,0.994495482316848,1.00877017030198
11,7,1.00243835869293,0.993331401250227,1.01154531613563
