
"Gas","NFR/CRF Group","Source","Activity","Units","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Non Methane VOC","1A","","","kilotonne","870.51513336756","861.18282287317","854.22532307961","883.22684794498","858.53280665624","825.69437230626","842.08223153203","861.27432396023","846.38076794139","855.00458051489","858.57784295711","849.41341827802","866.3460828378","848.08957514408","853.23986686029","897.3507973481","934.26756999569","956.12424807922","984.50891659086","1033.1967033532","1061.7452285876","1063.5791837318","1028.1240386819","978.86321330811","913.47541887183","855.27440519382","832.1720311633","764.23778223249","712.43219509737","658.73799560125","578.42044617169","515.21965578923","457.47208863757","404.36102876334","360.63657941978","317.18685357295","284.56819116133","256.82728230629","227.36989339096","171.88040152084","160.64198189458","138.88348107924","129.19070984925","116.7266141887","107.54006557093","105.70570702862","100.80817971793","99.354552736281","98.912957756122","95.806718186373","84.662135841082"
"Non Methane VOC","1A1a","Miscellaneous industrial/commercial combustion","MSW","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00639037894736842","0.00638156463157895","0.00676058021052632","0.00707789557894737","0.00723655326315789","0.00796814147368421","0.00880550147368421","0.00836831141052632","0.00540581987368421","0.00571167663157895","0.00612154231578947","0.00890862896842105","0.0087644459647844","0.00609398991628013","0.00597307913596235","0.00642018546279235","0.00713290467795206","0.00649921679716634","0.00772242904986299","0.00812018373048269","0.00740436956089051","0.00731395871304461","0.00910859992420083","0.00912463712608199","0.00953123706040431","0.00910654090974377","0.00902976328253059","0.0103729860096942","0.010165765124936","0.00932081496405601","0.00867734780960282","0.0101262392232629"
"Non Methane VOC","1A1a","Power stations","Burning oil","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.42407580662475e-06","7.42407580662475e-06","3.4224462938341e-06","2.13244730615817e-05","3.02754864454555e-06","7.50305533648246e-06","1.3163254976285e-06","6.58162748814251e-07","0.00121265653873068","0.00132599897923007","9.58054456203878e-05","7.25717210725861e-05","5.1863622509473e-05","3.83193502424219e-05","4.28171818593594e-05","3.89402238578472e-05","6.60388346758832e-05","2.9350810801797e-05","3.25995803698048e-05","6.59669616316888e-05","3.07667999015752e-05","4.03274630088742e-05","3.42713632173224e-05","4.30861603784874e-05"
"Non Methane VOC","1A1a","Power stations","Coal","kilotonne","6.06774393227138","5.72442165139573","5.2373739295218","6.03576128903119","5.26927799132896","5.86217490348431","6.11363548915656","6.28651464180623","6.33366350161978","6.97803125240492","7.03846037439928","6.85426549539436","6.30443120853538","6.40949458448657","4.19711291916891","5.81031115768941","6.49491260218211","6.77183357215367","6.48021787420689","6.33625668890953","6.48729020317893","6.44532771794487","6.04990594697526","5.03675553101516","5.30172464638491","5.18531339707711","4.93660797142088","3.33192031140755","1.15493153786759","0.916261648069121","1.07302969101025","1.26934571924318","1.18449302808852","1.25610741849501","1.08739198270045","1.09838638983504","1.26624444238231","1.23349139860606","1.05733395039986","0.904911672406231","0.949987509681714","0.963203750232021","1.32558557182909","1.22576220849974","0.90158117712907","0.674780466284734","0.257188097249094","0.167046204210168","0.135078304988843","0.0609610884843199","0.0446943411858086"
"Non Methane VOC","1A1a","Power stations","Coke","kilotonne","0.0191699999999999","0.00665999999999998","0.00242999999999999","0.000899999999999997","0.000569999999999998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Non Methane VOC","1A1a","Power stations","Fuel oil","kilotonne","1.02587389257456","1.23590957065607","1.49929448334261","1.39095847704452","1.42327828799264","1.11378377835345","0.868842704447969","0.875737597450235","0.960544781378099","0.923484731490923","0.54607552577942","0.410935622935018","0.539697749752325","0.323542854131304","1.70588271492299","0.819544219481772","0.47272331511412","0.372645898839156","0.429040058740034","0.445869747470926","0.510612593354372","0.378148212389228","0.257780029127451","0.231272808968463","0.171675627978821","0.154958752719465","0.162895963254375","0.190318911451935","0.0611666794381995","0.0467251939238482","0.0512356793495223","0.0551966143474829","0.054411743591188","0.0487246034341164","0.06342038949948","0.0557857324467238","0.0800706094896582","0.0545912064652519","0.0868598709209309","0.0688912044273097","0.0550185351444638","0.0479655700144971","0.0361308793680203","0.0224474889094152","0.0248190358674681","0.0271514669432736","0.0293133483714543","0.0218645518565848","0.0235692476699445","0.0170845051357985","0.0162854841940567"
"Non Methane VOC","1A1a","Power stations","Gas oil","kilotonne","0.08411585","0.06198465","0.141778","0.07374185","0.06284915","0.0364819","0.031122","0.06181175","0.04261985","0.04089085","0.015561","0.00821275","0.0205751","0.01115205","0.0387296","0.0183274","0.00665665","0.0058786","0.00596505","0.0044954","0.0044832370629687","0.005118014439392","0.003804214492","0.005333643421376","0.00566753880208","0.002880346030656","0.004146050435584","0.0123735232829647","0.00954732615605055","0.0181365777753701","0.0245850551120161","0.0174380113274152","0.0159697696552181","0.00570318534407275","0.014852932307302","0.00997821601609992","0.0122396763704342","0.0028613221764034","0.00371065517076225","0.00332857403959618","0.00370663060972662","0.00275416445080345","0.00745277433750743","0.00880916781762154","0.00780185066848193","0.00796748460448336","0.00410656793892293","0.00369722234137745","0.00340972649170372","0.00662471612077887","0.00827929675047484"
"Non Methane VOC","1A1a","Power stations","LPG","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0.0451926079338242","0.0933980563965698","0.0834987232301132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Non Methane VOC","1A1a","Power stations","Natural gas","kilotonne","0.0305943149544377","0.134105080550285","0.321240307021596","0.145322996033579","0.502256670502019","0.437498703848459","0.326339359514002","0.223338499167395","0.129006028057879","0.082094745127741","0.0280447887082346","0","0","0","0.0504806196748222","0.0642480614043191","0.000560895774164693","0.000611886299088755","0.000866838923709066","0.000968819973557195","0.00153140152957665","0.00351526260198275","0.0479191683972296","0.8761189791937","1.39796651369956","1.86015121178924","2.60716467249008","1.77437250759129","2.26378898516906","2.03285217531778","3.6200036336414","2.39772074009533","4.65262688144953","2.86419537224755","2.87613975595067","2.26433747307675","2.67882579552591","1.14360441091383","1.36351156890183","1.22201112547176","1.22979364159867","0.919359984458697","0.59544962881718","0.56014971373011","0.67912557014692","0.787379274818882","0.881819994277476","0.87672689542903","0.870025134032353","0.814854113534712","0.6899602563806"
"Non Methane VOC","1A1a","Power stations","Landfill gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00539604137949823","0.00739669730332964","0.00739700544437073","0.0110630651602211","0.0200497779150049","0.0237807236435252","0.0274954478688781","0.0298962303376651","0.0376501088517203","0.0488429460372813","0.063069204315161","0.0905808736872065","0.11639739597825","0.133379687644285","0.142509149626942","0.174303295835203","0.213011046693443","0.228265748272141","0.235393476763931","0.248818392785337","0.249835481033938","0.261625269536063","0.277551541345894","0.282932213946547","0.277105450008788","0.275304863157198","0.267781329988121","0.259213132015058","0.250205331306157","0.227908875202456","0.208329520879308","0.192823386001514","0.186000621769272"
