
"Gas","NFR/CRF Group","Source","Activity","Units","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A","","","kilotonne","482.35673154131","420.6508668241","361.98530062079","366.3943879301","338.71239113239","293.34487083844","286.1489178815","284.59934250829","270.14389035005","277.57826357094","244.78294053245","230.37899003981","225.45687953781","215.82269351212","187.1097262904","215.10716487541","224.75671253747","202.84347502045","196.2947200866","190.98691169468","185.81820232872","189.28627883924","185.76797761094","175.72158108328","165.02711722752","150.22676340614","144.75964206381","135.90047609109","131.2226938755","129.48791314991","114.35162987834","107.64297268421","96.54968609046","93.245485319512","92.908869090589","92.152002158423","91.3615980491","82.333009267237","76.238855672017","70.617528011694","73.707761851408","67.555504533211","68.922145865093","68.107062986156","64.93331526517","63.792745492922","61.87812292456","62.737037106139","66.355955545752","63.715113263957","59.298453700416"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Miscellaneous industrial/commercial combustion","MSW","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00640446270767297","0.00639562896313441","0.00677547985459129","0.00709349455441565","0.00725250190432783","0.00798570246225623","0.00882490792012607","0.0083867543337014","0.0054177337611745","0.00572426459683853","0.00273810516359009","0.00392481385795637","0.00697358927818669","0.00442892449070351","0.00513488422856849","0.00570732135485551","0.00683518889985158","0.00583621960731196","0.00674413440652827","0.00780032135461533","0.0062914363177857","0.00687914031242795","0.00863596377825708","0.00638360219887257","0.00723574396609922","0.00621330175781987","0.00684463977763766","0.00500902204543874","0.00740143153122876","0.00734212342576173","0.00881940521389679","0.0116644091959867"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Burning oil","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.58938347173636e-06","1.58938347173636e-06","1.29077203159196e-06","1.51713876847563e-06","1.4208124974613e-06","1.39673092970771e-06","1.20407838767907e-06","1.20407838767907e-06","7.05551744156376e-05","0.00162462477731053","0.000638555083255816","6.68818455312635e-05","5.86134133687704e-05","8.63810435793912e-05","7.42652981983697e-05","0.00189047838266378","2.5855233117267e-05","2.63065896410575e-05","2.96059629262951e-05","7.21142694043785e-05","3.29202940805125e-05","3.53947434177709e-05","3.84543066086574e-05","5.75665168223326e-05"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Coal","kilotonne","28.3689842604375","26.7638235135217","24.486692291415","28.2194533783146","24.6358557757931","27.4078717601098","28.5835445433853","29.3918195818872","29.6122582287513","32.6249197358948","32.9074486016256","32.0462682878764","29.4755862676955","29.9667970524578","19.6230809461022","27.1653892485592","30.3661584010267","31.6608680536089","30.2974550227541","29.6243823543289","30.3305208501141","30.1343304542088","28.2855850006594","23.5487258725567","20.857304961839","15.8382159613889","14.5595707650983","8.66367145736712","9.910461653483","7.53901027063633","8.80123480478351","6.68744436390586","3.18022566309473","2.82281651275419","3.03002287288819","2.63426543535881","3.33307369686732","2.61257512515525","2.16749349169058","1.49148845524902","1.62523401738631","1.63325069291848","2.66253600709533","2.45130535587913","1.8364355298584","1.22449525808105","0.3362923564783","0.275326729338026","0.177613769372262","0.10604292977976","0.0572378158537337"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Coke","kilotonne","0.06474348","0.02249304","0.00820692","0.0030396","0.00192508","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Fuel oil","kilotonne","1.85730841987234","2.23757059068885","2.71441966496675","2.5182811550298","2.57679503030932","2.01646616063263","1.57300900451424","1.58549196457388","1.73903237330734","1.67193646298682","0.988650436722771","0.743984419554004","0.977103698667612","0.585762900798182","3.08844035575344","1.48375584008788","0.855848852170302","0.674662227545238","0.77676186062262","0.807231417173349","0.924446051265742","0.684623971845145","0.466701630793218","0.418711245665757","0.295640350426414","0.207577802466334","0.260016195178006","1.90842336249475","1.53012876145606","1.20924601204379","1.01967903254571","0.786752532918249","0.367108225004132","0.342295089034674","0.337184235127033","0.280641246156193","0.343444307673107","0.258254603860813","0.486722844968713","0.304347226525283","0.253394040572861","0.16546829324629","0.180143763985464","0.0885478523905468","0.0709840209812298","0.0761529639592242","0.0697360883986827","0.0607527799569016","0.0463343215348301","0.0296925654509384","0.0225426031762366"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Gas oil","kilotonne","0.2356484375","0.1736484375","0.3971875","0.2065859375","0.1760703125","0.102203125","0.0871875","0.1731640625","0.1193984375","0.1145546875","0.04359375","0.0230078125","0.057640625","0.0312421875","0.1085","0.05134375","0.0186484375","0.01646875","0.0167109375","0.01259375","0.015471637421875","0.017752583515625","0.014369892578125","0.01779792828125","0.019424369921875","0.01152687046875","0.0149394521875","0.0156334417284617","0.00418000532116902","0.0328564015347508","0.00692425688784588","0.00268480592932957","0.00668401691591872","0.0107708934478574","0.111014264072338","0.021619373517692","0.0270730561967579","0.0156600724091418","0.0168524883367451","0.0166450212564128","0.0263927932623708","0.0076163288942427","0.0110863922648845","0.0147892601421953","0.0283472823314189","0.0143644710959982","0.018306736434429","0.0157261447892199","0.0116222806329758","0.0156234746244708","0.0103526951405357"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","LPG","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0.00920429316227351","0.0190222058686985","0.0170060273664863","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Natural gas","kilotonne","0.00912825417812652","0.0400121808141212","0.0958466688703284","0.043359207346101","0.14985550609091","0.130534034747209","0.0973680445666828","0.0666362555003237","0.0384908051177668","0.0244941487113061","0.00836756632994931","0","0","0","0.0150616193939088","0.0191693337740657","0.000167351326598987","0.000182565083562531","0.000258633868380251","0.00028906138230734","0.000456915686184361","0.00104882918874137","0.0142973735409922","0.26140270649207","0.417103428809017","0.555002885217384","0.777885102188549","2.06901215557302","0.0981784585385489","0.299987826348901","0.172568811935102","0.184737003718189","0.409920988895531","0.44659643315067","0.415891634878851","0.617411838005202","0.681624177499527","0.943036121865508","1.01686342607256","0.714680995547895","0.734727534654293","0.557632999622274","0.494461501610138","0.392310078612136","0.133774619970556","0.047244632365558","0.113679488125302","0.114239481360897","0.181862923439189","0.0947723675835438","0.0769055557009583"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Landfill gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0137717812239222","0.018877856909708","0.0188786433475252","0.0282351639539741","0.051171059599871","0.0606931823409473","0.0701739045483668","0.0763011835295812","0.0960906386175572","0.124657006840786","0.160965274857847","0.23118057993987","0.297069529254753","0.340411747940113","0.36371196828219","0.444857014249623","0.543646967661607","0.582580029512512","0.600771424001334","0.635034505655746","0.63763031911603","0.667720226977832","0.70836727092213","0.722099827936109","0.707228756246567","0.702633297010656","0.683431729500607","0.661563967623057","0.638574251283407","0.581669217772061","0.531698773648239","0.492124003525653","0.47471093906958"
