Gas,NFR/CRF Group,Source,Activity,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PMco (Particulate Matter coarse fraction),1A1a,Power stations,Waste oils,kilotonne,0.00712569,0.006961951,0.006749696,0.007186334,0.006337316,0.006015902,0.006125061,0.006240285,0.00619177,0.00624635,0.005433718,0.005075917,0.005015273,0.004960693,0.004960693,0.004948564,0.004869727,0.005021337,0.00514869,0.005088046,0.005094392,0.004804999,0.005080576,0.005317163,0.005071057,0.004341541,0.005367388,0.087729484,0.080777601,0.058579391,0.054117308,0.040683855,0.026678365,0.028885338,0.027481421,0.023725985,0,0,0,0.0085627,0.011917096,0.010353,0.009237094,0.00802279,0.007875998,0.00676291,0.005586533,0.007690584,0.005855859,0.00598126
PMco (Particulate Matter coarse fraction),1A1a,Power stations,Poultry litter,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000436151,0.001191403,0.002786907,0.002786907,0.002786907,0.002940168,0.003249964,0.011943153,0.008742337,0.008914996,0.006257867,0.005279789,0.006365017,0.003708188,0.000267059,0.000555022,0.000643809,0.000284474,0.000514624,0.000306222,0.000487292,0.000426119,0.001144521,0.001155831,0.003032893,0.001069906,0.001116314,0.001155454
PMco (Particulate Matter coarse fraction),1A1a,Power stations,Liquid bio-fuels,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014893635,0.119473603,0.092704971,0.038340954,0.023462989,0.006728195,0.019731226,0.013534754,0.006345299,0.004225533,0.001300173,0.002098511,0.000518783,0.000834417,0.000195715,0.000278082
PMco (Particulate Matter coarse fraction),1A1a,Heat supply,Landfill gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00614E-16,0,1.04083E-17,0,1.04083E-17,1.99493E-17,1.04083E-17,9.54098E-18,9.54098E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54098E-18,9.54098E-18,9.54098E-18,9.54098E-18,9.54098E-18
PMco (Particulate Matter coarse fraction),1A1a,Heat supply,Sewage gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04083E-17,9.54098E-18,0,0,0,0,0,0,0,0,0,0,0,0,1.00614E-16,1.00614E-16,0,0,0,0,0,1.00614E-16,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1b,Refineries - combustion,Fuel oil,kilotonne,1.332424232,1.246813248,1.300361431,1.432909711,1.396549834,1.243507805,1.182357102,1.128478375,1.217394802,1.277553872,1.270612441,1.076252369,1.065344406,0.887842096,0.837268812,0.751657828,0.731825167,0.669021743,0.673649364,0.688193315,0.694473657,0.761574158,0.781737363,0.807519821,0.835285546,0.786695528,0.776283381,0.777572504,0.74041932,0.589434937,0.332628792,0.375143262,0.32343656,0.266351921,0.264932577,0.201865988,0.224598775,0.234169359,0.123203489,0.122602497,0.074262172,0.099751644,0.079296661,0.073466226,0.031332237,0.048332069,0.055944999,0.034232595,0.086979441,0.01496616
PMco (Particulate Matter coarse fraction),1A1b,Refineries - combustion,Gas oil,kilotonne,0.06342697,0.062387183,0.081103339,0.082143125,0.090461416,0.114896396,0.105538319,0.103978639,0.099819494,0.083702804,0.090461416,0.10085928,0.068625902,0.037952203,0.031193592,0.027554339,0.023395194,0.036392524,0.041071562,0.03587263,0.035352737,0.034312951,0.034312951,0.036912417,0.044190922,0.052509213,0.060307611,0.079699627,0.084222698,0.061091637,0.072567881,0.016875793,0.012231362,0.041031214,0.04744746,0.041072422,0.015302778,0,0,0,0,0.000159838,1.43223E-05,0,0,0,3.76163E-06,2.57426E-06,0,0
PMco (Particulate Matter coarse fraction),1A1b,Refineries - combustion,LPG,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75782E-19,0,0,0,0,0,1.00289E-18,0,0,0,0,0,0,0,0,0,0,0,0,9.48677E-20,3.11708E-19,0,-1.00289E-18,1.02999E-18,-1.02999E-18,0,1.01644E-19,0,0,0,9.48677E-20,0,0,0,1.01644E-19,0,0
PMco (Particulate Matter coarse fraction),1A1b,Refineries - combustion,Refinery miscellaneous,kilotonne,0.015793885,0.015793885,0.015793885,0.015793885,0.015793885,0.015793885,0.015793885,0.015793885,0.015793885,0.005403171,0.001246886,0.001662514,0.0029094,0.014131371,0.016625142,0.017872028,0.019534542,0.018287657,0.012884485,0.012468857,0.0087282,0.017872028,0.019118914,0.024106456,0.024106456,0.013300114,0.022443942,0,0,0,0.006325867,0.010680867,0.002522709,0,0,0,0,0,0,0,0,0,0,0.018635023,0,0.014534427,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1b,Refineries - combustion,Naphtha,kilotonne,0.100801723,0.100801723,0.100801723,0.100801723,0.100801723,0.100801723,0.100801723,0.100801723,0.100801723,0.089234312,0.068853636,0.045167985,0.045718814,0.025338138,0.020380676,0.014321556,0.023134822,0.020380676,0.016524873,0.011567411,0.060586827,0.062790143,0.062239314,0.060035998,0.055078536,0.04626527,0.04626527,0.055629365,0.055629365,0.058964371,0.046396182,0.043648069,0.027313447,0.020894796,0.023757363,0.018487503,0.031288327,0.031813734,0.021946725,0.003604773,0.037007332,0.032194862,0.070013115,0.036612642,0.062928793,0.035669937,0.019067989,0.021265545,0.038770199,0.011431333
