
"Gas","NFR/CRF Group","Source","Activity","Units","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Ammonia","1A","","","kilotonne","1.4291829385473","1.3747765655221","1.4028069481924","1.408240100967","1.4075848614145","1.4667176127874","1.4993364438313","1.5312284364344","1.5727686516374","1.6102459310982","1.5891932549728","1.6720116831671","2.2293369591565","3.9469393415196","6.0062578772174","7.9451564032988","10.010475837799","12.489862368839","14.894725363146","16.985353310251","24.294104094548","22.79804413885","21.438738417013","19.702268298008","18.480143208287","17.19798038713","16.325869211918","15.094680952283","13.866038587894","13.145468520172","12.21440410215","10.769109816552","9.8160568040789","9.0825113830763","8.3053388921501","8.1385127654243","7.9264241037562","7.7490033248392","7.8254455345232","7.9266304504264"
"Ammonia","1A1a","Miscellaneous industrial/commercial combustion","MSW","kilotonne","0","0","0","0","0","0","0","0","0","0.00519493747149592","0.00518777204050075","0.00549588557329292","0.00575384108911892","0.00588281884703193","0.00647754961963077","0.00715826556417161","0.0068031075848344","0.00439401843384775","0.00464310419760666","0.00493166565482134","0.00687315364554459","0.00650024932896477","0.00857588700219576","0.00656127407002267","0.00796013860679022","0.00885286272881586","0.013247455057475","0.0135706418078016","0.0140845488444471","0.0118821508913754","0.00996917634278302","0.0140896496550045","0.0109182689865867","0.0111747139485591","0.0137431758871318","0.0163103184512126","0.0180317231378827","0.0148138110982703","0.0112347976608299","0.0117076387750085"
"Ammonia","1A1a","Power stations","MSW","kilotonne","0","0","0","0","0","0","0","0","0.0104055174478394","0.0102752280470692","0.00790438429331323","0.00777372453827066","0.00931261020510196","0.0133450658582513","0.0211270073324382","0.0222958912823092","0.021580678870485","0.0289170353655151","0.0418422467411709","0.0399845624153541","0.0392575123849898","0.0379055200472168","0.0455584406151328","0.0289105934513449","0.0341021573109954","0.0347381143120005","0.0647510961157108","0.0563676255677352","0.0551384558170652","0.0618587032010273","0.0558986573747499","0.0686541968254625","0.0682431248369789","0.0604597791931775","0.0975799215447484","0.139658259194591","0.184261579849062","0.130369099105491","0.116449171517622","0.138371630023438"
"Ammonia","1A2f","Cement - non-decarbonising","Clinker production","kilotonne","0.345170725129562","0.290502123688446","0.297547426164243","0.314019196064104","0.31198170440734","0.302825265998029","0.31043517459558","0.326145953635685","0.336333411919503","0.324869452838677","0.324010269609921","0.266224060453034","0.242338766693624","0.245382730132644","0.282818570814145","0.27913635697662","0.284978802932159","0.298038388009247","0.303708997319035","0.258883165619646","0.237562345595786","0.249825134073441","0.31707059864269","0.288221247913215","0.231636149810279","0.293341247395098","0.440660400930144","0.457137132088336","0.550201481932633","0.274872386350609","0.307798471454124","0.387316342707196","0.325817484486072","0.362683","0.398612592079586","0.491151","0.31407471875","0.38038335938","0.392871","0.46421660549"
"Ammonia","1A2gvii","Industrial off-road mobile machinery","DERV","kilotonne","0.00164094882748089","0.00153968120462628","0.00153761451844557","0.00157068149733687","0.00162854871039665","0.00167401580637219","0.00169674935435996","0.00177735011540751","0.00190755134479202","0.00198401873347815","0.00198195204729745","0.00188275111062354","0.00188068442444283","0.00190755134479202","0.00199641885056239","0.00202741914327299","0.00202764702509523","0.00202810575016665","0.00202846604523634","0.00202854489575217","0.00202857201424158","0.00202914104952202","0.00202966983952372","0.00203012083371666","0.00219880728612118","0.00215085158842547","0.0022033004684152","0.00227025511499429","0.00215485322576082","0.00191008503390557","0.00209757610820287","0.00214024013621094","0.00195630431902025","0.00199281780794045","0.00220600263138383","0.00226029006348422","0.00244505715441548","0.00260775427470192","0.00259362516101066","0.00264300567877378"
"Ammonia","1A2gvii","Industrial off-road mobile machinery","Gas oil","kilotonne","0.0124699425307138","0.0117003868833523","0.0116846816660593","0.0119359651427487","0.0123757112269552","0.0127212260074032","0.0128939833976272","0.0135064868720577","0.0144959155615224","0.0150770086013668","0.0150613033840737","0.0143074529540053","0.0142917477367123","0.0144959155615224","0.0151712399051253","0.0154068181645217","0.0154204262842826","0.0154373558552245","0.0154441339386933","0.0154283389362533","0.015424919907177","0.0154812543999414","0.0155336046101088","0.01557825303521","0.0165477262624367","0.0162119360882294","0.0164906638061348","0.0168589536917235","0.0159506762451437","0.012361771234425","0.0120372450329194","0.0100711004715689","0.0129165021219223","0.00972179247374775","0.0102262188490231","0.0118104036546358","0.0111478456486328","0.0123597515996431","0.0128312407547066","0.0115695588056469"
"Ammonia","1A2gvii","Industrial off-road mobile machinery","Petrol","kilotonne","0.00052097380869262","0.000488823032085645","0.000488166893787543","0.000498665106557168","0.000517036978904011","0.000531472021462245","0.000538689542741362","0.000564278936367321","0.000605615649147718","0.000629892766177475","0.000629236627879374","0.0005977419895705","0.000597085851272398","0.000605615649147718","0.000633829595966084","0.000643671670437607","0.000643671670437607","0.000643671670437607","0.000643671670437607","0.000643671670437607","0.000643671670437607","0.000643671670437607","0.000643671670437607","0.000643671670437607","0.000707396959878764","0.000688977863456207","0.000707540485305433","0.000732649461337741","0.000691369953900695","0.00060723131780312","0.000677607460210075","0.00068837186721027","0.000614225037065962","0.000623155508058716","0.000696130213885226","0.000741579932330495","0.000784629586696462","0.000827021123744786","0.000828346173545008","0.000860251539281538"
"Ammonia","1A2gviii","Other industrial combustion","Wood","kilotonne","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0317133047194161","0.0347031933372263","0.0352202050721168","0.0352627087322628","0.0304430723842336","0.0256234360362044","0.01771123608","0.0156943572","0.0156943572","0.0156943572","0.0156943572","0.0064892904","0.00675576323540032","0.00705056045310049","0.011305909644","0.0114677160152","0.01312303167133","0.014466041613399","0.0145375183330049","0.0148304788350739","0.0150049384599015","0.0149842478305419","0.0150035277351724","0.0150933438762562","0.0149014853131035","0.0149014853131035"
"Ammonia","1A2gviii","Other industrial combustion","Biomass","kilotonne","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00294739814166294","0.00294739814166294","0.00294739814166294","0.00294739814166294","0.00294739814166294","0.00294739814166294","0.00293408153621092","0.00293411148049325","0.00130744392291724","0.00334942186440898","0.00407179665004823","0.00356190286085091","0.00832393241976032","0.0136887842678818","0.0197194919313562","0.0178773928705047","0.0208251779553554","0.0175623325953537","0.0147241362918308","0.020988361136568","0.0282563145016651","0.0306232452956285","0.0266505059066467","0.0298693569225793","0.0478511668504068","0.0556446363760618","0.0623658741612808","0.0796171268243043","0.0939499247229824","0.095914884812064"
"Ammonia","1A3bi","Road transport - cars - rural driving","Petrol","kilotonne","0.1725341977","0.1741859256","0.1794265932","0.1934153014","0.20860712","0.2128282024","0.2216374182","0.2371108324","0.2473063944","0.26406358","0.281845581071455","0.340711846751341","0.699075210632654","1.63773056052303","2.80869523722222","3.92546780783747","5.06820383884452","6.06506499506311","6.93605832417592","7.71472170399361","12.059131567492","11.1304626988379","10.3699230808624","9.4581643856091","8.78142215963626","8.03111332114608","7.44196567279988","6.74064321787222","5.97983090708826","5.63935370266698","4.94628928121423","4.1995870310908","3.51149627699511","2.94113116441489","2.48099993663397","2.06688171800561","1.80203293566749","1.56078018442695","1.37560602646158","1.22509576538341"
