
"Gas","NFR/CRF Group","Source","Activity","Units","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Ammonia","1A","","","kilotonne","1.4291829385473","1.3747765655221","1.4028069481924","1.408240100967","1.4075848614145","1.4667176127874","1.4993364438313","1.5312284364344","1.5727686516374","1.6102459310982","1.6912056077388","1.7161979775421","2.1698630391034","3.3993835967603","4.9756531013556","6.5211095521005","8.284351036358","10.588834098217","12.88662681327","14.970646179922","21.689426371451","21.351617095463","21.082550216526","20.121005594273","19.306698783113","18.057092286402","17.146093303351","15.589055213001","13.801324493595","12.948467942395","11.804162054712","10.580442793589","9.4121271852188","8.5347542969169","7.843205367814","7.5102902907377","7.1433213757839","6.9027512750104","6.8170592031611","6.8592196731392","5.4110952541636"
"Ammonia","1A1a","Miscellaneous industrial/commercial combustion","MSW","kilotonne","0","0","0","0","0","0","0","0","0","0.00519493747149592","0.00448045030590571","0.00474655439865978","0.00496933922050039","0.0050807316314207","0.00559437441510879","0.00618227880607708","0.0058753308293189","0.00379538697874582","0.00401012679313108","0.00423577449958292","0.00592909607752604","0.00557284293511613","0.00757144967854789","0.00538861310384502","0.0067603965322804","0.00756535775184653","0.0121677415349618","0.0123274476134216","0.0127755001053281","0.0110451536693993","0.00909270130976856","0.0130948265799428","0.0101142194081714","0.0102673007253965","0.0130418421282646","0.0156184803531844","0.0175250519871149","0.0142177044474039","0.0113779871913514","0.0116397258704724","0.0147266020585362"
"Ammonia","1A1a","Power stations","MSW","kilotonne","0","0","0","0","0","0","0","0","0.0104055174478394","0.0102752280470692","0.00682666870257335","0.00671382362478664","0.00804289142169058","0.0115255458297205","0.0182464660602855","0.0192559796645614","0.0186384197623932","0.0249742940558485","0.0361372300541626","0.0343425944821896","0.0338640232265636","0.0324952928371575","0.0402242656101764","0.0237449335264794","0.0289635916685425","0.0296876237831911","0.0594767355827931","0.0512055519545133","0.0500150270974915","0.0574994287056435","0.0509845460825068","0.0638058571998137","0.0632166410543106","0.0555494449099333","0.092602504179533","0.133734234933425","0.179082390769372","0.125122061812914","0.117929908200127","0.139894115971005","0.159654980957934"
"Ammonia","1A2f","Cement - non-decarbonising","Clinker production","kilotonne","0.345170725129563","0.290502123688447","0.297547426164244","0.314019196064104","0.311981704407341","0.302825265998029","0.31043517459558","0.326145953635686","0.336333411919504","0.324869452838677","0.324010269609921","0.266224060453034","0.242338766693624","0.245382730132644","0.282818570814145","0.27913635697662","0.284978802932159","0.298038388009247","0.303708997319035","0.258883165619646","0.237562345595786","0.249825134073441","0.317070598543445","0.288221248030521","0.231636149810279","0.293341248225051","0.440660400971413","0.457137132521704","0.550201482980544","0.274872386346968","0.307798471455134","0.387316342707623","0.325817484478825","0.362683","0.398612592079586","0.491151","0.31407472","0.38038336","0.392871","0.46421661","0.39435584"
"Ammonia","1A2gvii","Industrial off-road mobile machinery","DERV","kilotonne","0.00164094882748089","0.00153968120462628","0.00153761451844557","0.00157068149733687","0.00162854871039665","0.00167401580637219","0.00169674935435996","0.00177735011540751","0.00190755134479202","0.00198401873347816","0.00198195204729745","0.00188275111062354","0.00188068442444283","0.00190755134479202","0.00199641885056239","0.00202741914327299","0.00202764702509523","0.00202810575016665","0.00202846604523634","0.00202854489575217","0.00202857201424158","0.00202914104952202","0.00202966983952372","0.00203012083371666","0.00219957884033648","0.00215097611723357","0.00220313084887343","0.00227024485573702","0.0021547354011691","0.00191123939014022","0.00209811179082519","0.00213024238032499","0.00194951229182036","0.00198385235210394","0.00219493397593394","0.00226540489642529","0.00244389649206531","0.00260475649330975","0.0025993245868568","0.00263873195183631","0.00227561956323733"
"Ammonia","1A2gvii","Industrial off-road mobile machinery","Gas oil","kilotonne","0.0124699425307138","0.0117003868833524","0.0116846816660593","0.0119359651427487","0.0123757112269553","0.0127212260074032","0.0128939833976272","0.0135064868720578","0.0144959155615225","0.0150770086013668","0.0150613033840737","0.0143074529540053","0.0142917477367123","0.0144959155615224","0.0151712399051253","0.0154068181645217","0.0154204262842826","0.0154373558552245","0.0154441339386933","0.0154283389362533","0.015424919907177","0.0154812543999414","0.0155336046101088","0.01557825303521","0.0165561313781481","0.0162131400394911","0.0164887200039392","0.016858742245354","0.0159493370481174","0.0123620895001987","0.0120173836351239","0.0100365128335264","0.0128541351058013","0.00956861265756698","0.0100845711663499","0.0116511692407423","0.0109992955884987","0.0122032015263746","0.0127219673502204","0.0105650133260078","0.0088514987729815"
"Ammonia","1A2gvii","Industrial off-road mobile machinery","Petrol","kilotonne","0.00052097380869262","0.000488823032085644","0.000488166893787543","0.000498665106557168","0.00051703697890401","0.000531472021462245","0.000538689542741361","0.000564278936367321","0.000605615649147718","0.000629892766177475","0.000629236627879374","0.0005977419895705","0.000597085851272398","0.000605615649147718","0.000633829595966084","0.000643671670437607","0.000643671670437607","0.000643671670437607","0.000643671670437607","0.000643671670437607","0.000643671670437607","0.000643671670437607","0.000643671670437607","0.000643671670437607","0.000707399133594533","0.000688988323226568","0.00070754636118644","0.000732656026986171","0.000691373410215461","0.000607235732431993","0.000677614991751756","0.000684306485803926","0.000611642307818249","0.000619968028140587","0.000691756201954418","0.000736182127812341","0.000777744477007674","0.000820419604478929","0.00082106945635751","0.000850121561189133","0.000764190628527105"
"Ammonia","1A2gviii","Other industrial combustion","Wood","kilotonne","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0164962976058394","0.0189915358991597","0.0189915358991597","0.0189915358991597","0.0189915358991597","0.0365102751811765","0.0399524158588235","0.0405476310494118","0.0309678916430769","0.035047906862521","0.0294992498904202","0.0203902465794958","0.0180682935831933","0.0180682935831933","0.0180682935831933","0.0180682935831933","0.00747086373781512","0.00777764338865416","0.00705056045310049","0.015349629151708","0.0155693078746511","0.013136063592","0.01446590916","0.01453739172","0.014830663788","0.015005126196","0.014984316864","0.0150034716","0.0150933036","0.0149013276","0.0148226676","0.0148226676"
"Ammonia","1A2gviii","Other industrial combustion","Biomass","kilotonne","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00293830545052121","0.00294740314327878","0.00294740314327878","0.00294740314327878","0.00294740314327878","0.00294740314327878","0.00294740314327878","0.00293421874112326","0.00293421874112326","0.00130734928303995","0.00334932723842507","0.00407170200044557","0.00356180821124826","0.00832383777015766","0.0136886216243933","0.019719480734888","0.0178776607737943","0.0208254493099789","0.0175623765511972","0.0146571181566568","0.0209887057009758","0.0282563742370509","0.0306233574283432","0.0266506145916642","0.0298692683595896","0.0483830566133271","0.0594738295930939","0.0620666224212622","0.0796142063231743","0.0941473644452413","0.096440975317459","0.112229913374283"
"Ammonia","1A3bi","Road transport - cars - rural driving","Petrol","kilotonne","0.1725341977","0.1741859256","0.1794265932","0.1934153014","0.20860712","0.2128282024","0.2216374182","0.2371108324","0.2473063944","0.26406358","0.281845581071455","0.325268911931485","0.591891307686292","1.28688711401503","2.184459719407","3.09668392484678","4.12665981722014","5.13024484583875","6.06372604871149","6.95511694715152","10.9324881026939","10.6642294121538","10.4533295554277","9.97300339725562","9.49743825305257","8.74473694015227","8.10429574312562","7.28382727020419","6.37035010369859","5.99447703098804","5.31349742236904","4.6023598030615","3.94754010476769","3.43012832848274","2.98658507920774","2.5704627260829","2.29661002861534","2.02371185014161","1.81896738623706","1.65301922026929","1.09544559058064"
