
"Gas","NFR/CRF Group","Source","Activity","Units","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Sewage gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.877940932668469","0.908565131656996","1.04012451841601","1.0802837662313","1.0802837662313","1.24292871988323","1.18770975413721","1.35135868898451","1.35135868898451","1.34232285822607","1.27003621215855","1.35135868898451","1.20879335924023","1.19493841874396","1.21029933103331","1.12947884480504","1.24634225594753","1.53418366466362","1.46490896218225","1.62514436096525","1.80545938365591","1.98567400822702","2.38224658040301","2.55191940242261","2.43184325145489","2.5222015590393","2.7664701838758","2.9450784385343","3.12910819164787","3.18533113858927","3.2665532172957","3.45289212715865","3.51282980452297"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","OPG","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0.639296039165207","1.29587034965921","1.11444850070691","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Orimulsion","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.11655315009866","3.41325748835364","9.99574459594477","11.1171511865788","8.74424103430431","8.86827326471379","7.73882973399843","1.70050819609821","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Petroleum coke","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.148016372045351","0","0","0","0","0","0","0","0.453543530071517","0.580625923162057","0.81807869108065","0.979353248020961","1.77600584458396","0.681619511435748","0.152507215940622","0.360807097251463","0.172831264865176","0","0.118430389960705","0","0","0","0","0"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Straw","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0460101888513735","0.381268231603282","0.298564558808134","0.430575100652729","0.414837708082506","0.239490565788137","0.244663240336328","0.175630511596948","0.160132487593126","0.193420077670345","0.247604427577689","0.228768035694984","0.314794280004434","0.238008266715628","0.24450096519777","0.361562725572927","0.730105804302266","0.970671888565843","0.554975935098015","1.0263185109402","1.08361814789544"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Wood","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.070708973914313","1.64901137874172","1.18651957308095","1.37626806957363","1.57017084441251","1.51765160169433","1.69188405171654","2.00644354380565","3.05634852311316","5.52394413609151","6.62321383479616","8.73908885523458","6.75808809581862","6.8688859985564","8.39503343114192","10.6201189666832","11.1809521244129"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Slurry","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.49182723967861","1.04577340937283","1.84948447034409","0.940969305690382","1.1861149315705","0.217842975542273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","MSW","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.152","1.13757559578947","0.875098307368421","0.860632901052631","1.03100369684211","1.47743886315789","2.33898146526316","2.46838918736842","2.38922530105263","2.8664511311475","4.18349026171293","3.18115524086394","3.55869679352725","3.79034020183864","3.60886312322842","3.7517948177936","3.78688819464315","3.11870461836257","2.45944357658661","2.54419056673379","2.65186124974481","2.95182276132912","3.5648690647971","4.35512855465814","5.36292851892628","5.04968043033148","6.40466442043614","8.24192026807068","9.66753729383838","9.06794454566707","10.1005110841225","12.0471251068293","14.5630498879703"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Scrap tyres","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.295488","0.295488","0.459648","0.503424","0.361152","0.2736","0.089139648854304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Sour gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.3864316966825","18.6167058199052","9.89637520379147","9.6323651943128","9.55036208530806","7.3602790521327","8.46732102369668","7.40428072037915","1.52753897193958","0.377653592270856","0.364734254291205","0.189068578524479","0.193510714021075","0.215635974618771","0.0661426235561986","0.00362981112705296","0","0.0173574333065453","0","0","0","0","0","0","0","0","0","0","0.247288567665365"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Waste oils","kilotonne","1.45798967024235","1.42448692888359","1.38105744934446","1.47039809296782","1.29668017481128","1.23091553436631","1.25325069527215","1.27682669845054","1.26689996027016","1.27806754072308","1.11179467620183","1.03858498212157","1.02617655939611","1.01500897894319","1.01500897894319","1.01252729439809","0.996396344854986","1.02741740166865","1.05347508939213","0.938805333333334","1.07709078454135","1.01738460186162","1.00709586738253","1.06437119338481","1.08702020104142","1.25090846212552","1.2001859201729","1.08846268503735","0.971496726464009","0.974653156076025","1.01869810249571","1.10886810136289","1.17504987186064","1.25363622251896","1.36417048341595","1.63735459369543","0","0","0","0.507131859514137","0.60680771013035","0.537950567389986","0.450594054706762","0.759376954088509","0.899648132600565","0.755040544290131","0.646062974786401","0.806801193573063","0.739567394763061","0.865919874092297","0.756164506762454"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Poultry litter","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0562114676136364","0.153548879151515","0.5858743845","0.505397433681818","0.3662863515","0.507273589713073","0.477860478912532","0.520949167094028","0.832933498178387","1.21066787834005","1.07117186624737","1.10013583628115","0.988348094205966","0.760358746993285","0.616312403068286","0.639398087569694","0.74062164329832","0.751341038745376","0.85022163014425","0.784797285688955","0.704610320391782","0.753756173464706","0.733468321614309","0.796586587901746","0.795934950984001","0.885493279155225","1.16036901325398","0.954663593477466","0.939467724090176"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Liquid bio-fuels","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0629712265602207","0.776021252627742","1.33037209184598","0.227783820930385","0.0731320883708606","0.0655405457672957","0.0409768245334128","0.0477570810183781","0.183893945713","0.249927224838335","0.0165526831428916","0.0223393776548679","0.00409679891426734","0.00644240382544915","0.000509817806670926","0.000672917661046236","0"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Heat supply","Landfill gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.258069092599953","0.301181811599004","0.343361568820731","0.364445173923758","0.31625407654541","0.150597179307338","0.189752445927246","0.15160116050272","0.166660878433454","0.155617085284249","0.136541442571986","0.136541442571986","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291","0.13634064633291"
