
"Gas","NFR/CRF Group","Source","Activity","Units","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"PM1 (Particulate Matter < 1&micro;m)","1A","","","kilotonne","329.6359020149","290.93154106356","251.35549857263","253.18712632012","234.10243768173","198.83304644341","194.98891133685","192.43006715764","181.8438860636","185.57064140151","162.2143268476","152.27509024284","149.45146798851","141.75351833386","125.12260127174","141.55852634819","147.55328658661","132.62918529461","126.03863935751","123.17473894959","119.67128716965","121.35570964392","118.08403153001","113.1360106882","106.03202766889","96.941727974604","95.223477523594","91.356225013896","87.530524064674","86.921552425291","75.362141265688","70.780939502482","63.643397568689","61.346119295473","60.986126501572","60.208577435579","58.950803239676","53.232037114976","49.035837714053","44.432975335303","45.642820341912","41.176568041972","41.094875463061","39.3419544721","37.824374469393","37.294531353619","35.87517732897","36.746832926457","39.618116949686","37.89872652349","35.628861693663"
"PM1 (Particulate Matter < 1&micro;m)","1A1a","Miscellaneous industrial/commercial combustion","MSW","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00413826821111176","0.00413256025310223","0.00437800236758206","0.00458348878900704","0.00468623199971952","0.0051599923602271","0.005702248194543","0.00541913356946859","0.00350068950722044","0.00369875558564951","0.00176923718262744","0.00253603356975643","0.00450601153359755","0.00286176659399304","0.00331792519384425","0.00368780764467586","0.00441658359682717","0.00377109574626311","0.00435774838575673","0.00504020764452067","0.00406523577456922","0.00444498297110729","0.00558016121056611","0.00412478911311766","0.00467540379347949","0.00401474882812976","0.00442269031785818","0.00323659886012965","0.00478246345094781","0.00474414129049219","0.00569869259974869","0.00753700286509908"
"PM1 (Particulate Matter < 1&micro;m)","1A1a","Power stations","Burning oil","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.49184798314854e-07","6.49184798314854e-07","5.27216745298123e-07","6.19676398391454e-07","5.80331865160248e-07","5.70495731852448e-07","4.91806665390041e-07","4.91806665390041e-07","2.88183106768097e-05","0.000663579134394441","0.000260818273442517","2.73179369071358e-05","2.39406899675259e-05","3.52823980817232e-05","3.03337133486299e-05","0.000772167226721827","1.05605881746584e-05","1.07449450646573e-05","1.20925764065149e-05","2.94551241229152e-05","1.3446317300491e-05","1.44570078748642e-05","1.57066886148037e-05","2.35130843358823e-05"
"PM1 (Particulate Matter < 1&micro;m)","1A1a","Power stations","Coal","kilotonne","12.2502432033707","11.5571056081116","10.5737989440201","12.1856730497268","10.6382104486379","11.8352173509565","12.3428942346436","12.6919220921786","12.7871115078699","14.0880335223182","14.2100346234293","13.8381613061284","12.7280940701413","12.9402078181068","8.47360313581686","11.730508993696","13.1126593095343","13.6717384776947","13.0829919416438","12.7923469257329","13.0972703670947","13.0125517870447","12.2142298866484","10.1687679904222","9.00656350624867","6.83922961969065","6.28708737583792","3.74113085659035","4.27951753218584","3.25548170777478","3.80053321115652","2.88776006623208","1.37327926360909","1.21894349414385","1.30841896783808","1.13752371072313","1.43928182364725","1.12815744040795","0.935963098684568","0.644051832948439","0.701805598416812","0.705267344669345","1.14973145760935","1.0585182218569","0.793006251529764","0.528759315989543","0.145217153933812","0.118891087668693","0.0766968549562039","0.045791265132169","0.0247163295732032"
"PM1 (Particulate Matter < 1&micro;m)","1A1a","Power stations","Coke","kilotonne","0.0099605353846154","0.0034604676923077","0.00126260307692308","0.00046763076923077","0.000296166153846154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PM1 (Particulate Matter < 1&micro;m)","1A1a","Power stations","Fuel oil","kilotonne","1.42478454127193","1.71649250792569","2.08229453750874","1.93183211892697","1.97671947530578","1.5468781506223","1.20669183907942","1.21626780844023","1.33405223157823","1.28258139626386","0.758416773376373","0.570727773904442","0.749559001717621","0.44935236225614","2.36921451948209","1.13822365814961","0.656541585226534","0.517549106062101","0.595872112258448","0.619246018653528","0.709164094121666","0.525190992100386","0.35801768937562","0.321203147360033","0.226792597587387","0.159237766275544","0.199464478492716","1.46399600410557","1.17379740604848","0.927640776362356","0.782219531815893","0.603536189635917","0.281617268496321","0.262582534053996","0.25866187900156","0.21528643540749","0.263464126434163","0.198113120769938","0.373376429017095","0.233471845005697","0.194384469480551","0.126934581120441","0.138192476482","0.0679271196420633","0.0544534955472448","0.0584187120783091","0.0534961774017292","0.0466048722957053","0.0355441370678148","0.0227778584281172","0.0172929558612227"
"PM1 (Particulate Matter < 1&micro;m)","1A1a","Power stations","Gas oil","kilotonne","0.0986435319767444","0.0726900436046513","0.166264534883721","0.0864778343023258","0.0737038517441862","0.0427827034883722","0.0364970930232559","0.0724872819767444","0.0499807412790699","0.0479531250000001","0.0182485465116279","0.00963117732558142","0.0241286337209303","0.013078125","0.0454186046511629","0.0214927325581396","0.00780632267441862","0.00689389534883722","0.00699527616279071","0.00527180232558141","0.00647649938590117","0.00743131402979651","0.0060153038699128","0.00745029555959303","0.00813113159520349","0.00482520159156977","0.00625372417151163","0.00654423142121653","0.00174976966932657","0.0137538425029189","0.00289852613909828","0.0011238722494868","0.00279796056945435","0.00450874609445194","0.0464710872860949","0.00904997030973152","0.0113329072451545","0.00655537914801286","0.00705453000142817","0.00696768331663792","0.0110481460168064","0.00318823069991555","0.00464081536669586","0.00619085308277943","0.0118663042317568","0.00601303441227833","0.00766328501906333","0.00658303735362696","0.00486514073008291","0.00654005914512729","0.00433368633789866"
"PM1 (Particulate Matter < 1&micro;m)","1A1a","Power stations","LPG","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0.00920429316227351","0.0190222058686985","0.0170060273664863","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PM1 (Particulate Matter < 1&micro;m)","1A1a","Power stations","Natural gas","kilotonne","0.00912825417812652","0.0400121808141212","0.0958466688703284","0.043359207346101","0.14985550609091","0.130534034747209","0.0973680445666828","0.0666362555003237","0.0384908051177668","0.0244941487113061","0.00836756632994931","0","0","0","0.0150616193939088","0.0191693337740657","0.000167351326598987","0.000182565083562531","0.000258633868380251","0.00028906138230734","0.000456915686184361","0.00104882918874137","0.0142973735409922","0.26140270649207","0.417103428809017","0.555002885217384","0.777885102188549","2.06901215557302","0.0981784585385489","0.299987826348901","0.172568811935102","0.184737003718189","0.409920988895531","0.44659643315067","0.415891634878851","0.617411838005202","0.681624177499527","0.943036121865508","1.01686342607256","0.714680995547895","0.734727534654293","0.557632999622274","0.494461501610138","0.392310078612136","0.133774619970556","0.047244632365558","0.113679488125302","0.114239481360897","0.181862923439189","0.0947723675835438","0.0769055557009583"
"PM1 (Particulate Matter < 1&micro;m)","1A1a","Power stations","Landfill gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0137717812239222","0.018877856909708","0.0188786433475252","0.0282351639539741","0.051171059599871","0.0606931823409473","0.0701739045483668","0.0763011835295812","0.0960906386175572","0.124657006840786","0.160965274857847","0.23118057993987","0.297069529254753","0.340411747940113","0.36371196828219","0.444857014249623","0.543646967661607","0.582580029512512","0.600771424001334","0.635034505655746","0.63763031911603","0.667720226977832","0.70836727092213","0.722099827936109","0.707228756246567","0.702633297010656","0.683431729500607","0.661563967623057","0.638574251283407","0.581669217772061","0.531698773648239","0.492124003525653","0.47471093906958"
