
"Gas","NFR/CRF Group","Source","Activity","Units","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Carbon Monoxide","1A","","","kilotonne","8391.385747432","7784.429839454","7297.0915841619","7344.5930173186","6994.5336238341","6569.6846937288","6566.1131419602","6680.8458207759","6662.7690106582","6772.6865082542","6270.8875624643","6243.0534691672","6263.2903041257","6123.1874989131","5980.3574957605","6638.5199278761","6821.0636891587","6838.5642989541","6874.9624375793","7073.9266612233","6986.3954310299","7133.6559637125","6859.2240287161","6690.136663843","6285.0678524357","5842.085401345","5837.0037030963","5327.751923379","5061.5352644784","4802.7472662072","4215.2661923416","3976.1978839612","3579.8598636242","3299.0678805104","3110.991119364","2838.1223823366","2636.2025392957","2445.0901354214","2239.9735064085","1819.2360130256","1724.2563035445","1567.3981717822","1527.6862681352","1491.1382802136","1418.7739853595","1382.1048643714","1268.4981233154","1260.5712209664","1262.6266732892","1215.1620517482","1101.7698362521"
"Carbon Monoxide","1A1a","Miscellaneous industrial/commercial combustion","MSW","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.223663263157895","0.223354762105263","0.236620307368421","0.247726345263158","0.253279364210526","0.248222347617893","0.22361444584536","0.232017807370849","0.073958277195485","0.0436170434420097","0.0494063907466748","0.0620084374453216","0.0678379761319161","0.0717974642931188","0.0834742275970433","0.0856251191489038","0.089839514514397","0.080148112103541","0.0922530398122973","0.0994960633778927","0.0845448916755068","0.0840101973753442","0.106191169099181","0.106420447673926","0.13532526225439","0.0778645133519206","0.0857182361496967","0.0745397597701467","0.0912872660894192","0.0838169022287272","0.0771964233518919","0.0895271873607582"
"Carbon Monoxide","1A1a","Power stations","Burning oil","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000207449965172525","0.000207449965172525","0.000145690877522102","0.000300899793070889","0.000229947145962872","0.000218698555567698","0.000229298188824689","0.000250930093430791","0.0125274103557092","0.0168599150705864","0.00611996315311114","0.00375614430294571","0.00302664895919215","0.00244004958750545","0.0025258704489269","0.00247022645339703","0.00151401435787772","0.00154250223108872","0.00170752846314059","0.00419281632905626","0.00192828362264238","0.00219197723164853","0.00216360746132101","0.00284242166571926"
"Carbon Monoxide","1A1a","Power stations","Coal","kilotonne","97.6404317860773","92.1157860329513","84.278350835452","97.1257760704622","84.7917420407093","94.3324726901337","98.3789058350188","101.160828622127","101.919534836793","112.288519770561","113.260928235691","110.296915957063","101.4491369837","103.139787332048","67.5387627192055","93.4978958540011","104.514310090951","108.970444591756","104.277846654047","101.9612636786","104.391652586246","103.716404055194","97.3533879348619","81.0500558920483","85.5876319480637","83.9981933903138","79.9649608016302","30.9843747331489","47.3196687544743","38.9112814171281","44.1538636549738","48.9872460437947","46.053331540327","49.3264742313223","47.0243400677494","42.9966571964717","49.6630098656449","47.8401266410691","41.3573606334519","35.2644589824313","37.055059327235","37.4351661044924","51.9475206749271","48.4709410886117","35.3204619986669","26.0128256664686","9.19587284754876","6.02354001039878","15.831593165731","7.64142766493292","4.17876077898246"
"Carbon Monoxide","1A1a","Power stations","Coke","kilotonne","0.16566714","0.05755572","0.02100006","0.0077778","0.00492594","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carbon Monoxide","1A1a","Power stations","Fuel oil","kilotonne","14.4737207614166","17.4370457631449","21.1530577472572","19.6245803048393","20.0805699952981","15.7140127194645","12.2582188520407","12.3554966526719","13.5520136004358","13.0291454220431","7.70440180999205","5.79775691762028","7.61441984440818","4.56476079461966","24.0677438486699","11.5626825775275","6.66949935064812","5.25753966615639","6.05318650821759","6.29063110735948","7.20406684190648","5.33517001667213","3.63693450673264","3.26295276733995","2.43276009254093","2.20789152142613","2.32044655925717","1.57333274478935","1.89890129169201","1.85033245375006","1.80354967495511","1.94875054438184","1.60337373188877","1.50239389687529","1.93931677956485","1.06622518490963","1.20489015322154","1.23996908812476","1.8081479498201","1.42918550841122","1.25054429795837","0.83423554693362","0.849129753389235","0.479321602405005","0.401127794872446","0.48222689701961","0.51118793783804","0.341393676700795","0.734228187566326","0.40123635915092","0.281447056261232"
"Carbon Monoxide","1A1a","Power stations","Gas oil","kilotonne","0.630504000000002","0.464616000000001","1.06272","0.552744000000001","0.471096000000001","0.273456000000001","0.233280000000001","0.463320000000001","0.319464000000001","0.306504000000001","0.11664","0.0615600000000001","0.154224","0.0835920000000002","0.290304000000001","0.137376","0.0498960000000001","0.0440640000000001","0.0447120000000001","0.0336960000000001","0.0422706005251162","0.048509167397688","0.039546518463","0.048465204282864","0.05302136074212","0.031864307120784","0.0341445915666588","0.0305540496735874","0.118054868866008","0.158978633876372","0.11558412121752","0.0915967872893522","0.703716449794328","0.0591168676633742","0.326573487382279","0.142931172411511","0.168310430592131","0.148517367507024","3.5101480459741","0.171609509485334","0.144175916700281","0.129577097456269","0.163713387158817","0.166072555844388","0.141636491632371","0.167008580902848","0.110029331528677","0.101328471575201","0.162872476389548","0.17962035364456","0.182009796940364"
"Carbon Monoxide","1A1a","Power stations","LPG","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0.403334194751311","0.833557335819374","0.745207940778612","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carbon Monoxide","1A1a","Power stations","Natural gas","kilotonne","0.032090633146972","0.140663941960894","0.336951648043206","0.152430507448117","0.526821227496124","0.4588960540017","0.342300086901035","0.234261621972896","0.135315503103065","0.0861098656110414","0.0294164137180577","0","0","0","0.0529495446925038","0.0673903296086411","0.000588328274361156","0.000641812662939442","0.000909234605830871","0.00101620338298745","0.00160629988805249","0.00368718837939322","0.0502628169983071","0.918968533738212","1.67988757330346","1.95260871865089","2.99652107738537","3.49902145412984","5.22412471392193","5.95524631082742","12.4150337628777","9.84076209759166","9.95429613973725","11.3973426660013","12.5862043601365","11.8682294274696","13.1692517329654","13.4656147304632","12.4845823217711","12.7548773340442","13.3103556748681","12.5144464989723","11.7851123171392","9.91497469637887","10.0189984430627","9.96996870365608","9.30692590109294","10.1412247336857","9.59014486617957","10.768422811713","10.3226238379785"
"Carbon Monoxide","1A1a","Power stations","Landfill gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.18263524669071","0.250349754881927","0.250360184271009","0.374442205422869","0.678607867892473","0.804886031011622","0.93061515863895","1.01187241142866","1.27431137651977","1.65314586587721","2.13464999220545","3.06581418633622","3.93960417157155","4.51438942796041","4.82338660275805","5.89949616672994","7.20960465731652","7.7259176338263","7.96716382893305","8.42154560196526","8.45597012730253","8.85500912275904","9.39405216863026","9.57616724126775","9.37895369260514","9.31801075301286","9.06336809190563","8.77336754512505","8.46848813651608","7.7138388530062","7.05115301437658","6.52632998774356","6.29540565988306"
