
"Gas","NFR/CRF Group","Source","Activity","Units","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Nitrous Oxide","1A","","","kilotonne","12.249575439049","12.174791218435","11.978782554042","11.850274524748","12.075452978042","12.397265792254","11.899059374352","11.539965151302","11.616474319104","11.385205963741","11.354953486364","11.343124942695","11.107899274264","10.761777053681","10.436534773979","10.211269642205","10.008280366179","9.5676071050694","8.6514750200497","7.9407947368325","8.1135133968752","7.953256212446","8.5892403795549","8.5102836699784","8.2681969926852","8.3425562298414","7.8380412815786","7.8020337389405","7.9169384731793","7.7976769585562","7.1242270048654"
"Nitrous Oxide","1A1ai","Miscellaneous industrial/commercial combustion","MSW","kilotonne","0.00848748096","0.00899157168","0.00941360112","0.00962461584","0.01059762816","0.01171131696","0.011129854176","0.007189740432","0.00759652992","0.00814165128","0.011848476528","0.012536618976","0.014766341184","0.017685378144","0.017515394064","0.018895195872","0.017037094032","0.020051087616","0.02171107008","0.020575107504","0.019391080464","0.021707553168","0.020317511145","0.0214605672252632","0.021194084016","0.023927896944","0.025000555104","0.030629958912","0.0302419262881308","0.0293111169130552","0.0333509414444494"
"Nitrous Oxide","1A1ai","Power stations","Burning oil","kilotonne","0","0","0","0","0","0","0","7.69459913820756e-06","7.69459913820756e-06","7.69459913820756e-06","7.69459913820756e-06","8.71501290677874e-06","8.08229701192842e-06","7.72109054381196e-06","7.97830788086358e-06","0.000426859301151149","0.000487362592936078","0.00018828195666648","0.000123852218401223","9.74612457426084e-05","7.02635737059048e-05","7.27173277593672e-05","6.28087630200786e-05","4.3721369526313e-05","4.44699726218623e-05","5.00623145812171e-05","0.000121906150146691","5.56295663702152e-05","6.80058895891146e-05","6.4093864203441e-05","8.22326284404666e-05"
"Nitrous Oxide","1A1ai","Power stations","Coal","kilotonne","3.53482330107746","3.51195859702834","3.29649943827331","2.7444495706603","2.59689943928712","2.48099166052125","2.28745521426275","1.94063105171987","1.99646546010949","1.69485689209072","1.9165931400098","2.11051023649113","1.97581957434469","2.17925463910894","2.09670192486417","2.16724815687135","2.39375281581542","2.18391322491508","1.98815510745","1.63225396862485","1.7211578307826","1.73447443088196","2.30934593995952","2.14204024061271","1.6419062800683","1.24858407376668","0.512081797052086","0.370150407932189","0.280552203352421","0.122381218063857","0.0981773356175927"
"Nitrous Oxide","1A1ai","Power stations","Coke","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrous Oxide","1A1ai","Power stations","Fuel oil","kilotonne","0.149124728721448","0.111935227836061","0.0785428613352272","0.0707488639613288","0.0541964991054342","0.0515360986144263","0.0513875648261105","0.0264954283815947","0.0225724751710031","0.0233900508162847","0.0230499121730287","0.0243075304264362","0.0191080727875495","0.0178979818135429","0.0202008956722677","0.0166679428407329","0.021561392409461","0.0176549819363671","0.0253120160998425","0.018580507946128","0.0134153767842464","0.00959362251905409","0.0107949717620135","0.00829642398713841","0.0070433705028598","0.00685293954382372","0.00738042034462943","0.00551361066239043","0.00548794344909764","0.0050348492277703","0.00390074380996155"
"Nitrous Oxide","1A1ai","Power stations","Gas oil","kilotonne","0.00527196689613631","0.00551324572028159","0.00535461268895561","0.00574254284403751","0.00606357597707891","0.0053651656731851","0.00570433889847536","0.00867321069288565","0.00833855331020995","0.00973379009806044","0.00830199799054765","0.00837337304847791","0.00844091402558811","0.00861056843980103","0.0096824018970682","0.00929703221647284","0.00982974842129453","0.00733128815161592","0.00755487735395904","0.00703822142515085","0.00693461533068155","0.00716524439949239","0.00706640788375471","0.00748755956485327","0.00771599511665498","0.00749529772532611","0.00713870916429443","0.00705309957308296","0.00753429612598893","0.00746445145713684","0.00670901409691067"
"Nitrous Oxide","1A1ai","Power stations","LPG","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrous Oxide","1A1ai","Power stations","Natural gas","kilotonne","2.85982372188287e-05","6.56459536159476e-05","0.000894868993327842","0.0163611292760208","0.0261063981004453","0.0347374901945845","0.0486876317754711","0.0657027529104205","0.0724690997846446","0.0878167300522351","0.0900726255743545","0.0888118446005915","0.0936136995332929","0.0920314250390763","0.0984598649623804","0.0959081149553977","0.0905012602160621","0.104241999608321","0.1122617635224","0.106955739211612","0.112665977948415","0.0905062473193025","0.0600688278582971","0.0572142640660055","0.0620213252417672","0.0606952804682557","0.0885472159591825","0.0840026769838483","0.0803216117196718","0.080092951229102","0.0667480027619244"
"Nitrous Oxide","1A1ai","Power stations","Landfill gas","kilotonne","0.0001737354528","0.0002598411816","0.0004709145168","0.0005585442408","0.000645792966","0.0007021807884","0.0008842982148","0.0011471873868","0.0014813233344","0.0021274972992","0.0027338568894","0.00313272453312","0.00334715065776","0.00409390830576","0.00500304764232","0.00536133891384","0.00552874978656","0.00584406439344","0.0058679530182","0.00614486294604","0.00651892756788","0.00664530486984","0.00650845010088","0.00646615923408","0.00628945199064","0.00608820842448","0.00587663979084","0.00535295694024","0.00489309138864","0.00452889463572","0.00436864654044"
