sector,wday,hour,coeff,coeff_l,coeff_u
1,1,0,0.965696254356686,0.95573069441734,0.975661814296032
1,2,0,0.974306700364854,0.964324652330005,0.984288748399703
1,3,0,0.967218567966261,0.956900919473035,0.977536216459486
1,4,0,0.964861344748586,0.9543333455895,0.975389343907673
1,5,0,0.969482308352099,0.959797315008097,0.979167301696102
1,6,0,0.975009825906053,0.964799360870901,0.985220290941205
1,7,0,0.974583367143379,0.964920040382702,0.984246693904057
1,1,1,0.956575052737464,0.946974993902534,0.966175111572394
1,2,1,0.96336334180943,0.953751790345571,0.972974893273289
1,3,1,0.958065716287481,0.948215801059372,0.96791563151559
1,4,1,0.959489368015412,0.949496465789339,0.969482270241485
1,5,1,0.960838263009138,0.9514452720492,0.970231253969075
1,6,1,0.968753362875821,0.95897893172883,0.978527794022813
1,7,1,0.966378067076075,0.957002333343389,0.975753800808761
1,1,2,0.953487463195652,0.942758880837115,0.96421604555419
1,2,2,0.957382783785402,0.94663136109802,0.968134206472785
1,3,2,0.954183737874881,0.942979000073647,0.965388475676115
1,4,2,0.961054946481434,0.949565011341011,0.972544881621858
1,5,2,0.955827999962241,0.94547941679941,0.966176583125072
1,6,2,0.965682346602719,0.954621864340077,0.976742828865362
1,7,2,0.96291703038221,0.952596536200073,0.973237524564347
1,1,3,0.954040042990848,0.94297840516724,0.965101680814455
1,2,3,0.95663288280914,0.945548239309481,0.9677175263088
1,3,3,0.954865737363832,0.94332776779945,0.966403706928215
1,4,3,0.965060446566539,0.953241289922184,0.976879603210894
1,5,3,0.955603983023839,0.944929180061025,0.966278785986654
1,6,3,0.965283317118176,0.953888837047438,0.976677797188914
1,7,3,0.962913168443397,0.952267240378552,0.973559096508243
1,1,4,0.957492960739531,0.947013767027238,0.967972154451825
1,2,4,0.961190380513812,0.950696900011006,0.971683861016618
1,3,4,0.960013606954237,0.949231631313439,0.970795582595036
1,4,4,0.970371957971292,0.959418292592931,0.981325623349653
1,5,4,0.960604625755999,0.950381152414958,0.97082809909704
1,6,4,0.968069415867074,0.957378133643301,0.978760698090846
1,7,4,0.965470151699315,0.955267540907548,0.975672762491081
1,1,5,0.965018133582064,0.953712023673704,0.976324243490425
1,2,5,0.970911069641338,0.959580029522759,0.982242109759918
1,3,5,0.970233061254457,0.958404433572628,0.982061688936287
1,4,5,0.979744388037595,0.96759787519961,0.99189090087558
1,5,5,0.970442824584352,0.959547704624008,0.981337944544695
1,6,5,0.975740643424535,0.964071189568443,0.987410097280627
1,7,5,0.970143409129727,0.959278392076984,0.981008426182471
1,1,6,0.977313361014927,0.966692306191043,0.987934415838811
1,2,6,0.985130791034957,0.974493381080817,0.995768200989097
1,3,6,0.985610651076882,0.974642839823754,0.99657846233001
1,4,6,0.995042033519344,0.983872612537256,1.00621145450143
1,5,6,0.984308482026212,0.973971696993151,0.994645267059272
1,6,6,0.989286473403931,0.978423272385777,1.00014967442209
1,7,6,0.976563382540273,0.966249031585518,0.986877733495028
1,1,7,0.991827522045515,0.980986327690865,1.00266871640016
1,2,7,1.0003447596396,0.989484404738793,1.01120511454041
1,3,7,1.00310845677609,0.9918631419959,1.01435377155629
1,4,7,1.01193344024022,1.00044840219927,1.02341847828117
1,5,7,0.999281868932061,0.988766605623617,1.00979713224051
1,6,7,1.00535053320832,0.994227632390129,1.01647343402651
1,7,7,0.984639448475003,0.974149152490144,0.995129744459863
1,1,8,1.0049057672598,0.993729055799059,1.01608247872053
1,2,8,1.01209777282563,1.00089771297636,1.02329783267491
1,3,8,1.01861779440844,1.00695138936523,1.03028419945166
1,4,8,1.02398222347055,1.0120198388066,1.0359446081345
1,5,8,1.01174038112172,1.00095161551332,1.02252914673011
1,6,8,1.01909014430141,1.00757265551831,1.03060763308451
1,7,8,0.994361268656891,0.983601229339077,1.00512130797471
1,1,9,1.01443646674236,1.00398673433831,1.02488619914641
1,2,9,1.01816017141398,1.00769641109305,1.0286239317349
1,3,9,1.02895523211501,1.01820644212104,1.03970402210898
1,4,9,1.02768893311205,1.01676982361917,1.03860804260493
1,5,9,1.01989222104903,1.00969275093576,1.03009169116229
1,6,9,1.02713119104655,1.0164722265135,1.03779015557959
1,7,9,1.00471751396209,0.994538457499908,1.01489657042427
1,1,10,1.02070173850637,1.00944526625714,1.0319582107556
1,2,10,1.01975342538727,1.00847262966598,1.03103422110856
1,3,10,1.03237316914487,1.02060709542212,1.04413924286762
1,4,10,1.02410971972201,1.01203464081755,1.03618479862646
1,5,10,1.0247844827871,1.01393035656744,1.03563860900676
1,6,10,1.02837818145744,1.01676717985506,1.03998918305983
1,7,10,1.01314516854707,1.00232063767486,1.02396969941928
1,1,11,1.02424753123169,1.01352169098632,1.03497337147705
1,2,11,1.01845230528727,1.00770882343782,1.02919578713673
1,3,11,1.02787792869198,1.01677881446116,1.0389770429228
1,4,11,1.01509563878309,1.00377693137795,1.02641434618823
1,5,11,1.02763062482931,1.01720818145123,1.0380530682074
1,6,11,1.02247319090707,1.01148697518882,1.03345940662532
1,7,11,1.01741370638508,1.00701486745948,1.02781254531069
1,1,12,1.02607975145297,1.0153539112076,1.03680559169833
1,2,12,1.0162797251885,1.00553624333904,1.02702320703795
1,3,12,1.01948236798903,1.00838325375821,1.03058148221985
1,4,12,1.0056984481534,0.994379740748263,1.01701715555854
1,5,12,1.02902591403755,1.01860347065947,1.03944835741564
1,6,12,1.01335917089834,1.00237295518009,1.02434538661659
1,7,12,1.01899317724347,1.00859433831786,1.02939201616908
1,1,13,1.02742148492287,1.01616501267364,1.0386779571721
1,2,13,1.01546609809034,1.00418530236906,1.02674689381163
1,3,13,1.01357045100327,1.00180437728052,1.02533652472602
1,4,13,1.00247307166327,0.990397992758814,1.01454815056773
1,5,13,1.02927157225983,1.01841744604017,1.0401256984795
1,6,13,1.00701477534902,0.995403773746639,1.01862577695141
1,7,13,1.02110866493085,1.01028413405864,1.03193319580306
1,1,14,1.02914612686281,1.01869639445876,1.03959585926686
1,2,14,1.01723508228912,1.0067713219682,1.02769884261004
1,3,14,1.01388270138091,1.00313391138695,1.02463149137488
1,4,14,1.00822320208236,0.99730409258948,1.01914231157524
1,5,14,1.02878934210542,1.01858987199215,1.03898881221868
1,6,14,1.00695246469741,0.996293500164361,1.01761142923045
1,7,14,1.02542630389323,1.01524724743105,1.03560536035541
1,1,15,1.03139093956891,1.02021422810818,1.04256765102965
1,2,15,1.02069641386448,1.0094963540152,1.03189647371375
1,3,15,1.01858552136188,1.00691911631866,1.0302519264051
1,4,15,1.01786649751651,1.00590411285256,1.02982888218047
1,5,15,1.02825750512633,1.01746873951793,1.03904627073472
1,6,15,1.01148661004599,0.999969121262892,1.02300409882909
1,7,15,1.03032032505846,1.01956028574064,1.04108036437627
1,1,16,1.03409239348015,1.02325119912551,1.0449335878348
1,2,16,1.02467421173927,1.01381385683846,1.03553456664008
1,3,16,1.02510549129381,1.01386017651361,1.036350806074
1,4,16,1.02563518743464,1.01415014939369,1.03712022547559
1,5,16,1.02823890964538,1.01772364633693,1.03875417295382
1,6,16,1.01820992790254,1.00708702708435,1.02933282872073
1,7,16,1.03382127900946,1.0233309830246,1.04431157499432
1,1,17,1.03593030069429,1.02530924587041,1.04655135551818
1,2,17,1.02776664215757,1.01712923220343,1.0384040521117
1,3,17,1.03042812779131,1.01946031653818,1.04139593904444
1,4,17,1.02933692404275,1.01816750306067,1.04050634502484
1,5,17,1.02757897251695,1.01724218748389,1.03791575755001
1,6,17,1.02393483236687,1.01307163134872,1.03479803338503
1,7,17,1.03478310111175,1.024468750157,1.04509745206651
1,1,18,1.03477413942976,1.0234680295214,1.04608024933812
1,2,18,1.02842630714204,1.01709526702346,1.03975734726062
1,3,18,1.03125551226805,1.01942688458622,1.04308413994988
1,4,18,1.02908574277187,1.01693922993389,1.04123225560986
1,5,18,1.02401599369038,1.01312087373004,1.03491111365073
1,6,18,1.02497184199527,1.01330238813918,1.03664129585136
1,7,18,1.03259104549805,1.02172602844531,1.0434560625508
1,1,19,1.02889165928051,1.01841246556821,1.0393708529928
1,2,19,1.02531423271309,1.01482075221029,1.0358077132159
1,3,19,1.02540254149581,1.01462056585501,1.0361845171366
1,4,19,1.02469436740361,1.01374070202525,1.03564803278197
1,5,19,1.0161695896868,1.00594611634576,1.02639306302785
1,6,19,1.01914234835179,1.00845106612802,1.02983363057556
1,7,19,1.02674158717952,1.01653897638776,1.03694419797129
1,1,20,1.01773510851036,1.00667347068676,1.02879674633397
