Profile_ID,Pollutant,Year,dow,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
MISC_ANY,All,0,1,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667
MISC_ANY,All,0,2,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667
MISC_ANY,All,0,3,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667
MISC_ANY,All,0,4,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667
MISC_ANY,All,0,5,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667
MISC_ANY,All,0,6,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667
MISC_ANY,All,0,7,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667
AVIA_DOM_TOL,All,0,1,0.00735,0.0045,0.00155,0.0013,0.0045,0.02785,0.05635,0.06895,0.0672,0.05265,0.05375,0.0554,0.05885,0.05775,0.0557,0.05825,0.0596,0.0635,0.0631,0.05355,0.04515,0.03995,0.0295,0.0138
AVIA_DOM_TOL,All,0,2,0.00685,0.00575,0.0028,0.00275,0.0064,0.0288,0.05495,0.069,0.06925,0.0531,0.05165,0.05445,0.05955,0.0532,0.05625,0.05645,0.0592,0.064,0.0657,0.05275,0.0465,0.0394,0.0291,0.0123
AVIA_DOM_TOL,All,0,3,0.00655,0.0048,0.0028,0.0027,0.0046,0.02765,0.05515,0.06675,0.0672,0.0529,0.06645,0.0512,0.05735,0.0533,0.05495,0.0568,0.05775,0.0635,0.06415,0.05545,0.0449,0.0416,0.0281,0.0133
AVIA_DOM_TOL,All,0,4,0.0071,0.005,0.0025,0.0023,0.0057,0.0272,0.0553,0.06825,0.0653,0.05015,0.04845,0.05375,0.0591,0.0556,0.05835,0.0587,0.06165,0.06515,0.065,0.0547,0.04625,0.0414,0.0289,0.0142
AVIA_DOM_TOL,All,0,5,0.0071,0.0053,0.00295,0.0026,0.00645,0.0269,0.05645,0.0641,0.06165,0.05195,0.05145,0.0537,0.0599,0.05815,0.05775,0.057,0.0619,0.06535,0.0633,0.0544,0.0454,0.04085,0.0309,0.0145
AVIA_DOM_TOL,All,0,6,0.00715,0.0058,0.0022,0.00235,0.0057,0.0336,0.0663,0.0755,0.06715,0.05645,0.05755,0.0674,0.06695,0.06255,0.05975,0.05525,0.0547,0.0522,0.04615,0.04115,0.0332,0.0341,0.0286,0.01835
