Profile_ID,Pollutant,Year,hdd,hdd_coeff
MEAN_HDD,All,0,217,0.000655481
MEAN_HDD,All,0,218,0.000682679
MEAN_HDD,All,0,219,0.000706925
MEAN_HDD,All,0,220,0.000758684
MEAN_HDD,All,0,221,0.000769295
MEAN_HDD,All,0,222,0.000787334
MEAN_HDD,All,0,223,0.000764655
MEAN_HDD,All,0,224,0.000712738
MEAN_HDD,All,0,225,0.000702416
MEAN_HDD,All,0,226,0.000741978
MEAN_HDD,All,0,227,0.000756542
MEAN_HDD,All,0,228,0.000788031
MEAN_HDD,All,0,229,0.000766471
MEAN_HDD,All,0,230,0.000798116
MEAN_HDD,All,0,231,0.00077945
MEAN_HDD,All,0,232,0.000772253
MEAN_HDD,All,0,233,0.000757803
MEAN_HDD,All,0,234,0.000871899
MEAN_HDD,All,0,235,0.000806629
MEAN_HDD,All,0,236,0.000777261
MEAN_HDD,All,0,237,0.000797111
MEAN_HDD,All,0,238,0.00086194
MEAN_HDD,All,0,239,0.000853038
MEAN_HDD,All,0,240,0.000796499
MEAN_HDD,All,0,241,0.000751864
MEAN_HDD,All,0,242,0.000788387
MEAN_HDD,All,0,243,0.000790335
MEAN_HDD,All,0,244,0.000762915
MEAN_HDD,All,0,245,0.000802406
MEAN_HDD,All,0,246,0.000826994
MEAN_HDD,All,0,247,0.000803402
MEAN_HDD,All,0,248,0.000820826
MEAN_HDD,All,0,249,0.000933527
MEAN_HDD,All,0,250,0.000917631
MEAN_HDD,All,0,251,0.000904058
MEAN_HDD,All,0,252,0.000977884
MEAN_HDD,All,0,253,0.000931991
MEAN_HDD,All,0,254,0.000954853
MEAN_HDD,All,0,255,0.001048062
MEAN_HDD,All,0,256,0.001181749
MEAN_HDD,All,0,257,0.001253738
MEAN_HDD,All,0,258,0.001216226
MEAN_HDD,All,0,259,0.001241498
MEAN_HDD,All,0,260,0.001245816
MEAN_HDD,All,0,261,0.001279721
MEAN_HDD,All,0,262,0.001277909
MEAN_HDD,All,0,263,0.001239867
MEAN_HDD,All,0,264,0.001236117
MEAN_HDD,All,0,265,0.001338724
MEAN_HDD,All,0,266,0.001334393
MEAN_HDD,All,0,267,0.001419659
MEAN_HDD,All,0,268,0.001501095
MEAN_HDD,All,0,269,0.001545496
MEAN_HDD,All,0,270,0.001582624
MEAN_HDD,All,0,271,0.001471029
MEAN_HDD,All,0,272,0.001407437
MEAN_HDD,All,0,273,0.001474884
MEAN_HDD,All,0,274,0.001566464
MEAN_HDD,All,0,275,0.001718163
MEAN_HDD,All,0,276,0.001734132
MEAN_HDD,All,0,277,0.001799731
MEAN_HDD,All,0,278,0.001846847
MEAN_HDD,All,0,279,0.001822828
MEAN_HDD,All,0,280,0.001887344
MEAN_HDD,All,0,281,0.001872831
MEAN_HDD,All,0,282,0.001868621
MEAN_HDD,All,0,283,0.00196066
MEAN_HDD,All,0,284,0.002093287
MEAN_HDD,All,0,285,0.002198517
MEAN_HDD,All,0,286,0.002271328
MEAN_HDD,All,0,287,0.002299369
MEAN_HDD,All,0,288,0.002302518
MEAN_HDD,All,0,289,0.002450368
MEAN_HDD,All,0,290,0.002526205
MEAN_HDD,All,0,291,0.002578621
MEAN_HDD,All,0,292,0.002525588
MEAN_HDD,All,0,293,0.002588369
MEAN_HDD,All,0,294,0.002574293
MEAN_HDD,All,0,295,0.002555155
MEAN_HDD,All,0,296,0.002592695
MEAN_HDD,All,0,297,0.002594125
MEAN_HDD,All,0,298,0.002608481
MEAN_HDD,All,0,299,0.002568148
MEAN_HDD,All,0,300,0.002623882
MEAN_HDD,All,0,301,0.002673596
MEAN_HDD,All,0,302,0.002841227
MEAN_HDD,All,0,303,0.002790822
