Profile_ID,Pollutant,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365
AGRI_BUR_ALL,All,0,1.76805493996194,1.77862259239372,1.7891902448255,1.79975789725728,1.81032554968905,1.82089320212084,1.83146085455262,1.8420285069844,1.85259615941618,1.86316381184796,1.87373146427975,1.88429911671153,1.89486676914331,1.90543442157509,1.91600207400687,1.92656443081863,1.93709501391025,1.94756204956163,1.95793376405261,1.96817838366307,1.97826413467288,1.9881592433619,1.99783193601002,2.0072504388971,2.016382978303,2.02519778050761,2.03366307179079,2.04174707843241,2.04941802671233,2.05664414291043,2.06339365330659,2.06963478418066,2.07533576181252,2.08046481248204,2.08499016246909,2.08888003805354,2.09210266551525,2.09462627113411,2.09641908118998,2.09744932196272,2.09768521973221,2.09709500077832,2.09564689138092,2.09330911781988,2.09004990637507,2.08583748332635,2.08064007495361,2.0744259075367,2.0671632073555,2.05882020068987,2.0493651138197,2.0387665125865,2.02701333653049,2.01412610442498,2.00012805153639,1.98504241313116,1.96889242447575,1.95170132083657,1.93349233748009,1.91428870967273,1.89411367268094,1.87299046177116,1.85094231220983,1.82799245926338,1.80416413819826,1.77948058428092,1.75396503277779,1.7276407189553,1.7005308780799,1.67265874541804,1.64404755623614,1.61472054580066,1.58470094937803,1.55401200223469,1.52267693963709,1.49071899685165,1.45816140914483,1.42502741178305,1.39134024003279,1.35712312916044,1.32239931443248,1.28719203111533,1.25152451447544,1.21541999977924,1.17890172229318,1.14199291728369,1.10471682001722,1.06709666576021,1.02915713971996,0.990939782666455,0.952497009926192,0.913881418068293,0.875145603661881,0.836342163276077,0.797523693479999,0.75874279084277,0.720052051933511,0.681504073321341,0.64315145157538,0.605046783264751,0.567242664958574,0.529791693225967,0.492746464636054,0.456159575757955,0.42008362316079,0.384571203413679,0.349674913085744,0.315447348746104,0.281941106963881,0.249208784308195,0.217302977348166,0.186276282652917,0.156181296791566,0.127070616333236,0.0989968378470455,0.0720125579021159,0.0461703730675685,0.0215228799125229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00423795343819725,0.0116852516023501,0.0187069898714083,0.0253031682453722,0.0314737867242417,0.0372188453080167,0.0425383439966971,0.0474322827902832,0.0519006616887748,0.0559434806921724,0.0595607398004751,0.0627524390136832,0.0655185783317971,0.0678591577548163,0.0697741772827413,0.0712636369155719,0.0723275366533079,0.0729658764959496,0.073178656443497,0.0729658764959493,0.0723275366533079,0.0712636369155716,0.069774177282741,0.0678591577548159,0.0655185783317963,0.0627524390136825,0.0595607398004739,0.055943480692171,0.051900661688774,0.0474322827902818,0.042538343996696,0.0372188453080153,0.0314737867242401,0.0253031682453707,0.0187069898714068,0.0116852516023486,0.00423795343819546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215228799125188,0.0461703730675646,0.0720125579021123,0.0989968378470416,0.127070616333232,0.156181296791563,0.186276282652913,0.217302977348163,0.249208784308191,0.281941106963876,0.315447348746099,0.349674913085739,0.384571203413674,0.420083623160785,0.45615957575795,0.492746464636051,0.529791693225964,0.567242664958569,0.605046783264746,0.643151451575375,0.681504073321335,0.720052051933506,0.758742790842765,0.797523693479994,0.836342163276071,0.875145603661876,0.913881418068287,0.952497009926186,0.99093978266645,1.02915713971996,1.0670966657602,1.10471682001721,1.14199291728369,1.17890172229318,1.21541999977924,1.25152451447544,1.28719203111533,1.32239931443248,1.35712312916044,1.39134024003279,1.42502741178305,1.45816140914482,1.49071899685165,1.52267693963707,1.55401200223468,1.58470094937803,1.61472054580066,1.64404755623614,1.67265874541803,1.7005308780799,1.7276407189553,1.75396503277778,1.77948058428092,1.80416413819826,1.82799245926338,1.85094231220982,1.87299046177116,1.89411367268094,1.91428870967273,1.93349233748008,1.95170132083656,1.96889242447574,1.98504241313115,2.00012805153639,2.01412610442498,2.02701333653049,2.03876651258649,2.0493651138197,2.05882020068987,2.06716320735549,2.0744259075367,2.0806400749536,2.08583748332635,2.09004990637506,2.09330911781988,2.09564689138092,2.09709500077832,2.09768521973221,2.09744932196272,2.09641908118998,2.09462627113411,2.09210266551525,2.08888003805354,2.08499016246909,2.08046481248204,2.07533576181252,2.06963478418066,2.06339365330659,2.05664414291043,2.04941802671233,2.04174707843241,2.03366307179079,2.02519778050761,2.01638297830301,2.0072504388971,1.99783193601002,1.9881592433619,1.97826413467288,1.96817838366307,1.95793376405261,1.94756204956164,1.93709501391027,1.92656443081863,1.91600207400687,1.90543442157509,1.89486676914331,1.88429911671153,1.87373146427976,1.86316381184798,1.85259615941619,1.84202850698441,1.83146085455263,1.82089320212085,1.81032554968907,1.79975789725728,1.7891902448255,1.77862259239373,1.76805493996195,1.75748728753017,1.74691963509838,1.7363519826666,1.72578433023482,1.71521667780304,1.70464902537126
AGRI_ENT_ALL,All,0,0.999999999999994,0.999999999999994,0.999999999999994,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999994,0.999999999999994,0.999999999999994,0.999999999999994,0.999999999999994,0.999999999999994,0.999999999999994,0.999999999999994,0.999999999999994,0.999999999999994,0.999999999999994,0.999999999999994,0.999999999999994,0.999999999999994,0.999999999999994,0.999999999999994
AGRI_EXC_ALL,All,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999999998,0.999999999999998,1,1,1,0.999999999999998,0.999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AGRI_GRZ_CAT,All,0,0.0590486559492058,0.0531960563793463,0.0473434568094864,0.0414908572396269,0.0356382576697676,0.0297856580999081,0.0239330585300486,0.0180804589601892,0.0122278593903295,0.00637525982047059,0.000522660250610551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00652376627701775,0.0215220091760465,0.0377835641818925,0.0553455875329916,0.0742447229588114,0.0944868636507503,0.116030239466199,0.138828980190806,0.162837215610216,0.188009075510082,0.214298689676047,0.241660187893761,0.270047699948873,0.299415355627029,0.329717284713876,0.360907616995065,0.392940482256241,0.425770010283053,0.459350330861149,0.493635573776176,0.528579868813782,0.564137345759615,0.600262134399324,0.636908364518556,0.674030165902958,0.711581668338179,0.749517001609865,0.787790295503666,0.826355679805228,0.865167284300202,0.904179238774231,0.943345673012968,0.982620716802056,1.02195849992715,1.06131315217389,1.10063880332792,1.1398895831749,1.17901962150047,1.21798304809028,1.25673399272999,1.29522658520522,1.333415924406,1.3712683750604,1.40875757017913,1.44585726391101,1.48254121040476,1.51878316380918,1.55455687827302,1.58983610794506,1.62459460697407,1.65880612950883,1.69244442969809,1.72548326169063,1.75789637963522,1.78965753768063,1.82074048997563,1.85111899066899,1.88076679390949,1.90965765384587,1.93776532462692,1.96506356040142,1.99152611531813,2.01712674352581,2.04183919917324,2.06563723640919,2.08849460938244,2.11038507224174,2.13128237913587,2.15116028421361,2.1699925416237,2.18775290551493,2.20441513003608,2.21995296933592,2.23434017756318,2.24755050886668,2.25955771739516,2.2703355572974,2.27985778272218,2.28811155872128,2.29513769395868,2.30099040800139,2.30572392041638,2.30939245077067,2.31205021863125,2.31375144356512,2.31455034513928,2.31450114292073,2.31365805647646,2.31207530537347,2.30980710917877,2.30690768745935,2.30343125978222,2.29943204571436,2.29496426482278,2.29008213667448,2.28483988083644,2.27929171687568,2.2734918643592,2.26749454285398,2.26135397192703,2.25512437114536,2.24885996007594,2.24261495828579,2.23644358534191,2.23040006081128,2.22453860426092,2.21891343525782,2.21357877336897,2.20858883816137,2.20399784920204,2.19986002605795,2.19622958829612,2.19316075548354,2.19070774718721,2.18892420360697,2.18782900291344,2.18738714213194,2.18755898335054,2.18830488865734,2.18958522014042,2.19136033988787,2.19359060998777,2.19623639252819,2.19925804959724,2.20261594328298,2.20627043567351,2.21018188885691,2.21431066492127,2.21861712595467,2.22306163404518,2.22760455128091,2.23220623974993,2.23682706154034,2.2414273787402,2.24596755343761,2.25040794772065,2.25470892367741,2.25883084339596,2.26273406896441,2.26637896247082,2.26972588600328,2.27273520164988,2.27536727149871,2.27758245763784,2.27934112215537,2.28060362713936,2.28133033467793,2.28148160685913,2.28101780577107,2.27989929350182,2.27808643213946,2.27554108177076,2.2722425167168,2.26818124628869,2.26334796704728,2.25773337555346,2.25132816836813,2.24412304205217,2.23610869316646,2.22727581827189,2.21761511392936,2.20711727669974,2.19577300314394,2.18357298982281,2.17050793329726,2.15656853012819,2.14174547687646,2.12602947010297,2.1094112063686,2.09188138223424,2.07343069426078,2.05404983900911,2.03372951304011,2.01246041291467,1.99023323519366,1.96703867643801,1.94286743320856,1.91771020206622,1.89155767957188,1.8644005622864,1.83622954677071,1.80703532958565,1.77680860729215,1.74554007645106,1.71322043362329,1.67984037536972,1.64539059825123,1.60986179882872,1.57325879021944,1.53564285176607,1.49708937936769,1.45767376892334,1.41747141633208,1.37655771749299,1.3350080683051,1.29289786466749,1.25030250247921,1.20729737763932,1.16395788604688,1.12035942360095,1.07657738620059,1.03268716974485,0.988764170132805,0.9448837832635,0.901121405035999,0.857552431349362,0.814252258102646,0.77129628119491,0.728759896525214,0.686718499992616,0.645247487496176,0.604422254934952,0.564318198208005,0.52501071321439,0.48657519585317,0.4490870420234,0.412621647624143,0.377254408554456,0.343060720713398,0.310115980000027,0.278495582313404,0.248274923552587,0.219529399616634,0.192334406404606,0.166764567316809,0.142848155828547,0.120541603031356,0.0997951600267756,0.0805590779163413,0.0627836078015917,0.0464190007840641,0.0314155079652962,0.0177233804468249,0.00529286933018825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRI_GRZ_MLI,All,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999995,0.999999999999995
AGRI_GRZ_PIG,All,0,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1.00000000000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999996,0.999999999999997,0.999999999999997,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999996,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999995,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999992,0.999999999999992,0.999999999999992,0.999999999999992,0.999999999999992,0.999999999999992,0.999999999999992
AGRI_GRZ_POU,All,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,1,0.999999999999998,0.999999999999998,1,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,1,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,1,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,1,0.999999999999998,1,1,0.999999999999998,1,1,0.999999999999998,1,0.999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
