Profile_ID,Pollutant,Year,1,2,3,4,5,6,7,8,9,10,11,12
AGRI_BUR_ALL,All,0,2,2,2,0,0,0,0,0,0,2,2,2
AGRI_ENT_ALL,All,0,1,1,1,1,1,1,1,1,1,1,1,1
AGRI_EXC_ALL,All,0,1,1,1,1,1,1,1,1,1,1,1,1
AGRI_GRZ_CAT,All,0,0,0,0.54545454,2.181818184,2.181818184,2.181818184,2.181818184,2.181818184,0.54545454,0,0,0
AGRI_GRZ_MLI,All,0,1,1,1,1,1,1,1,1,1,1,1,1
AGRI_GRZ_PIG,All,0,1,1,1,1,1,1,1,1,1,1,1,1
AGRI_GRZ_POU,All,0,1,1,1,1,1,1,1,1,1,1,1,1
AGRI_GRZ_SHP,All,0,1.090909092,1.090909092,0.54545454,0.54545454,1.090909092,1.090909092,1.090909092,1.090909092,1.090909092,1.090909092,1.090909092,1.090909092
AGRI_HOU_CAT,All,0,2.181818184,2.181818184,0.54545454,0,0,0,0,0,0.54545454,2.181818184,2.181818184,2.181818184
AGRI_HOU_MLI,All,0,1,1,1,1,1,1,1,1,1,1,1,1
AGRI_HOU_PIG,All,0,1,1,1,1,1,1,1,1,1,1,1,1
AGRI_HOU_POU,All,0,1,1,1,1,1,1,1,1,1,1,1,1
AGRI_HOU_SHP,All,0,0,0,6,6,0,0,0,0,0,0,0,0
AGRI_SPR_BIO,All,0,0.162438288,0.68524482,0.68524482,0.68524482,0.082650432,0.082650432,0.082650432,3.240801228,4.913465292,1.05473286,0.162438288,0.162438288
AGRI_SPR_CAT,All,0,0.373138704746277,1.86974225173948,1.86974225173948,1.86974225173948,0.797506597595013,0.797506597595013,0.797506597595013,0.928197457856395,1.33871528667743,0.611924593223849,0.373138704746277,0.373138704746277
AGRI_SPR_FER,All,0,0,0.503945808503946,3.31204038331204,4.76247739676248,2.16145983816146,0.655270716655271,0.337090896337091,0.170050692170051,0.0868892400868892,0.0089112960089113,0.00186373200186373,0
AGRI_SPR_NMD,All,0,0.244879115265363,2.06928282579215,2.06928282579215,2.06928282579215,0.489316330532051,0.489316330532051,0.489316330532051,1.42193571173419,1.78565176264304,0.381977710854067,0.244879115265363,0.244879115265363
AGRI_SPR_OTH,All,0,0.290492508290493,1.23075798123076,1.23075798123076,1.23075798123076,0.768480612768481,0.768480612768481,0.768480612768481,1.93782189793782,2.45406979445407,0.738915000738915,0.290492508290493,0.290492508290493
AGRI_SPR_PIG,All,0,0.105315468,1.483654644,1.483654644,1.483654644,0.165381468,0.165381468,0.165381468,3.546549648,2.492569332,0.69782628,0.105315468,0.105315468
AGRI_SPR_POU,All,0,0.0659486279340514,1.19546199480454,1.19546199480454,1.19546199480454,0.345542555654457,0.345542555654457,0.345542555654457,2.87609115312391,3.62144626437855,0.681603047318397,0.0659486279340514,0.0659486279340514
AGRI_STO_CAT,All,0,2.181818184,2.181818184,0.54545454,0,0,0,0,0,0.54545454,2.181818184,2.181818184,2.181818184
AGRI_STO_MLI,All,0,1,1,1,1,1,1,1,1,1,1,1,1
AGRI_STO_PIG,All,0,1,1,1,1,1,1,1,1,1,1,1,1
AGRI_STO_POU,All,0,1,1,1,1,1,1,1,1,1,1,1,1
AGRI_STO_SHP,All,0,0,0,6,6,0,0,0,0,0,0,0,0
AGRI_YRD_CAT,All,0,2.181818184,2.181818184,0.54545454,0,0,0,0,0,0.54545454,2.181818184,2.181818184,2.181818184
AVIA_DOM_CRU,All,0,0.816965987342152,0.879016141620656,0.942484768812487,1.00410389371968,1.05723515264317,1.09596356404933,1.11492785023314,1.10988567201366,1.08047946672308,1.03029888948864,0.967478243317457,0.901160370036548
AVIA_DOM_TOL,All,0,0.816965987342152,0.879016141620656,0.942484768812487,1.00410389371968,1.05723515264317,1.09596356404933,1.11492785023314,1.10988567201366,1.08047946672308,1.03029888948864,0.967478243317457,0.901160370036548
