BANK_HOLIDAYS
01-Jan-98
10-Apr-98
13-Apr-98
04-May-98
25-May-98
31-Aug-98
25-Dec-98
28-Dec-98
01-Jan-99
02-Apr-99
05-Apr-99
03-May-99
31-May-99
30-Aug-99
27-Dec-99
28-Dec-99
31-Dec-99
03-Jan-00
21-Apr-00
24-Apr-00
01-May-00
29-May-00
28-Aug-00
25-Dec-00
26-Dec-00
01-Jan-01
13-Apr-01
16-Apr-01
07-May-01
28-May-01
27-Aug-01
25-Dec-01
26-Dec-01
01-Jan-02
29-Mar-02
01-Apr-02
06-May-02
03-Jun-02
04-Jun-02
26-Aug-02
25-Dec-02
26-Dec-02
01-Jan-03
18-Apr-03
21-Apr-03
05-May-03
26-May-03
25-Aug-03
25-Dec-03
26-Dec-03
01-Jan-04
09-Apr-04
12-Apr-04
03-May-04
31-May-04
30-Aug-04
27-Dec-04
28-Dec-04
03-Jan-05
25-Mar-05
28-Mar-05
02-May-05
30-May-05
29-Aug-05
26-Dec-05
27-Dec-05
02-Jan-06
14-Apr-06
17-Apr-06
01-May-06
29-May-06
28-Aug-06
25-Dec-06
26-Dec-06
01-Jan-07
06-Apr-07
09-Apr-07
07-May-07
28-May-07
27-Aug-07
25-Dec-07
26-Dec-07
01-Jan-08
21-Mar-08
24-Mar-08
05-May-08
26-May-08
25-Aug-08
25-Dec-08
26-Dec-08
01-Jan-09
10-Apr-09
13-Apr-09
04-May-09
25-May-09
31-Aug-09
25-Dec-09
28-Dec-09
01-Jan-10
02-Apr-10
05-Apr-10
03-May-10
31-May-10
30-Aug-10
27-Dec-10
28-Dec-10
03-Jan-11
22-Apr-11
25-Apr-11
29-Apr-11
02-May-11
30-May-11
29-Aug-11
26-Dec-11
27-Dec-11
02-Jan-12
06-Apr-12
09-Apr-12
07-May-12
04-Jun-12
05-Jun-12
27-Aug-12
25-Dec-12
26-Dec-12
01-Jan-13
29-Mar-13
01-Apr-13
06-May-13
27-May-13
26-Aug-13
25-Dec-13
26-Dec-13
01-Jan-14
18-Apr-14
21-Apr-14
05-May-14
26-May-14
25-Aug-14
25-Dec-14
26-Dec-14
01-Jan-15
03-Apr-15
06-Apr-15
04-May-15
25-May-15
31-Aug-15
25-Dec-15
28-Dec-15
01-Jan-16
25-Mar-16
28-Mar-16
02-May-16
30-May-16
29-Aug-16
26-Dec-16
27-Dec-16
02-Jan-17
14-Apr-17
17-Apr-17
01-May-17
29-May-17
28-Aug-17
25-Dec-17
26-Dec-17
01-Jan-18
30-Mar-18
02-Apr-18
07-May-18
28-May-18
27-Aug-18
25-Dec-18
26-Dec-18
01-Jan-19
19-Apr-19
22-Apr-19
06-May-19
27-May-19
26-Aug-19
25-Dec-19
26-Dec-19
01-Jan-20
10-Apr-20
13-Apr-20
08-May-20
25-May-20
31-Aug-20
25-Dec-20
28-Dec-20
01-Jan-21
02-Apr-21
05-Apr-21
03-May-21
31-May-21
20-Aug-21
27-Dec-21
28-Dec-21
03-Jan-22
15-Apr-22
18-Apr-22
02-May-22
02-Jun-22
03-Jun-22
29-Aug-22
26-Dec-22
27-Dec-22
02-Jan-23
07-Apr-23
10-Apr-23
01-May-23
29-May-23
28-Aug-23
25-Dec-23
26-Dec-23
