Pollutant,sector,hour,coeff,coeff_l,coeff_u
N2O,1,0,0.968178997254337,0.966109281684657,0.970248712824017
N2O,1,1,0.961179073362951,0.959288115894969,0.963070030830933
N2O,1,2,0.958485445644331,0.956167349624547,0.960803541664115
N2O,1,3,0.958421247002016,0.956058828193092,0.960783665810941
N2O,1,4,0.961338156677948,0.959252202464352,0.963424110891543
N2O,1,5,0.969933066682422,0.967451074977839,0.972415058387004
N2O,1,6,0.985832388407818,0.983673160771743,0.987991616043893
N2O,1,7,1.00394143023216,1.00167303296399,1.00620982750034
N2O,1,8,1.01690072801682,1.01447764768755,1.01932380834609
N2O,1,9,1.0216551804229,1.01957792674937,1.02373243409643
N2O,1,10,1.02182508464997,1.01936497518394,1.02428519411601
N2O,1,11,1.02126879972812,1.01905591095235,1.02348168850389
N2O,1,12,1.02117495819759,1.01896206942181,1.02338784697336
N2O,1,13,1.02146030544354,1.01900019597751,1.02392041490957
N2O,1,14,1.02223368088635,1.02015642721282,1.02431093455988
N2O,1,15,1.02402318642818,1.02160010609891,1.02644626675745
N2O,1,16,1.02721599260024,1.02494759533206,1.02948438986841
N2O,1,17,1.02994722881933,1.02778800118325,1.0321064564554
N2O,1,18,1.02890026809319,1.02641827638861,1.03138225979778
N2O,1,19,1.02190291677849,1.0198169625649,1.02398887099209
N2O,1,20,1.01014460667386,1.00778218786494,1.01250702548279
N2O,1,21,0.995456340667965,0.993138244648181,0.997774436687749
N2O,1,22,0.980401920075124,0.978510962607141,0.982292877543106
N2O,1,23,0.968178997254337,0.966109281684657,0.970248712824017
N2O,10,0,0.704642876686616,0.702064568557274,0.707221184815958
N2O,10,1,0.706249926946905,0.703909077738624,0.708590776155186
N2O,10,2,0.705311040838468,0.702412747972237,0.708209333704698
N2O,10,3,0.703536654092212,0.700588240667101,0.706485067517322
N2O,10,4,0.710598731938017,0.708014103228051,0.713183360647983
N2O,10,5,0.745373604467012,0.742262569677594,0.748484639256429
N2O,10,6,0.82319012913132,0.820508928748535,0.825871329514105
N2O,10,7,0.936657525938023,0.933828956355568,0.939486095520478
N2O,10,8,1.0704999562118,1.06746644442467,1.07353346799894
N2O,10,9,1.2102308401165,1.20765810389083,1.21280357634218
N2O,10,10,1.34259924061807,1.33951604716126,1.34568243407489
N2O,10,11,1.45402478558889,1.45127048992455,1.45677908125323
N2O,10,12,1.52746669414022,1.52471239847589,1.53022098980456
N2O,10,13,1.54429129857272,1.5412081051159,1.54737449202954
N2O,10,14,1.49515659728616,1.49258386106049,1.49772933351184
N2O,10,15,1.39022650224777,1.38719299046064,1.39326001403491
N2O,10,16,1.24308459888198,1.24025602929952,1.24591316846443
N2O,10,17,1.07851553627761,1.07583433589482,1.08119673666039
