Pollutant,sector,hour,coeff,coeff_l,coeff_u
NOx,1,0,0.931536885599978,0.928131963275064,0.93494180792489
NOx,1,1,0.914919772142791,0.911820312373454,0.918019231912128
NOx,1,2,0.909504920190386,0.905683216882508,0.913326623498263
NOx,1,3,0.907623355690922,0.903732618142989,0.911514093238855
NOx,1,4,0.909622274751918,0.906201358178891,0.913043191324945
NOx,1,5,0.925116408688311,0.92101853794502,0.929214279431602
NOx,1,6,0.960776757840859,0.957231170517979,0.96432234516374
NOx,1,7,1.00391335380118,1.0001795189179,1.00764718868445
NOx,1,8,1.03528844345924,1.03129069958268,1.0392861873358
NOx,1,9,1.04663388671303,1.04322805341506,1.05003972001099
NOx,1,10,1.04669491814354,1.04263356180711,1.05075627447998
NOx,1,11,1.04485034472445,1.04121173929235,1.04848895015654
NOx,1,12,1.04388781697572,1.04024921154362,1.04752642240781
NOx,1,13,1.04345672848485,1.03939537214842,1.04751808482129
NOx,1,14,1.04397993648209,1.04057410318413,1.04738576978006
NOx,1,15,1.04754284185778,1.04354509798122,1.05154058573434
NOx,1,16,1.05595486269066,1.05222102780738,1.05968869757394
NOx,1,17,1.0653834953525,1.06183790802962,1.06892908267538
NOx,1,18,1.06835809160873,1.06426022086544,1.07245596235202
NOx,1,19,1.05914499988851,1.05572408331548,1.06256591646153
NOx,1,20,1.03718155559856,1.03329081805063,1.04107229314649
NOx,1,21,1.0031695963466,0.999347893038723,1.00699129965448
NOx,1,22,0.963921867367417,0.96082240759808,0.967021327136754
NOx,1,23,0.931536885599978,0.928131963275064,0.93494180792489
NOx,10,0,0.665867861270743,0.665287953072904,0.666447769468582
NOx,10,1,0.666394871830488,0.665868456899912,0.666921286761064
NOx,10,2,0.663158498629645,0.662506560007953,0.663810437251337
NOx,10,3,0.660164047215009,0.659500865484106,0.660827228945911
NOx,10,4,0.668994395760524,0.668413145386657,0.669575646134391
NOx,10,5,0.709992892803516,0.709293054474389,0.710692731132644
NOx,10,6,0.799529542005784,0.798926541564189,0.800132542447378
NOx,10,7,0.929010018494758,0.928373804935587,0.929646232053928
NOx,10,8,1.08117757069185,1.08049519188044,1.08185994950326
NOx,10,9,1.23974304147614,1.23916447274823,1.24032161020404
NOx,10,10,1.38993055114274,1.38923697690479,1.39062412538069
NOx,10,11,1.51650936916578,1.515889891163,1.51712884716855
NOx,10,12,1.59960267549803,1.59898319749526,1.60022215350081
NOx,10,13,1.61718958887776,1.61649601463981,1.61788316311571
NOx,10,14,1.55885025615131,1.55827168742341,1.55942882487922
NOx,10,15,1.43852076664588,1.43783838783446,1.43920314545729
NOx,10,16,1.27396110281758,1.27332488925841,1.27459731637675
NOx,10,17,1.09173192099121,1.09112892054962,1.0923349214328
NOx,10,18,0.924064404509319,0.923364566180192,0.924764242838446
NOx,10,19,0.795986584944066,0.795405334570198,0.796567835317933
NOx,10,20,0.711534378048462,0.71087119631756,0.712197559779365
NOx,10,21,0.670407573508214,0.669755634886522,0.671059512129906
NOx,10,22,0.661810226250449,0.661283811319873,0.662336641181025
NOx,10,23,0.665867861270743,0.665287953072904,0.666447769468582
NOx,11,0,0.962444999165503,0.957838794275696,0.967051204055311
NOx,11,1,0.96247798482786,0.958157213778497,0.966798755877223
NOx,11,2,0.962331439374646,0.95725875307671,0.967404125672581
NOx,11,3,0.962406263554431,0.957201459592159,0.967611067516703
NOx,11,4,0.963842276330584,0.959095225631992,0.968589327029176
NOx,11,5,0.968633563783428,0.963252909533147,0.97401421803371
NOx,11,6,0.978399530470213,0.973535101548401,0.983263959392025
NOx,11,7,0.992396696238272,0.987364281557208,0.997429110919337
NOx,11,8,1.00905793559149,1.00377431150775,1.01434155967523
NOx,11,9,1.02668313624154,1.02195166174063,1.03141461074245
NOx,11,10,1.04336733472168,1.03802462810266,1.04871004134069
NOx,11,11,1.0571673128951,1.05222292659497,1.06211169919523
NOx,11,12,1.06597599121268,1.06103160491255,1.07092037751281
NOx,11,13,1.06761554580085,1.06227283918184,1.07295825241987
NOx,11,14,1.06110870022353,1.05637722572262,1.06584017472444
NOx,11,15,1.04799673240256,1.04271310831882,1.05328035648629
NOx,11,16,1.03021145895993,1.02517904427887,1.035243873641
NOx,11,17,1.01053806401602,1.00567363509421,1.01540249293783
NOx,11,18,0.992311558527803,0.986930904277521,0.997692212778085
NOx,11,19,0.978146221049063,0.973399170350471,0.982893271747655
