Pollutant,sector,hour,coeff,coeff_l,coeff_u
CH4,1,0,0.975478013723209,0.97333491858401,0.977621108862408
CH4,1,1,0.970187296111123,0.968222006135607,0.97215258608664
CH4,1,2,0.96846849681476,0.966073498222396,0.970863495407124
CH4,1,3,0.968500419803213,0.966057117175407,0.970943722431019
CH4,1,4,0.970428749645655,0.968261975657327,0.972595523633984
CH4,1,5,0.976673091605013,0.974112456630193,0.979233726579832
CH4,1,6,0.988797710856041,0.986557794426793,0.991037627285288
CH4,1,7,1.00287185409045,1.00052424605279,1.00521946212811
CH4,1,8,1.01310940592434,1.01060767248525,1.01561113936343
CH4,1,9,1.01701921388153,1.01486102745728,1.01917740030578
CH4,1,10,1.01722029086494,1.01468187233545,1.01975870939442
CH4,1,11,1.01653921880215,1.01424664458078,1.01883179302352
CH4,1,12,1.01595998744598,1.0136674132246,1.01825256166735
CH4,1,13,1.01558893472074,1.01305051619126,1.01812735325022
CH4,1,14,1.0156941102315,1.01353592380725,1.01785229665576
CH4,1,15,1.01689402036217,1.01439228692308,1.01939575380126
CH4,1,16,1.01967794975783,1.01733034172017,1.0220255577955
CH4,1,17,1.02251998380094,1.0202800673717,1.02475990023019
CH4,1,18,1.02259498546686,1.02003435049204,1.02515562044168
CH4,1,19,1.01795867376035,1.01579189977203,1.02012544774868
CH4,1,20,1.00926288582161,1.0068195831938,1.01170618844941
CH4,1,21,0.99767992793793,0.995284929345566,1.00007492653029
CH4,1,22,0.985396764848451,0.983431474872935,0.987362054823968
CH4,1,23,0.975478013723209,0.97333491858401,0.977621108862408
CH4,10,0,0.666453630439061,0.665339876315512,0.66756738456261
CH4,10,1,0.667839139496423,0.666828107377904,0.668850171614942
CH4,10,2,0.665745585031601,0.664493502510522,0.666997667552681
CH4,10,3,0.663301221960391,0.662027540755446,0.664574903165337
CH4,10,4,0.671660914553601,0.670544568067245,0.672777261039957
CH4,10,5,0.711259131096798,0.709915063091748,0.712603199101849
CH4,10,6,0.798713053916061,0.797554940306282,0.79987116752584
CH4,10,7,0.926386980336416,0.925165090980608,0.927608869692223
CH4,10,8,1.07821390100772,1.07690336095731,1.07952444105812
CH4,10,9,1.23812210756267,1.2370109101074,1.23923330501793
CH4,10,10,1.39004572926445,1.38871369150747,1.39137776702143
CH4,10,11,1.51747990417999,1.51629015110105,1.51866965725894
CH4,10,12,1.6004294499469,1.59923969686795,1.60161920302585
CH4,10,13,1.61730593992393,1.61597390216694,1.61863797768091
CH4,10,14,1.55807060603142,1.55695940857616,1.55918180348669
CH4,10,15,1.43692578294978,1.43561524289937,1.43823632300018
CH4,10,16,1.27187609903014,1.27065420967434,1.27309798838595
CH4,10,17,1.08964386449155,1.08848575088177,1.09080197810133
CH4,10,18,0.922568188562933,0.921224120557883,0.923912256567984
CH4,10,19,0.795600093905685,0.794483747419329,0.796716440392041
CH4,10,20,0.712169088260822,0.710895407055877,0.713442769465768
CH4,10,21,0.671319444854837,0.670067362333758,0.672571527375917
CH4,10,22,0.662416512757764,0.661405480639244,0.663427544876283
CH4,10,23,0.666453630439061,0.665339876315511,0.667567384562609
CH4,11,0,0.99999595479069,0.999993852499285,0.999998057082095
CH4,11,1,0.999995921605715,0.999993839220643,0.999998003990788
CH4,11,2,0.999996112160232,0.999993940483005,0.999998283837459
CH4,11,3,0.999996536570328,0.999994310008954,0.999998763131703
CH4,11,4,0.999997207399418,0.999994992668046,0.99999942213079
CH4,11,5,0.999998140040281,0.999995863468849,1.00000041661171
CH4,11,6,0.999999329745872,0.999997093167426,1.00000156632432
CH4,11,7,1.00000065819076,0.999998408022201,1.00000290835932
CH4,11,8,1.00000196799862,0.999999697102969,1.00000423889426
CH4,11,9,1.00000312779064,1.00000090171921,1.00000535386207
CH4,11,10,1.00000404654561,1.00000177068346,1.00000632240777
CH4,11,11,1.00000464379937,1.00000240107136,1.00000688652739
CH4,11,12,1.00000489535791,1.0000026526299,1.00000713808593
