Pollutant,sector,hour,coeff,coeff_l,coeff_u
CO2,"",0,0.999999755747796,0.999998400992703,1.00000111050289
CO2,"",1,0.999999731599128,0.999998377894246,1.00000108530401
CO2,"",2,0.999999726543844,0.999998367701167,1.00000108538652
CO2,"",3,0.999999739553432,0.999998375300737,1.00000110380613
CO2,"",4,0.99999976956259,0.999998401790327,1.00000113733485
CO2,"",5,0.999999815463485,0.999998439939363,1.00000119098761
CO2,"",6,0.999999875782096,0.999998498003484,1.00000125356071
CO2,"",7,0.999999947008571,0.999998564931808,1.00000132908533
CO2,"",8,1.00000002491014,0.999998638997505,1.00000141082277
CO2,"",9,1.00000010434269,0.999998718730072,1.00000148995531
CO2,"",10,1.00000017875066,0.999998789383869,1.00000156811745
CO2,"",11,1.00000024163159,0.999998853359571,1.00000162990361
CO2,"",12,1.00000028786913,0.999998899597107,1.00000167614115
CO2,"",13,1.00000031301645,0.99999892364966,1.00000170238324
CO2,"",14,1.00000031402013,0.999998928407511,1.00000169963275
CO2,"",15,1.00000029074014,0.999998904827505,1.00000167665277
CO2,"",16,1.00000024374013,0.999998861663363,1.00000162581689
CO2,"",17,1.00000017749941,0.999998799720803,1.00000155527803
CO2,"",18,1.00000009902352,0.999998723499396,1.00000147454764
CO2,"",19,1.000000015316,0.999998647543739,1.00000138308826
CO2,"",20,0.999999933253714,0.999998569001019,1.00000129750641
CO2,"",21,0.999999859590871,0.999998500748194,1.00000121843355
CO2,"",22,0.999999799286697,0.999998445581815,1.00000115299158
CO2,"",23,0.999999755747796,0.999998400992703,1.00000111050289
CO2,1,0,0.827448184148717,0.823031498907495,0.831864869389939
CO2,1,1,0.781549386982896,0.777537591379761,0.78556118258603
CO2,1,2,0.767847458819949,0.762883972974078,0.77281094466582
CO2,1,3,0.75931954227118,0.754269534434681,0.76436955010768
CO2,1,4,0.756043574460745,0.751614292041741,0.76047285687975
CO2,1,5,0.789428859275727,0.784102058590759,0.794755659960696
CO2,1,6,0.882246246320124,0.877652190850611,0.886840301789637
CO2,1,7,0.999162259587303,0.994317248660962,1.00400727051364
CO2,1,8,1.08515682513222,1.07996230502777,1.09035134523667
CO2,1,9,1.11597084930773,1.11156178895109,1.12037990966436
CO2,1,10,1.11505619307835,1.10977703606882,1.12033535008789
CO2,1,11,1.1078138358692,1.10309539054029,1.1125322811981
CO2,1,12,1.10253001855388,1.09781157322497,1.10724846388279
CO2,1,13,1.09934199907962,1.09406284207008,1.10462115608915
CO2,1,14,1.10037634768886,1.09596728733223,1.1047854080455
CO2,1,15,1.11203662045994,1.10684210035548,1.11723114056439
CO2,1,16,1.13989394465386,1.13504893372752,1.1447389555802
CO2,1,17,1.17358183609992,1.16898778063041,1.17817589156943
CO2,1,18,1.19245523527527,1.1871284345903,1.19778203596024
CO2,1,19,1.17943729589789,1.17500801347889,1.1838665783169
CO2,1,20,1.12820811163599,1.12315810379949,1.13325811947249
CO2,1,21,1.03566637094877,1.03070288510289,1.04062985679464
CO2,1,22,0.921980820303153,0.917969024700018,0.925992615906287
CO2,1,23,0.827448184148717,0.823031498907496,0.831864869389939
CO2,10,0,0.934148093504546,0.924103731917209,0.944192455091882
CO2,10,1,0.934154967624656,0.924728943226536,0.943580992022775
CO2,10,2,0.93395496776599,0.922896819202954,0.945013116329025
CO2,10,3,0.934298758220525,0.922951465925389,0.945646050515661
CO2,10,4,0.937106739369766,0.926751539425623,0.947461939313909
CO2,10,5,0.945651649454517,0.933923729369553,0.957379569539481
