NFR19,GNFR19,Source,Activity,Profile_ID
1A1c,B_Industry,Collieries - combustion,Natural gas,INDU_MIN_GEN
1A1c,B_Industry,Gas production,Colliery methane,MISC_ANY
1A1c,B_Industry,Gas production,LPG,MISC_ANY
1A1c,B_Industry,Gas production,Natural gas,MISC_ANY
1A1c,B_Industry,Gas production,OPG,MISC_ANY
1A1c,B_Industry,Gas production,Town gas,MISC_ANY
1A1c,B_Industry,Nuclear fuel production,Natural gas,MISC_ANY
1A1c,B_Industry,Solid smokeless fuel production,Coke,MISC_ANY
1A1c,B_Industry,Solid smokeless fuel production,Natural gas,MISC_ANY
1A1c,B_Industry,Town gas manufacture,Burning oil,MISC_ANY
1A1c,B_Industry,Town gas manufacture,Coal,MISC_ANY
1A1c,B_Industry,Town gas manufacture,Coke,MISC_ANY
1A1c,B_Industry,Town gas manufacture,Coke oven gas,MISC_ANY
1A1c,B_Industry,Town gas manufacture,LPG,MISC_ANY
1A1c,B_Industry,Town gas manufacture,Natural gas,MISC_ANY
1A1c,B_Industry,Upstream Gas Production - fuel combustion,Gas oil,INDU_EXT_PAG
1A1c,B_Industry,Upstream Gas Production - fuel combustion,Natural gas,INDU_EXT_PAG
1A1c,B_Industry,Upstream oil and gas production - combustion at gas separation plant,LPG,INDU_EXT_PAG
1A1c,B_Industry,Upstream oil and gas production - combustion at gas separation plant,OPG,INDU_EXT_PAG
1A1c,B_Industry,Upstream Oil Production - fuel combustion,Gas oil,INDU_EXT_PAG
1A1c,B_Industry,Upstream Oil Production - fuel combustion,Natural gas,INDU_EXT_PAG
1A1ci,B_Industry,Coke production,Blast furnace gas,INDU_MAN_CAP
1A1ci,B_Industry,Coke production,Coke oven gas,INDU_MAN_CAP
1A1ci,B_Industry,Coke production,Colliery methane,INDU_MAN_CAP
1A1ci,B_Industry,Coke production,Natural gas,INDU_MAN_CAP
1A1ci,B_Industry,Solid smokeless fuel production,Coke,MISC_ANY
1A1ci,B_Industry,Solid smokeless fuel production,Natural gas,MISC_ANY
1A1cii,B_Industry,Upstream Gas Production - fuel combustion,Gas oil,INDU_EXT_PAG
1A1cii,B_Industry,Upstream Gas Production - fuel combustion,Natural gas,INDU_EXT_PAG
1A1cii,B_Industry,Upstream oil and gas production - combustion at gas separation plant,LPG,INDU_EXT_PAG
1A1cii,B_Industry,Upstream oil and gas production - combustion at gas separation plant,OPG,INDU_EXT_PAG
1A1cii,B_Industry,Upstream Oil Production - fuel combustion,Gas oil,INDU_EXT_PAG
1A1cii,B_Industry,Upstream Oil Production - fuel combustion,Natural gas,INDU_EXT_PAG
1A1ciii,B_Industry,Collieries - combustion,Coal,INDU_MIN_GEN
1A1ciii,B_Industry,Collieries - combustion,Coke oven gas,INDU_MIN_GEN
1A1ciii,B_Industry,Collieries - combustion,Colliery methane,INDU_MIN_GEN
1A1ciii,B_Industry,Collieries - combustion,Natural gas,INDU_MIN_GEN
1A1ciii,B_Industry,Gas production,Colliery methane,MISC_ANY
1A1ciii,B_Industry,Gas production,LPG,MISC_ANY
1A1ciii,B_Industry,Gas production,Natural gas,MISC_ANY
1A1ciii,B_Industry,Gas production,OPG,MISC_ANY
1A1ciii,B_Industry,Gas production,Town gas,MISC_ANY
1A1ciii,B_Industry,Nuclear fuel production,Natural gas,MISC_ANY
1A1ciii,B_Industry,Town gas manufacture,Burning oil,MISC_ANY
1A1ciii,B_Industry,Town gas manufacture,Coal,MISC_ANY
1A1ciii,B_Industry,Town gas manufacture,Coke,MISC_ANY
1A1ciii,B_Industry,Town gas manufacture,Coke oven gas,MISC_ANY
1A1ciii,B_Industry,Town gas manufacture,LPG,MISC_ANY
1A1ciii,B_Industry,Town gas manufacture,Natural gas,MISC_ANY
1A2a,B_Industry,Blast furnaces,Blast furnace gas,INDU_MAN_IRO
1A2a,B_Industry,Blast furnaces,Coke oven gas,INDU_MAN_IRO
1A2a,B_Industry,Blast furnaces,LPG,INDU_MAN_IRO
1A2a,B_Industry,Blast furnaces,Natural gas,INDU_MAN_IRO
1A2a,B_Industry,Iron and steel - combustion plant,Blast furnace gas,INDU_MAN_IRO
1A2a,B_Industry,Iron and steel - combustion plant,Coal,INDU_MAN_IRO
1A2a,B_Industry,Iron and steel - combustion plant,Coke,INDU_MAN_IRO
1A2a,B_Industry,Iron and steel - combustion plant,Coke oven gas,INDU_MAN_IRO
1A2a,B_Industry,Iron and steel - combustion plant,Fuel oil,INDU_MAN_IRO
1A2a,B_Industry,Iron and steel - combustion plant,Gas oil,INDU_MAN_IRO
1A2a,B_Industry,Iron and steel - combustion plant,LPG,INDU_MAN_IRO
1A2a,B_Industry,Iron and steel - combustion plant,Natural gas,INDU_MAN_IRO
1A2a,B_Industry,Iron and steel - combustion plant,Town gas,INDU_MAN_IRO
1A2a,B_Industry,Sinter production,Coke,INDU_PRO_GEN
1A2b,B_Industry,Autogeneration - exported to grid,Coal,INDU_PRO_GEN
1A2b,B_Industry,Autogenerators,Coal,INDU_PRO_GEN
1A2b,B_Industry,Non-Ferrous Metal (combustion),Coal,INDU_MAN_MET
1A2b,B_Industry,Non-Ferrous Metal (combustion),Fuel oil,INDU_MAN_MET
1A2b,B_Industry,Non-Ferrous Metal (combustion),Gas oil,INDU_MAN_MET
1A2b,B_Industry,Non-Ferrous Metal (combustion),Natural gas,INDU_MAN_MET
1A2c,B_Industry,Ammonia production - combustion,Natural gas,INDU_PRO_GEN
