NFR19,SNAP,Source,Activity,Profile_ID
1A1b,1,Refineries - combustion,Burning oil,MISC_ANY
1A1b,1,Refineries - combustion,Fuel oil,MISC_ANY
1A1b,1,Refineries - combustion,Gas oil,MISC_ANY
1A1b,1,Refineries - combustion,LPG,MISC_ANY
1A1b,1,Refineries - combustion,Naphtha,MISC_ANY
1A1b,1,Refineries - combustion,Natural gas,MISC_ANY
1A1b,1,Refineries - combustion,OPG,MISC_ANY
1A1b,1,Refineries - combustion,Petrol,MISC_ANY
1A1b,1,Refineries - combustion,Petroleum coke,MISC_ANY
1A1b,1,Refineries - combustion,Refinery miscellaneous,MISC_ANY
1A1c,1,Coke production,Blast furnace gas,INDU_MAN_CAP
1A1c,1,Coke production,Coke oven gas,INDU_MAN_CAP
1A1c,1,Coke production,Colliery methane,INDU_MAN_CAP
1A1c,1,Coke production,Natural gas,INDU_MAN_CAP
1A1c,1,Collieries - combustion,Coal,INDU_MIN_GEN
1A1c,1,Collieries - combustion,Coke oven gas,INDU_MIN_GEN
1A1c,1,Collieries - combustion,Colliery methane,INDU_MIN_GEN
1A1c,1,Collieries - combustion,Natural gas,INDU_MIN_GEN
1A1c,1,Gas production,Colliery methane,MISC_ANY
1A1c,1,Gas production,LPG,MISC_ANY
1A1c,1,Gas production,Natural gas,MISC_ANY
1A1c,1,Gas production,OPG,MISC_ANY
1A1c,1,Gas production,Town gas,MISC_ANY
1A1c,1,Nuclear fuel production,Natural gas,MISC_ANY
1A1c,1,Solid smokeless fuel production,Coke,MISC_ANY
1A1c,1,Solid smokeless fuel production,Natural gas,MISC_ANY
1A1c,1,Town gas manufacture,Burning oil,MISC_ANY
1A1c,1,Town gas manufacture,Coal,MISC_ANY
1A1c,1,Town gas manufacture,Coke,MISC_ANY
1A1c,1,Town gas manufacture,Coke oven gas,MISC_ANY
1A1c,1,Town gas manufacture,LPG,MISC_ANY
1A1c,1,Town gas manufacture,Natural gas,MISC_ANY
1A1c,1,Upstream Gas Production - fuel combustion,Gas oil,INDU_EXT_PAG
1A1c,1,Upstream Gas Production - fuel combustion,Natural gas,INDU_EXT_PAG
1A1c,1,Upstream oil and gas production - combustion at gas separation plant,LPG,INDU_EXT_PAG
1A1c,1,Upstream oil and gas production - combustion at gas separation plant,OPG,INDU_EXT_PAG
1A1c,1,Upstream Oil Production - fuel combustion,Gas oil,INDU_EXT_PAG
1A1c,1,Upstream Oil Production - fuel combustion,Natural gas,INDU_EXT_PAG
1A1ci,1,Coke production,Blast furnace gas,INDU_MAN_CAP
1A1ci,1,Coke production,Coke oven gas,INDU_MAN_CAP
1A1ci,1,Coke production,Colliery methane,INDU_MAN_CAP
1A1ci,1,Coke production,Natural gas,INDU_MAN_CAP
1A1ci,1,Solid smokeless fuel production,Coke,MISC_ANY
1A1ci,1,Solid smokeless fuel production,Natural gas,MISC_ANY
1A1cii,1,Upstream Gas Production - fuel combustion,Gas oil,INDU_EXT_PAG
1A1cii,1,Upstream Gas Production - fuel combustion,Natural gas,INDU_EXT_PAG
1A1cii,1,Upstream oil and gas production - combustion at gas separation plant,LPG,INDU_EXT_PAG
1A1cii,1,Upstream oil and gas production - combustion at gas separation plant,OPG,INDU_EXT_PAG
1A1cii,1,Upstream Oil Production - fuel combustion,Gas oil,INDU_EXT_PAG
1A1cii,1,Upstream Oil Production - fuel combustion,Natural gas,INDU_EXT_PAG
1A1ciii,1,Collieries - combustion,Coal,INDU_MIN_GEN
1A1ciii,1,Collieries - combustion,Coke oven gas,INDU_MIN_GEN
1A1ciii,1,Collieries - combustion,Colliery methane,INDU_MIN_GEN
1A1ciii,1,Collieries - combustion,Natural gas,INDU_MIN_GEN
1A1ciii,1,Gas production,Colliery methane,MISC_ANY
1A1ciii,1,Gas production,LPG,MISC_ANY
1A1ciii,1,Gas production,Natural gas,MISC_ANY
1A1ciii,1,Gas production,OPG,MISC_ANY
1A1ciii,1,Gas production,Town gas,MISC_ANY
1A1ciii,1,Nuclear fuel production,Natural gas,MISC_ANY
1A1ciii,1,Town gas manufacture,Burning oil,MISC_ANY
1A1ciii,1,Town gas manufacture,Coal,MISC_ANY
1A1ciii,1,Town gas manufacture,Coke,MISC_ANY
1A1ciii,1,Town gas manufacture,Coke oven gas,MISC_ANY
1A1ciii,1,Town gas manufacture,LPG,MISC_ANY
1A1ciii,1,Town gas manufacture,Natural gas,MISC_ANY
1A2a,3,Blast furnaces,Blast furnace gas,INDU_MAN_IRO
1A2a,3,Blast furnaces,Coke oven gas,INDU_MAN_IRO
1A2a,3,Blast furnaces,LPG,INDU_MAN_IRO
1A2a,3,Blast furnaces,Natural gas,INDU_MAN_IRO
1A2a,3,Iron and steel - combustion plant,Blast furnace gas,INDU_MAN_IRO
1A2a,3,Iron and steel - combustion plant,Coal,INDU_MAN_IRO
1A2a,3,Iron and steel - combustion plant,Coke,INDU_MAN_IRO
1A2a,3,Iron and steel - combustion plant,Coke oven gas,INDU_MAN_IRO
1A2a,3,Iron and steel - combustion plant,Fuel oil,INDU_MAN_IRO
1A2a,3,Iron and steel - combustion plant,Gas oil,INDU_MAN_IRO
1A2a,3,Iron and steel - combustion plant,LPG,INDU_MAN_IRO
1A2a,3,Iron and steel - combustion plant,Natural gas,INDU_MAN_IRO
1A2a,3,Iron and steel - combustion plant,Town gas,INDU_MAN_IRO
1A2a,3,Sinter production,Coke,INDU_PRO_GEN
1A2b,3,Autogeneration - exported to grid,Coal,INDU_PRO_GEN
1A2b,3,Autogenerators,Coal,INDU_PRO_GEN
1A2b,3,Non-Ferrous Metal (combustion),Coal,INDU_MAN_MET
1A2b,3,Non-Ferrous Metal (combustion),Fuel oil,INDU_MAN_MET
1A2b,3,Non-Ferrous Metal (combustion),Gas oil,INDU_MAN_MET
1A2b,3,Non-Ferrous Metal (combustion),Natural gas,INDU_MAN_MET
1A2c,3,Ammonia production - combustion,Natural gas,INDU_PRO_GEN
1A2c,3,Chemicals (combustion),Coal,INDU_MAN_CHE
1A2c,3,Chemicals (combustion),Fuel oil,INDU_MAN_CHE
1A2c,3,Chemicals (combustion),Gas oil,INDU_MAN_CHE
1A2c,3,Chemicals (combustion),Natural gas,INDU_MAN_CHE
1A2c,3,Chemicals (combustion),OPG,INDU_MAN_CHE
1A2c,3,Methanol production – combustion,Natural gas,INDU_PRO_GEN
1A2d,3,"Pulp, Paper and Print (combustion)",Coal,INDU_MAN_PAP
1A2d,3,"Pulp, Paper and Print (combustion)",Fuel oil,INDU_MAN_PAP
1A2d,3,"Pulp, Paper and Print (combustion)",Gas oil,INDU_MAN_PAP
1A2d,3,"Pulp, Paper and Print (combustion)",Natural gas,INDU_MAN_PAP
1A2e,3,"Food & drink, tobacco (combustion)",Coal,INDU_MAN_FAB
1A2e,3,"Food & drink, tobacco (combustion)",Fuel oil,INDU_MAN_FAB
1A2e,3,"Food & drink, tobacco (combustion)",Gas oil,INDU_MAN_FAB
1A2e,3,"Food & drink, tobacco (combustion)",Natural gas,INDU_MAN_FAB
1A2f,3,Cement - non-decarbonising,Clinker production,INDU_PRO_GEN
1A2f,3,Cement production - combustion,Coal,INDU_PRO_GEN
1A2f,3,Cement production - combustion,Fuel oil,INDU_PRO_GEN
1A2f,3,Cement production - combustion,Gas oil,INDU_PRO_GEN
1A2f,3,Cement production - combustion,Natural gas,INDU_PRO_GEN
1A2f,3,Cement production - combustion,Petroleum coke,INDU_PRO_GEN
1A2f,3,Cement production - combustion,Scrap tyres,INDU_PRO_GEN
1A2f,3,Cement production - combustion,Waste,INDU_PRO_GEN
1A2f,3,Cement production - combustion,Waste oils,INDU_PRO_GEN
1A2f,3,Cement production - combustion,Waste solvent,INDU_PRO_GEN
1A2f,3,Lime production - non decarbonising,Coal,INDU_PRO_GEN
1A2f,3,Lime production - non decarbonising,Coke,INDU_PRO_GEN
1A2f,3,Lime production - non decarbonising,Lime production,INDU_PRO_GEN
1A2f,3,Lime production - non decarbonising,Natural gas,INDU_PRO_GEN
1A2f,3,Other industrial combustion,Scrap tyres,INDU_MAN_GEN
1A2gvii,8,Industrial off-road mobile machinery,DERV,OFFR_OTH
1A2gvii,8,Industrial off-road mobile machinery,Gas oil,OFFR_OTH
1A2gvii,8,Industrial off-road mobile machinery,Petrol,OFFR_OTH
1A2gviii,3,Autogeneration - exported to grid,Natural gas,MISC_ANY
1A2gviii,3,Autogenerators,Biogas,MISC_ANY
1A2gviii,3,Autogenerators,Natural gas,MISC_ANY
1A2gviii,3,Industrial engines,Lubricants,INDU_PRO_GEN
1A2gviii,3,Other industrial combustion,Biomass,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,Burning oil,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,Coal,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,Coke,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,Coke oven gas,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,Colliery methane,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,Fuel oil,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,Gas oil,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,LPG,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,Lubricants,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,Natural gas,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,OPG,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,Petroleum coke,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,SSF,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,Town gas,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,Waste solvent,INDU_MAN_GEN
1A2gviii,3,Other industrial combustion,Wood,INDU_MAN_GEN
1A3a,8,Aircraft - domestic cruise,Aviation spirit,AVIA_GEN
1A3a,8,Aircraft - domestic cruise,Aviation turbine fuel,AVIA_GEN
1A3a,8,Aircraft - domestic take off and landing,Aviation spirit,AVIA_GEN
1A3a,8,Aircraft - domestic take off and landing,Aviation turbine fuel,AVIA_GEN
1A3a,8,Aircraft between UK and Bermuda - Cruise,Aviation spirit,AVIA_GEN
1A3a,8,Aircraft between UK and Bermuda - Cruise,Aviation turbine fuel,AVIA_GEN
1A3a,8,Aircraft between UK and Bermuda - TOL,Aviation spirit,AVIA_GEN
1A3a,8,Aircraft between UK and Bermuda - TOL,Aviation turbine fuel,AVIA_GEN
1A3a,8,Aircraft between UK and CDs - Cruise,Aviation spirit,AVIA_GEN
