sector,hour,coeff,coeff_l,coeff_u
1,0,0.955637681792433,0.921590857585072,0.989684505999794
1,1,0.941586991565491,0.90786051904581,0.975313464085173
1,2,0.932039099816236,0.896873343777734,0.967204855854738
1,3,0.92950587604702,0.893453395369509,0.96555835672453
1,4,0.935058807086014,0.899193933784435,0.970923680387594
1,5,0.948104146005156,0.911241414383274,0.984966877627039
1,6,0.96752793289584,0.931308343919292,1.00374752187239
1,7,0.989824309814324,0.95338562672447,1.02626299290418
1,8,1.01068259212364,0.973910144771795,1.04745503947549
1,9,1.02739339575127,0.991342848569122,1.06344394293342
1,10,1.03973064654561,1.0028783449394,1.07658294815181
1,11,1.04775588694478,1.01143720517522,1.08407456871435
1,12,1.05211833285984,1.01579965109027,1.0884370146294
1,13,1.05374615653302,1.01689385492681,1.09059845813923
1,14,1.05335998102733,1.01730943384518,1.08941052820948
1,15,1.05124158002005,1.01446913266821,1.0880140273719
1,16,1.0475579142812,1.01111923119134,1.08399659737105
1,17,1.04178362965464,1.0055640406781,1.07800321863119
1,18,1.03294720005868,0.996084468436797,1.06980993168056
1,19,1.02055058915333,0.984685715851752,1.05641546245491
1,20,1.00547917011304,0.969426689435526,1.04153165079055
1,21,0.988866525539185,0.953700769500683,1.02403228157769
1,22,0.971863872579432,0.93813740005975,1.00559034509911
1,23,0.955637681792433,0.921590857585072,0.989684505999794
2,0,0.76729926372354,0.748037800726652,0.786560726720428
2,1,0.605774399473111,0.588240786548232,0.623308012397991
2,2,0.498817912562678,0.477198838498135,0.520436986627222
2,3,0.4515556297866,0.429545985909815,0.473565273663385
2,4,0.470529616995008,0.451177548097401,0.489881685892615
2,5,0.563919261233893,0.540738001560395,0.587100520907392
2,6,0.731087423018282,0.711030146592173,0.75114469944439
2,7,0.92155193888221,0.900429860697383,0.942674017067038
2,8,1.06809841592534,1.04548353082997,1.0907133010207
2,9,1.13926064564877,1.11999389219523,1.1585273991023
2,10,1.15900907214275,1.13603436747694,1.18198377680855
2,11,1.15431859331167,1.13373517595258,1.17490201067076
2,12,1.13815265718442,1.11756923982533,1.15873607454351
2,13,1.1168522395894,1.0938775349236,1.13982694425521
2,14,1.10632966623143,1.0870629127779,1.12559641968497
2,15,1.14265465208577,1.1200397669904,1.16526953718113
2,16,1.25802044454417,1.23689836635935,1.279142522729
2,17,1.41005008880514,1.38999281237903,1.43010736523125
2,18,1.50828506535599,1.48510380568249,1.53146632502949
2,19,1.48959520741745,1.47024313851984,1.50894727631506
2,20,1.37176698867895,1.34975734480217,1.39377663255574
2,21,1.18726700327539,1.16564792921084,1.20888607733993
2,22,0.972504550404514,0.954970937479634,0.990038163329393
2,23,0.76729926372354,0.748037800726652,0.786560726720428
3,0,0.873271985336053,0.872218750731006,0.874325219941101
3,1,0.895294209736932,0.894337875425914,0.89625054404795
3,2,0.931981451720161,0.930797575920664,0.933165327519658
3,3,0.964884349317607,0.963679963520601,0.966088735114613
3,4,0.988226566554467,0.987170654733094,0.98928247837584
3,5,1.01088311744514,1.00961239705965,1.01215383783062
3,6,1.03997809150504,1.03888276555793,1.04107341745214
3,7,1.06827104594269,1.06711560030112,1.06942649158425
3,8,1.08367722506024,1.08243814485934,1.08491630526114
3,9,1.0830726750872,1.08202161319847,1.08412373697592
3,10,1.07723045662793,1.07597110683169,1.07848980642417
3,11,1.07669600136504,1.07557086054746,1.07782114218262
3,12,1.08071315073481,1.07958800991723,1.08183829155239
3,13,1.08314470585608,1.08188535605984,1.08440405565231
3,14,1.0791800722462,1.07812901035747,1.08023113413493
3,15,1.06686014357003,1.06562106336913,1.06809922377093
3,16,1.04494268469007,1.04378723904851,1.04609813033163
3,17,1.01634509674938,1.01524977080227,1.01744042269648
3,18,0.98666640040209,0.985395680016604,0.987937120787576
3,19,0.959541611813752,0.95848569999238,0.960597523635125
3,20,0.932827618140209,0.931623232343203,0.934032003937214
3,21,0.903861144012683,0.902677268213186,0.90504501981218
3,22,0.879178210750164,0.878221876439147,0.880134545061182
3,23,0.873271985336053,0.872218750731006,0.874325219941101
4,0,0.871572754931422,0.870327986636796,0.872817523226048
4,1,0.893680853550114,0.892550491839579,0.894811215260648
4,2,0.93061181670107,0.929212731767093,0.932010901635047
4,3,0.963851362549163,0.962427997060093,0.965274728038233
4,4,0.987591172153263,0.986343131321424,0.988839212985101
4,5,1.01071235508029,1.00921070103638,1.0122140091242
4,6,1.04032563505109,1.03903105268523,1.04162021741695
4,7,1.0690564343472,1.06769089076097,1.07042197793343
