sector,month,coeff,coeff_l,coeff_u
1,1,1.19151745961408,1.17814576719731,1.20488915203084
1,2,1.19327200283013,1.1807713836193,1.20577262204095
1,3,1.13046641470902,1.11933585560873,1.14159697380931
1,4,1.00569836622281,0.994959569236306,1.01643716320932
1,5,0.897611030193547,0.885912817731252,0.909309242655842
1,6,0.848067078852441,0.835495122324864,0.860639035380019
1,7,0.809728819635358,0.797156863107781,0.822300776162935
1,8,0.806438000350949,0.794739787888654,0.818136212813244
1,9,0.862888950037316,0.852150153050811,0.873627747023821
1,10,0.998200482875803,0.987069923775513,1.00933104197609
1,11,1.12362196064884,1.11112134143801,1.13612257985967
1,12,1.13248943402971,1.11911774161295,1.14586112644648
2,1,1.74974003486751,1.7409380214375,1.75854204829753
2,2,1.73639726257898,1.72799741360777,1.74479711155018
2,3,1.50726504903507,1.49981024589343,1.5147198521767
2,4,1.151812329822,1.14469179078921,1.1589328688548
2,5,0.752842337500738,0.744984484124487,0.760700190876989
2,6,0.380495566963501,0.371972654817335,0.389018479109666
2,7,0.209676350619995,0.20115343847383,0.218199262766161
2,8,0.211332858986056,0.203475005609805,0.219190712362306
2,9,0.405610582653101,0.398490043620302,0.412731121685899
2,10,0.841182506258752,0.833727703117114,0.848637309400389
2,11,1.35051741365682,1.34211756468562,1.35891726262802
2,12,1.70312770705748,1.69432569362747,1.71192972048749
3,1,0.957216219897882,0.955257394942475,0.959175044853289
3,2,0.984863109517123,0.98299128547025,0.986734933563997
3,3,1.0348572808967,1.03319631254155,1.03651824925186
3,4,1.00241154686624,1.0008262165087,1.00399687722378
3,5,0.973888348360937,0.972137301078461,0.975639395643414
3,6,1.02487017879998,1.02296968904574,1.02677066855423
3,7,0.986145972485791,0.984245482731549,0.988046462240033
3,8,0.968911386729487,0.967160339447011,0.970662434011964
3,9,1.01452099576925,1.01293566541171,1.01610632612679
3,10,1.05483711750912,1.05317614915397,1.05649808586427
3,11,1.03256948705575,1.03069766300888,1.03444131110263
3,12,0.964908356111728,0.962949531156321,0.966867181067135
4,1,0.975821350241257,0.973152687222985,0.978490013259529
4,2,0.974457011680016,0.971908977924937,0.977005045435095
4,3,1.01188472470876,1.00962350188278,1.01414594753475
4,4,1.00726603433095,1.00510680513728,1.00942526352462
4,5,0.990178463433375,0.987794840095934,0.992562086770817
4,6,1.0173753819786,1.01478937379916,1.01996139015805
4,7,1.00506645455283,1.00248044637339,1.00765246273227
4,8,0.985722010893582,0.98333838755614,0.988105634231023
4,9,1.01916974174496,1.01701051255129,1.02132897093863
4,10,1.06736256588727,1.06510134306128,1.06962378871325
4,11,1.03774682681488,1.0351987930598,1.04029486056996
4,12,0.907949433733517,0.905280770715245,0.910618096751789
5,1,1.06886111097646,1.06191883325385,1.07580338869907
5,2,1.00565876160303,0.999067894143373,1.01224962906268
5,3,1.03548158207659,1.02962828997775,1.04133487417543
5,4,1.05907989577774,1.05347368133289,1.0646861102226
5,5,1.02421726386741,1.01805152207201,1.03038300566281
5,6,0.992922674436796,0.986251551835771,0.999593797037821
5,7,0.977869894490475,0.97119877188945,0.984541017091501
5,8,0.916818250825778,0.910652509030378,0.922983992621177
5,9,0.93914688757058,0.933540673125728,0.944753102015433
5,10,0.992037015539416,0.986183723440575,0.997890307638257
5,11,0.993214128944112,0.986623261484458,0.999804996403767
5,12,0.994692533891619,0.98775025616901,1.00163481161423
6,1,0.999972864893295,0.999464690240224,1.00048103954637
6,2,0.999951128271672,0.999540890641552,1.00036136590179
6,3,0.999932131938081,0.999585225411306,1.00027903846486
6,4,0.999919291960136,0.999606178669106,1.00023240525117
6,5,0.99991611392481,0.999617193662014,1.00021503418761
6,6,0.999925316192443,0.999630718382091,1.0002199140028
6,7,0.999948126324369,0.999653528514016,1.00024272413472
6,8,0.999983796267395,0.999684876004599,1.00028271653019
6,9,1.00002980501215,0.999716691721119,1.00034291830318
6,10,1.0000828809763,0.999735974449521,1.00042978750307
