sector,wday,hour,coeff,coeff_l,coeff_u
1,1,0,0.88939377300628,0.882800072949079,0.895987473063481
1,2,0,0.91165682169422,0.90507847328299,0.91823517010545
1,3,0,0.907116876810644,0.900526615658573,0.913707137962716
1,4,0,0.905152048170589,0.898571220725643,0.911732875615534
1,5,0,0.911847422671934,0.905298112966153,0.918396732377716
1,6,0,0.945894283619329,0.939380275493394,0.952408291745265
1,7,0,0.9554293984279,0.948916255728807,0.961942541126994
1,1,1,0.855755120749947,0.849740638558553,0.861769602941342
1,2,1,0.884959965516768,0.878954134488042,0.890965796545495
1,3,1,0.881115341677286,0.875096287462859,0.887134395891713
1,4,1,0.878647461268519,0.872638803839564,0.884656118697473
1,5,1,0.88601522702844,0.880025452519587,0.892005001537294
1,6,1,0.926083784742173,0.920104967342409,0.932062602141937
1,7,1,0.92719689689517,0.921222550429298,0.933171243361042
1,1,2,0.841044795708087,0.83365280866903,0.848436782747143
1,2,2,0.873726943532869,0.866356011414485,0.881097875651252
1,3,2,0.871636351828599,0.864253760619264,0.879018943037933
1,4,2,0.867789522991471,0.860416218190317,0.875162827792627
1,5,2,0.871760139732559,0.864429281906911,0.879090997558208
1,6,2,0.915148922605898,0.907873082270699,0.922424762941098
1,7,2,0.909999766815007,0.902722207021928,0.917277326608087
1,1,3,0.839655041599071,0.832125140325152,0.847184942872991
1,2,3,0.870366457961677,0.862856117984766,0.877876797938589
1,3,3,0.870973800239815,0.863450757099138,0.878496843380492
1,4,3,0.865451757879967,0.85793880253201,0.872964713227925
1,5,3,0.871114622869098,0.863641466599399,0.878587779138797
1,6,3,0.908624743590033,0.901200378629238,0.916049108550829
1,7,3,0.89863830032202,0.891213425965212,0.906063174678827
1,1,4,0.851945063805363,0.845308793954087,0.858581333656639
1,2,4,0.875653842843943,0.86902798375402,0.882279701933866
1,3,4,0.879234549615764,0.872594481276654,0.885874617954875
1,4,4,0.872404439520063,0.865775553182119,0.879033325858006
1,5,4,0.886166406904233,0.879559950532556,0.89277286327591
1,6,4,0.906814453516724,0.900223528469162,0.913405378564286
1,7,4,0.892009547569361,0.885422957952815,0.898596137185906
1,1,5,0.885172502523546,0.877252830596204,0.893092174450887
1,2,5,0.900037137943053,0.892142808462784,0.907931467423323
1,3,5,0.905558076815428,0.897652475415753,0.913463678215102
1,4,5,0.898547313346439,0.890650734584456,0.906443892108421
1,5,5,0.919067118361729,0.911221088789363,0.926913147934095
1,6,5,0.915533751659555,0.907757333840889,0.923310169478222
1,7,5,0.893746841550792,0.885966757728759,0.901526925372824
1,1,6,0.943069912034329,0.936196647784868,0.94994317628379
1,2,6,0.950140410418488,0.94328006054035,0.957000760296627
1,3,6,0.955605937181921,0.94873181426601,0.962480060097831
1,4,6,0.950106006301778,0.943242747067156,0.956969265536401
1,5,6,0.969456885340389,0.96262083026167,0.976292940419108
1,6,6,0.939159613179403,0.932348373137123,0.945970853221683
1,7,6,0.907023781023001,0.900215501929406,0.913832060116597
1,1,7,1.00749424533957,1.00026586803305,1.01472262264608
1,2,7,1.00817489473193,1.00096429903019,1.01538549043367
1,3,7,1.01276277136505,1.00553952952455,1.01998601320556
1,4,7,1.00990117971042,1.00268796578037,1.01711439364047
1,5,7,1.02290231972247,1.01572535896359,1.03007928048135
1,6,7,0.97230007613982,0.965165276886274,0.979434875393365
1,7,7,0.93096511199779,0.923830679598336,0.938099544397245
1,1,8,1.05295694486489,1.04522771299055,1.06068617673924
1,2,8,1.04812924070113,1.0404233927841,1.05583508861816
1,3,8,1.05290656833538,1.04518912294767,1.06062401372308
1,4,8,1.05285690399558,1.04514871796902,1.06056509002215
1,5,8,1.06026688519718,1.05260552364018,1.06792824675418
1,6,8,1.00619644869806,0.998597533399378,1.01379536399673
1,7,8,0.963241969767551,0.955640436725079,0.970843502810022
1,1,9,1.06952644737144,1.06291852628663,1.07613436845625
1,2,9,1.05984695639747,1.05324902799144,1.0664448848035
1,3,9,1.06617455667687,1.05956231925777,1.07278679409597
1,4,9,1.06828934887723,1.06168836745566,1.0748903302988
1,5,9,1.07377463226018,1.06719533250084,1.08035393201952
1,6,9,1.03384956470254,1.02728446851705,1.04041466088803
1,7,9,0.998760989979178,0.992200415870619,1.00532156408774
1,1,10,1.07139636580789,1.06354689012931,1.07924584148647
1,2,10,1.05775978782617,1.04993523325202,1.06558434240032
1,3,10,1.0648178384573,1.05698201883474,1.07265365807986
1,4,10,1.06783510035759,1.06000829448142,1.07566190623376
1,5,10,1.07326613490127,1.06548901062562,1.08104325917692
1,6,10,1.05099280793733,1.04328355305657,1.05870206281809
1,7,10,1.02814602430784,1.02043335149612,1.03585869711957
1,1,11,1.07326869288155,1.06622047343309,1.08031691233001
1,2,11,1.05683937547335,1.04980668810598,1.06387206284072
1,3,11,1.06184024495893,1.05479443457061,1.06888605534724
1,4,11,1.06405965626848,1.05702422582029,1.07109508671666
1,5,11,1.06919717581792,1.06219379532644,1.07620055630939
1,6,11,1.05450658519064,1.04753732847522,1.06147584190606
1,7,11,1.04307227347558,1.03610457444382,1.05003997250735
1,1,12,1.07740155226092,1.07035333281245,1.08444977170938
1,2,12,1.059547427463,1.05251474009563,1.06658011483037
1,3,12,1.06111632022623,1.05407050983792,1.06816213061455
1,4,12,1.06165731409035,1.05462188364217,1.06869274453853
1,5,12,1.06487449768551,1.05787111719403,1.07187787817698
1,6,12,1.04851384701354,1.04154459029812,1.05548310372896
1,7,12,1.04649023790201,1.03952253887024,1.05345793693378
1,1,13,1.08013579462732,1.07228631894874,1.0879852703059
1,2,13,1.06239262352729,1.05456806895314,1.07021717810144
1,3,13,1.06216817631962,1.05433235669706,1.07000399594218
1,4,13,1.06156747598314,1.05374067010697,1.06939428185931
1,5,13,1.0602035373118,1.05242641303615,1.06798066158745
1,6,13,1.04058275622867,1.03287350134791,1.04829201110943
1,7,13,1.04671566914661,1.03900299633488,1.05442834195833
1,1,14,1.08051382177309,1.07390590068828,1.0871217428579
1,2,14,1.06389464057116,1.05729671216513,1.07049256897719
1,3,14,1.06466513631981,1.05805289890071,1.0712773737389
