time,N
1,0.982995327232847
2,0.982927877117922
3,0.982861393102457
4,0.98279616332757
5,0.982732475934384
6,0.982670619064017
7,0.98261088085759
8,0.982553549456224
9,0.982498913001037
10,0.982447259633151
11,0.982398877493684
12,0.982354054723759
13,0.982313079464495
14,0.982276239857011
15,0.982243824042428
16,0.982216120161867
17,0.982193416356447
18,0.982176000767288
19,0.982164161535512
20,0.982158186802237
21,0.982158364708584
22,0.982164983395673
23,0.982178331004624
24,0.982198695676557
25,0.982226365552593
26,0.982261628773852
27,0.982304773481454
28,0.982356087816519
29,0.982415859920166
30,0.982484377933517
31,0.982561929997692
32,0.98264880425381
33,0.982745288842991
34,0.982851671906357
35,0.982968241585026
36,0.98309528602012
37,0.983233093352758
38,0.983381951724061
39,0.983542149275148
40,0.98371397414714
41,0.983897714481156
42,0.984093637382811
43,0.984301632328294
44,0.98452126215444
45,0.984752078927907
46,0.98499363471535
47,0.985245481583426
48,0.985507171598791
49,0.985778256828102
50,0.986058289338014
51,0.986346821195185
52,0.98664340446627
53,0.986947591217926
54,0.987258933516809
55,0.987576983429576
56,0.987901293022882
57,0.988231414363385
58,0.98856689951774
59,0.988907300552604
60,0.989252169534633
61,0.989601058530484
62,0.989953519606812
63,0.990309104830275
64,0.990667366267528
65,0.991027855985228
66,0.991390126050032
67,0.991753728528594
68,0.992118215487572
69,0.992483138993623
70,0.992848051113402
71,0.993212503913565
72,0.993576049460771
73,0.993938239821673
74,0.994298627062929
75,0.994656763251196
76,0.995012200453128
77,0.995364490735384
78,0.995713186164619
79,0.996057838807489
80,0.996398000730651
81,0.996733224000761
82,0.997063060812027
83,0.997387190399258
84,0.99770565743033
85,0.998018571879127
86,0.998326043719536
87,0.998628182925444
88,0.998925099470738
89,0.999216903329303
90,0.999503704475026
91,0.999785612881793
92,1.00006273852349
93,1.00033519137401
94,1.00060308140723
95,1.00086651859704
96,1.00112561291732
97,1.00138047434197
98,1.00163121284487
99,1.00187793839991
100,1.00212076098097
101,1.00235979056193
102,1.00259513711669
103,1.00282691061914
104,1.00305522104315
105,1.00328017836261
106,1.00350189255142
107,1.00372047358346
108,1.0039360314326
109,1.00414867607275
110,1.00435851747779
111,1.0045656656216
112,1.00477023047807
113,1.00497232202108
114,1.00517205022453
115,1.00536952506229
116,1.00556485650826
117,1.00575815453633
118,1.00594952912037
119,1.00613909023427
120,1.00632694785193
121,1.00651321194722
122,1.00669799249404
123,1.00688138811951
124,1.00706336554467
125,1.00724380638985
126,1.00742259085705
127,1.00759959914826
128,1.00777471146546
129,1.00794780801066
130,1.00811876898584
131,1.008287474593
132,1.00845380503412
133,1.0086176405112
134,1.00877886122623
135,1.0089373473812
136,1.0090929791781
137,1.00924563681893
138,1.00939520050567
139,1.00954155044032
140,1.00968456682486
141,1.0098241298613
142,1.00996011975162
143,1.01009241669781
144,1.01022090090187
145,1.01034545256578
146,1.01046595189155
147,1.01058227908115
148,1.01069431433658
149,1.01080193785983
150,1.0109050298529
151,1.01100347051778
152,1.01109714005645
153,1.01118591867091
154,1.01126968656315
155,1.01134832393517
156,1.01142171098895
157,1.01148972792648
158,1.01155225494976
159,1.01160917226078
160,1.01166036006153
161,1.01170569855399
162,1.01174506794018
163,1.01177834893145
164,1.01180550495087
165,1.0118266728677
166,1.01184201139114
167,1.01185167923042
168,1.01185583509474
169,1.01185463769332
170,1.01184824573537
171,1.01183681793011
172,1.01182051298675
173,1.0117994896145
174,1.01177390652259
175,1.01174392242021
176,1.01170969601659
177,1.01167138602094
178,1.01162915114247
179,1.01158315009041
180,1.01153354157395
181,1.01148048430231
182,1.01142413698472
183,1.01136465833038
184,1.0113022070485
185,1.01123694184831
186,1.01116902143901
187,1.01109860452982
188,1.01102584982995
189,1.01095091604861
190,1.01087396189503
191,1.0107951460784
192,1.01071462730796
193,1.0106325642929
194,1.01054911574245
195,1.01046444036582
196,1.01037869687222
197,1.01029204397087
198,1.01020464037098
199,1.01011664478176
200,1.01002821591243
201,1.0099395124722
202,1.00985069317029
203,1.0097619167159
204,1.00967334413089
205,1.00958515480329
206,1.00949753687949
207,1.00941067855978
208,1.00932476804448
209,1.0092399935339
210,1.00915654322836
211,1.00907460532816
212,1.00899436803362
213,1.00891601954504
214,1.00883974806274
215,1.00876574178703
216,1.00869418891822
217,1.00862527765662
218,1.00855919620254
219,1.00849613275629
220,1.00843627551819
221,1.00837981268855
222,1.00832693246767
223,1.00827782305587
224,1.00823267265346
225,1.00819166946076
226,1.00815500167806
227,1.00812285750568
228,1.00809542514394
229,1.00807289279315
230,1.00805544865361
231,1.00804328092564
232,1.00803657780955
233,1.00803552750564
234,1.00804031821424
235,1.00805113813565
236,1.00806817547019
237,1.00809161841816
238,1.00812165517987
239,1.00815847395565
240,1.00820226294579
241,1.00825321035061
242,1.00831150437042
243,1.00837733320553
244,1.00845087905121
245,1.00853196379985
246,1.00861985087444
247,1.00871375565755
248,1.00881289353178
249,1.00891647987971
250,1.00902373008393
251,1.00913385952703
252,1.00924608359161
253,1.00935961766024
254,1.00947367711552
255,1.00958747734003
256,1.00970023371637
257,1.00981116162712
258,1.00991947645487
259,1.01002439358221
260,1.01012512839172
261,1.01022089626601
262,1.01031091258764
263,1.01039439273922
264,1.01047055210334
265,1.01053860606257
266,1.01059776999951
267,1.01064725929675
268,1.01068628933687
269,1.01071407550247
270,1.01072983317613
271,1.01073277774045
272,1.010722124578
273,1.01069708907138
274,1.01065688660318
275,1.01060073255598
276,1.01052784231238
277,1.01043743125496
278,1.01032871476631
279,1.01020090822902
280,1.01005322702567
281,1.00988488653887
282,1.00969510215119
283,1.00948308924522
284,1.00924806320355
285,1.00898944695973
286,1.00870782484076
287,1.00840418492512
288,1.00807951569667
289,1.00773480563923
290,1.00737104323668
291,1.00698921697284
292,1.00659031533156
293,1.0061753267967
294,1.00574523985209
295,1.00530104298159
296,1.00484372466904
297,1.00437427339829
298,1.00389367765319
299,1.00340292591757
300,1.00290300667529
301,1.0023949084102
302,1.00187961960614
303,1.00135812874695
304,1.00083142431648
305,1.00030049479859
306,0.999766328677114
307,0.9992299144359
308,0.998692240558795
309,0.998154295529646
310,0.9976170678323
311,0.997081545950602
312,0.9965487183684
313,0.996019573569541
314,0.99549510003787
315,0.994976286257234
316,0.994464120711479
317,0.993959591884453
318,0.993463688260001
319,0.99297739832197
320,0.992501710554207
321,0.992037613440559
322,0.991586095464871
323,0.99114814511099
324,0.990724750862763
325,0.990316881163528
326,0.989924896665596
327,0.989548455350968
328,0.989187176060032
329,0.988840677633172
330,0.988508578910773
331,0.988190498733221
332,0.987886055940902
333,0.987594869374201
334,0.987316557873503
335,0.987050740279195
336,0.98679703543166
337,0.986555062171286
338,0.986324439338458
339,0.98610478577356
340,0.985895720316979
341,0.985696861809099
342,0.985507829090307
343,0.985328241000989
344,0.985157716381528
345,0.984995874072311
346,0.984842332913724
347,0.984696711746152
348,0.98455862940998
349,0.984427704745594
350,0.984303556593378
351,0.98418580379372
352,0.984074065187005
353,0.983967959613617
354,0.983867105913942
355,0.983771122928366
356,0.983679629497274
357,0.983592244461053
358,0.983508586660086
359,0.98342827493476
360,0.98335092812546
361,0.983276165072572
362,0.983203604616481
363,0.983132865597573
364,0.983063566856233
365,0.982995327232847
