sector,hour,coeff,coeff_l,coeff_u
1,0,0.900251242589014,0.895593012811859,0.904909472366169
1,1,0.868700532038576,0.864462750631643,0.872938313445508
1,2,0.854427447745283,0.849197205409389,0.859657690081177
1,3,0.847858801525464,0.842534999148826,0.853182603902101
1,4,0.85014224187017,0.845464530004018,0.854819953736322
1,5,0.874819831231336,0.869210279710198,0.880429382752474
1,6,0.930985056413387,0.926135877760446,0.935834235066327
1,7,0.998975112049141,0.99386641675568,1.0040838073426
1,8,1.04940501911718,1.04393315995416,1.05487687828019
1,9,1.06936645224999,1.06470956321345,1.07402334128654
1,10,1.07150545674905,1.06594595146058,1.07706496203752
1,11,1.06951376720203,1.06453624341906,1.074491290985
1,12,1.06793003228927,1.0629525085063,1.07290755607224
1,13,1.06693430794315,1.06137480265468,1.07249381323162
1,14,1.06769621889137,1.06303932985483,1.07235310792792
1,15,1.0735168833842,1.06804502422119,1.07898874254721
1,16,1.08723153789316,1.0821228425997,1.09234023318662
1,17,1.10313947567018,1.09829029701724,1.10798865432312
1,18,1.11003530282102,1.10442575129988,1.11564485434216
1,19,1.09898534464498,1.09430763277883,1.10366305651114
1,20,1.06785455858114,1.0625307562045,1.07317836095777
1,21,1.01629280568441,1.01106256334852,1.0215230480203
1,22,0.95418132882748,0.949943547420548,0.958419110234413
1,23,0.900251242589014,0.895593012811859,0.904909472366169
2,0,0.780239762035619,0.774836430074324,0.785643093996913
2,1,0.617298728053519,0.612392945231123,0.622204510875916
2,2,0.513803335944659,0.50772948015087,0.519877191738448
2,3,0.459235660396573,0.453056735325787,0.46541458546736
2,4,0.458574708036667,0.453158044594728,0.463991371478606
2,5,0.534715567549565,0.528195924844539,0.541235210254592
2,6,0.699419930311669,0.693800914297553,0.705038946325786
2,7,0.896565794217143,0.890638010371768,0.902493578062517
2,8,1.04713912658846,1.04078192300999,1.05349633016694
2,9,1.11454180523056,1.10915005743016,1.11993355303096
2,10,1.1279570951036,1.12149579690401,1.13441839330319
2,11,1.11981784012262,1.11404567903249,1.12559000121274
2,12,1.10342507276333,1.09765291167321,1.10919723385346
2,13,1.08302918082428,1.07656788262469,1.08949047902387
2,14,1.07464286596587,1.06925111816547,1.08003461376627
2,15,1.11906219971094,1.11270499613247,1.12541940328942
2,16,1.25310818910382,1.24718040525845,1.2590359729492
2,17,1.43111396721126,1.42549495119714,1.43673298322537
2,18,1.55422397678722,1.54770433408219,1.56074361949224
2,19,1.5518714211468,1.54645475770486,1.55728808458874
2,20,1.43741365792833,1.43123473285754,1.44359258299912
2,21,1.23997938580975,1.23390553001596,1.24605324160354
2,22,1.00258096712214,0.997675184299743,1.00748674994454
