Pollutant,sector,wday,coeff,coeff_l,coeff_u
SOx,1,1,1.01136345112719,1.00853646840666,1.01419043384772
SOx,1,2,1.01975989170629,1.01706876327316,1.02245102013943
SOx,1,3,1.01850066254877,1.01607399259693,1.0209273325006
SOx,1,4,1.02007203590027,1.01779930741742,1.02234476438311
SOx,1,5,1.00482877418074,1.0024021042289,1.00725544413257
SOx,1,6,0.970614423944724,0.967923295511587,0.973305552377862
SOx,1,7,0.954860760592023,0.952033777871496,0.957687743312551
SOx,2,1,1.01258787873346,1.01077326982848,1.01440248763844
SOx,2,2,1.0057189500815,1.00407766274834,1.00736023741465
SOx,2,3,0.996681284063887,0.995187827616348,0.998174740511426
SOx,2,4,0.99219057610712,0.990756309776979,0.993624842437261
SOx,2,5,0.994820932843561,0.993327476396022,0.9963143892911
SOx,2,6,0.998767080806867,0.997125793473712,1.00040836814002
SOx,2,7,0.999233297363603,0.997418688458622,1.00104790626858
SOx,3,1,1.07362923470132,1.0710859294404,1.07617253996225
SOx,3,2,1.08372150823355,1.0812784735126,1.08616454295449
SOx,3,3,1.08466510988282,1.08246413991815,1.08686607984748
SOx,3,4,1.06419981697255,1.06215027544468,1.06624935850041
SOx,3,5,0.998841346265507,0.99664037630084,1.00104231623017
SOx,3,6,0.896865295730368,0.894422261009424,0.899308330451311
SOx,3,7,0.798077688213895,0.795534382952972,0.800620993474817
SOx,4,1,1.0780760739406,1.07516892192674,1.08098322595446
SOx,4,2,1.08639897188545,1.08361136611611,1.08918657765479
SOx,4,3,1.08637775315311,1.08386594882557,1.08888955748065
SOx,4,4,1.06368229770375,1.06134060555464,1.06602398985286
SOx,4,5,0.996261718023639,0.9937499136961,0.998773522351179
SOx,4,6,0.894096266234177,0.891308660464835,0.896883872003519
SOx,4,7,0.795106919059276,0.792199767045414,0.798014071073138
SOx,5,1,1.07563836710141,1.07184216182159,1.07943457238122
SOx,5,2,1.08336851983465,1.07974971537466,1.08698732429463
SOx,5,3,1.08565964146211,1.08239695466202,1.08892232826221
SOx,5,4,1.06241104807099,1.05935796496591,1.06546413117607
SOx,5,5,0.995738610931888,0.992475924131791,0.999001297731984
SOx,5,6,0.898038804441757,0.894419999981771,0.901657608901743
SOx,5,7,0.799145008157197,0.795348802877384,0.802941213437011
SOx,6,1,0.998590020941899,0.996610430715654,1.00056961116814
SOx,6,2,0.999060007596979,0.997507417152323,1.00061259804163
SOx,6,3,0.999529996346783,0.998302240457273,1.00075775223629
SOx,6,4,0.999999989618012,0.998901507311025,1.001098471925
SOx,6,5,1.00046998899381,0.999242233104303,1.00169774488332
SOx,6,6,1.00093999406395,0.999387403619298,1.00249258450861
SOx,6,7,1.00141000243856,0.999430412212314,1.0033895926648
SOx,7,1,1.05412956369216,1.04771606243225,1.06054306495207
SOx,7,2,1.09116682076617,1.08500032641763,1.09733331511471
SOx,7,3,1.11037935124286,1.10482431892699,1.11593438355872
SOx,7,4,1.12839983194966,1.12323022563216,1.13356943826715
SOx,7,5,1.04931200487575,1.04375697255989,1.05486703719162
SOx,7,6,0.8606366910469,0.854470196698358,0.866803185395442
SOx,7,7,0.705975736426503,0.699562235166594,0.712389237686412
SOx,8,1,0.961850598380996,0.95965857008612,0.964042626675873
SOx,8,2,1.00012652524969,0.998030822562724,1.00222222793666
SOx,8,3,1.01920922939896,1.01732033323164,1.02109812556628
SOx,8,4,1.02293618423369,1.02117187676774,1.02470049169964
SOx,8,5,1.02144964366701,1.0195607474997,1.02333853983433
SOx,8,6,1.00679127519262,1.00469557250565,1.00888697787958
SOx,8,7,0.967636543877031,0.965444515582154,0.969828572171907
SOx,9,1,1.00057702657122,0.999414827273928,1.0017392258685
SOx,9,2,1.00038470484665,0.999473524246358,1.00129588544694
SOx,9,3,1.00019237379232,0.999471502671836,1.0009132449128
SOx,9,4,1.00000002695246,0.999354711205022,1.0006453426999
SOx,9,5,0.999807664230124,0.999086793109644,1.00052853535061
SOx,9,6,0.999615290797246,0.998704110196953,1.00052647139754
SOx,9,7,0.999422912809984,0.998260713512696,1.00058511210727
