Pollutant,sector,wday,coeff,coeff_l,coeff_u
NH3,1,1,1.01807119943972,1.01369639791912,1.02244600096032
NH3,1,2,1.02022349833408,1.01667174549408,1.02377525117408
NH3,1,3,1.01843161705775,1.01507097104171,1.02179226307379
NH3,1,4,1.01070938081536,1.00742898607493,1.01398977555578
NH3,1,5,0.996839612606015,0.993478966589976,1.00020025862205
NH3,1,6,0.978254571894028,0.974702819054028,0.981806324734028
NH3,1,7,0.957470119853048,0.953095318332451,0.961844921373645
NH3,10,1,0.997733305965959,0.996852461551784,0.998614150380134
NH3,10,2,0.998488904402028,0.997798309702852,0.999179499101205
NH3,10,3,0.99924448903506,0.998698132455636,0.999790845614485
NH3,10,4,1.00000004910875,0.999510957121742,1.00048914109575
NH3,10,5,1.00075558079986,1.00020922422043,1.00130193737928
NH3,10,6,1.0015110883726,1.00082049367343,1.00220168307178
NH3,10,7,1.00226658231575,1.00138573790157,1.00314742672992
NH3,11,1,0.998389135786659,0.997637796783597,0.999140474789722
NH3,11,2,0.998926082834266,0.998337022154759,0.999515143513772
NH3,11,3,0.999463033523537,0.998997004579429,0.999929062467645
NH3,11,4,0.999999989807376,0.999582806265985,1.00041717334877
NH3,11,5,1.00053695185721,1.0000709229131,1.00100298080132
NH3,11,6,1.00107391850558,1.00048485782607,1.00166297918508
NH3,11,7,1.00161088768537,1.00085954868231,1.00236222668843
NH3,2,1,1.01029327966191,1.01021732013809,1.01036923918574
NH3,2,2,1.00316979315886,1.00309646004626,1.00324312627147
NH3,2,3,0.993192211369014,0.99312617200423,0.993258250733798
NH3,2,4,0.989033286490148,0.988971997452384,0.989094575527912
NH3,2,5,0.994704262317844,0.99463822295306,0.994770301682628
NH3,2,6,1.00291215030452,1.00283881719192,1.00298548341712
NH3,2,7,1.0066950166977,1.00661905717387,1.00677097622152
NH3,3,1,1.07871703930393,1.07430174631187,1.083132332296
NH3,3,2,1.08553624473386,1.08133550883329,1.08973698063442
NH3,3,3,1.0867507988099,1.08296263214895,1.09053896547085
NH3,3,4,1.06481925901444,1.06127017281345,1.06836834521542
NH3,3,5,0.996691510312867,0.992903343651914,1.00047967697382
NH3,3,6,0.893750035503947,0.889549299603385,0.897950771404509
NH3,3,7,0.793735112321059,0.789319819328994,0.798150405313125
NH3,4,1,1.07377716433668,1.07117959541657,1.0763747332568
NH3,4,2,1.08234130318325,1.07984823928563,1.08483436708087
NH3,4,3,1.08233455407695,1.08008834209027,1.08458076606362
NH3,4,4,1.06207176624269,1.05997894349928,1.0641645889861
NH3,4,5,0.999869870414488,0.997623658427814,1.00211608240116
NH3,4,6,0.900765075427574,0.898272011529957,0.903258139325191
NH3,4,7,0.798840266318365,0.796242697398249,0.80143783523848
NH3,5,1,1.08031156953663,1.07386359446266,1.0867595446106
NH3,5,2,1.08459051431537,1.0785836921773,1.09059733645343
NH3,5,3,1.08440301717985,1.07897025922957,1.08983577513012
NH3,5,4,1.05901924972771,1.05386880858349,1.06416969087193
NH3,5,5,0.992535363847558,0.987102605897286,0.99796812179783
NH3,5,6,0.897780933153172,0.891774111015108,0.903787755291235
NH3,5,7,0.801359352239716,0.794911377165746,0.807807327313686
NH3,6,1,1.00170539498608,0.999711974167665,1.0036988158045
NH3,6,2,1.00113692449396,0.999573486699524,1.00270036228839
NH3,6,3,1.00056845634851,0.999332122634062,1.00180479006296
NH3,6,4,0.99999999234187,0.998893835424281,1.00110614925946
NH3,6,5,0.99943153286835,0.998195199153903,1.0006678665828
NH3,6,6,0.998863076769812,0.997299638975379,1.00042651456425
NH3,6,7,0.99829462219142,0.996301201373003,1.00028804300984
NH3,7,1,1.02694050268053,1.02250479737736,1.03137620798371
NH3,7,2,1.04835910028549,1.04411571411564,1.05260248645535
NH3,7,3,1.06191957720702,1.0580951673853,1.06574398702874
NH3,7,4,1.06965059141333,1.06607982875403,1.07322135407263
NH3,7,5,1.02959094892823,1.02576653910651,1.03341535874995
NH3,7,6,0.931749270842657,0.927505884672803,0.93599265701251
NH3,7,7,0.831790008642736,0.827354303339559,0.836225713945913
NH3,8,1,0.987345372581631,0.984557122695078,0.990133622468183
NH3,8,2,1.00867899844155,1.00608181606896,1.01127618081414
NH3,8,3,1.01854736895774,1.01619835031529,1.0208963876002
NH3,8,4,1.01793093331869,1.01570385041106,1.02015801622633
NH3,8,5,1.0108528537582,1.00850383511575,1.01320187240066
NH3,8,6,0.993675872747728,0.991078690375137,0.996273055120319
NH3,8,7,0.962968600194446,0.960180350307893,0.965756850080999
NH3,9,1,0.999166792460502,0.999041138099398,0.999292446821606
NH3,9,2,0.999444552489086,0.999346045786861,0.999543059191312
NH3,9,3,0.9997223049481,0.999644364356742,0.999800245539457
NH3,9,4,1.00000004034526,0.999930260333655,1.00006982035686
NH3,9,5,1.00027775187762,1.00019981128626,1.00035569246897
NH3,9,6,1.00055544087475,1.00045693417253,1.00065394757698
NH3,9,7,1.00083311700468,1.00070746264358,1.00095877136579
