wday,hour,N
1,0,0.880452124811288
1,1,0.896887666294707
1,2,0.925229025400419
1,3,0.956671664002903
1,4,0.986658902361859
1,5,1.01554503148218
1,6,1.04331712749577
1,7,1.06637667383458
1,8,1.07994669740339
1,9,1.08333216476832
1,10,1.08216698882003
1,11,1.08193752359135
1,12,1.08263459727156
1,13,1.08162945734991
1,14,1.07645307292193
1,15,1.06500519357749
1,16,1.0454752002003
1,17,1.01887961877046
1,18,0.988058951450911
1,19,0.955895657919052
1,20,0.925305444810386
1,21,0.899294845162262
1,22,0.882394245487671
1,23,0.880452124811288
2,0,0.87826668053734
2,1,0.895580968345344
2,2,0.925746849521063
2,3,0.958187299359612
2,4,0.987858003264574
2,5,1.01611104101531
2,6,1.04379246041845
2,7,1.06692292540053
2,8,1.07992795461303
2,9,1.08217360510153
2,10,1.08068637901415
2,11,1.08215742958045
2,12,1.08538139189712
2,13,1.08539611646166
2,14,1.07865259047678
2,15,1.06461377691896
2,16,1.04326578665488
2,17,1.01626741254974
2,18,0.986356293340715
2,19,0.955985464323588
2,20,0.926737560938062
2,21,0.900227313536242
2,22,0.881438016193512
2,23,0.87826668053734
3,0,0.878568887251577
3,1,0.896364085898203
3,2,0.926969292471487
3,3,0.95969020482227
3,4,0.989320541523699
3,5,1.01699874989743
3,6,1.04350489025969
3,7,1.06563592081401
3,8,1.07886845034558
3,9,1.08253882032301
3,10,1.08196811278107
3,11,1.08232096030788
3,12,1.08343100964105
3,13,1.08259074813939
3,14,1.07724584771957
3,15,1.06519603928403
3,16,1.04458076355561
3,17,1.01697031848202
3,18,0.986147864521313
3,19,0.955342064439107
3,20,0.926080448043171
3,21,0.899779405709382
3,22,0.881317686517883
3,23,0.878568887251577
4,0,0.877808174406347
4,1,0.894913811603286
4,2,0.924900422852541
4,3,0.957013158659101
4,4,0.986308027362771
4,5,1.01455899968425
4,6,1.04295176705995
4,7,1.06728617160133
4,8,1.08157097502906
4,9,1.08468972113361
4,10,1.08308477972395
4,11,1.08302907810909
4,12,1.08428602467913
4,13,1.08351772089552
4,14,1.07783836019903
4,15,1.06535026128301
4,16,1.04454995681296
4,17,1.01707030501276
4,18,0.986566981092558
4,19,0.956113001775426
4,20,0.927008356046447
4,21,0.900443566678598
4,22,0.881332203892927
4,23,0.877808174406347
5,0,0.877162719193391
5,1,0.895965102939517
5,2,0.927872201282953
5,3,0.960565665856419
5,4,0.988755312890315
5,5,1.01527625555331
5,6,1.04230646623926
5,7,1.06581406830374
5,8,1.07968938752798
5,9,1.08268172548754
5,10,1.08107515584333
5,11,1.08102468945754
5,12,1.08251293397594
5,13,1.08257951883177
5,14,1.07832219352904
5,15,1.06699859848665
5,16,1.04624965716775
5,17,1.01793791105412
5,18,0.986648547874628
5,19,0.956037781110908
5,20,0.926959048853451
5,21,0.900018896260832
5,22,0.880383443086229
5,23,0.877162719193391
6,0,0.875596995096539
6,1,0.893609098730472
6,2,0.925738679698301
6,3,0.959631829348205
6,4,0.989348812707445
6,5,1.01636535370894
6,6,1.04191832973774
6,7,1.06359667852776
6,8,1.07776946279592
6,9,1.08370302630342
6,10,1.08515647201001
6,11,1.08582987815292
6,12,1.08588531050939
6,13,1.0837957964726
6,14,1.07772220966952
6,15,1.06519262714558
6,16,1.04400705079569
6,17,1.01605289276278
6,18,0.985853410269597
6,19,0.956786796484285
6,20,0.928811036620613
6,21,0.901588302593404
6,22,0.88044295476235
6,23,0.875596995096539
7,0,0.876640966242454
7,1,0.894945646304232
7,2,0.926489724878791
7,3,0.960190757415796
7,4,0.990571108956968
7,5,1.01863289350053
7,6,1.0450620978826
7,7,1.06675599407822
7,8,1.07936030430716
7,9,1.08245387764897
7,10,1.08171395955681
7,11,1.08257410585112
7,12,1.08436640723383
7,13,1.0835180813813
7,14,1.07720911601039
7,15,1.06423563225687
7,16,1.04378164574772
7,17,1.01717475908251
7,18,0.987125303399343
7,19,0.956136783743198
7,20,0.926051467141696
7,21,0.898780281367468
7,22,0.879588119769572
7,23,0.876640966242454
