time,N
1,0.998074914037484
2,1.00141945022586
3,1.004046234875
4,1.00550134225137
5,1.00535916692804
6,1.00356475020025
7,1.00089926751143
8,0.998196267289047
9,0.995618305955027
10,0.994175184909128
11,0.995070201779867
12,0.998074914037484
