Sector,hod,coeff
1,0,0.0361874678653519
1,1,0.0359615743364163
1,2,0.0356872607632573
1,3,0.0354693063672678
1,4,0.0353512867575334
1,5,0.0363222431396553
1,6,0.038653838974343
1,7,0.0420853366754971
1,8,0.0430772549936538
1,9,0.0438339132607752
1,10,0.0451809120031671
1,11,0.0449662527524586
1,12,0.0447886180287977
1,13,0.0446179905436967
1,14,0.0442898964553237
1,15,0.0456068942237223
1,16,0.0464183524935356
1,17,0.0471842272891335
1,18,0.0467254567877395
1,19,0.0452238924945733
1,20,0.0437319795419516
1,21,0.0416545261914865
1,22,0.0395233281872738
1,23,0.0374581898733891
