Sector,hod,coeff
4,0,0.036036035963964
4,1,0.0382882879617117
4,2,0.0382882879617117
4,3,0.0405405409594595
4,4,0.0405405409594595
4,5,0.0427927929572073
4,6,0.0427927929572073
4,7,0.0450450449549549
4,8,0.0450450449549549
4,9,0.0450450449549549
4,10,0.0450450449549549
4,11,0.0450450449549549
4,12,0.0450450449549549
4,13,0.0450450449549549
4,14,0.0450450449549549
4,15,0.0450450449549549
4,16,0.0427927929572073
4,17,0.0427927929572073
4,18,0.0405405409594595
4,19,0.0405405409594595
4,20,0.0382882879617117
4,21,0.0382882879617117
4,22,0.036036035963964
4,23,0.036036035963964
