Sector,hod,coeff
11,0,0.0348584351886432
11,1,0.0348584351886432
11,2,0.0348584351886432
11,3,0.0348584351886432
11,4,0.0348584351886432
11,5,0.0356963715464842
11,6,0.0373722439829166
11,7,0.0398860524255395
11,8,0.0432377969467542
11,9,0.0474274778258098
11,10,0.0491033501909779
11,11,0.0516171587048653
11,12,0.0549689032249433
11,13,0.0541309671474884
11,14,0.0532930310700331
11,15,0.0507792226975382
11,16,0.0474274778258098
11,17,0.0432377969467542
11,18,0.0398860524255395
11,19,0.0373722439829166
11,20,0.0356963715464842
11,21,0.0348584351886432
11,22,0.0348584351886432
11,23,0.0348584351886432
