Sector,hod,coeff
2,0,0.0268898191206438
2,1,0.02448240676267
2,2,0.0232290719622325
2,3,0.0226065105702577
2,4,0.0224989988943188
2,5,0.0237197491044762
2,6,0.0289655960906444
2,7,0.0373486105925066
2,8,0.0470684644194986
2,9,0.0534286222637661
2,10,0.0547559346287009
2,11,0.0547994406699
2,12,0.0547410226384036
2,13,0.0533575221414591
2,14,0.0517518263958733
2,15,0.0514883053807862
2,16,0.0534977810315081
2,17,0.0540067807401345
2,18,0.0526532428581264
2,19,0.049995548184609
2,20,0.0466889474243774
2,21,0.0427360176840216
2,22,0.0379018579265076
2,23,0.0313879225145777
