Sector,hod,coeff
3,0,0.0367102089547696
3,1,0.0386927917901195
3,2,0.0386927917901195
3,3,0.0406753755057363
3,4,0.0406753755057363
3,5,0.0426579583410861
3,6,0.0426579583410861
3,7,0.044640541176436
3,8,0.044640541176436
3,9,0.044640541176436
3,10,0.044640541176436
3,11,0.044640541176436
3,12,0.044640541176436
3,13,0.044640541176436
3,14,0.044640541176436
3,15,0.044640541176436
3,16,0.0426579583410861
3,17,0.0426579583410861
3,18,0.0406753755057363
3,19,0.0406753755057363
3,20,0.0386927917901195
3,21,0.0386927917901195
3,22,0.0367102089547696
3,23,0.0367102089547696
