Pollutant,Sector,wday,hour,coeff
NOx,1,1,0,0.933779122380262
NOx,1,2,0,0.935721144471472
NOx,1,3,0,0.93476547396666
NOx,1,4,0,0.9356474950319
NOx,1,5,0,0.93270685806673
NOx,1,6,0,0.922291499108067
NOx,1,7,0,0.918135305521816
NOx,1,1,1,0.919362044698647
NOx,1,2,1,0.921867056616811
NOx,1,3,1,0.920649260039595
NOx,1,4,1,0.921785842476854
NOx,1,5,1,0.918003920317061
NOx,1,6,1,0.904621887990835
NOx,1,7,1,0.899279777476387
NOx,1,1,2,0.913962489618345
NOx,1,2,2,0.916663952426041
NOx,1,3,2,0.915363519208386
NOx,1,4,2,0.916586322350595
NOx,1,5,2,0.912513756934522
NOx,1,6,2,0.898124747520781
NOx,1,7,2,0.892375832835924
NOx,1,1,3,0.911362563979211
NOx,1,2,3,0.914194675211134
NOx,1,3,3,0.912840753347263
NOx,1,4,3,0.914122506555487
NOx,1,5,3,0.909861066104592
NOx,1,6,3,0.894810240444081
NOx,1,7,3,0.888796412044645
NOx,1,1,4,0.910041784561641
NOx,1,2,4,0.912929767416834
NOx,1,3,4,0.911552229892872
NOx,1,4,4,0.912861869247291
NOx,1,5,4,0.908524145105521
NOx,1,6,4,0.89319175154659
NOx,1,7,4,0.887069416547982
NOx,1,1,5,0.930805896437356
NOx,1,2,5,0.933307941534717
NOx,1,3,5,0.93211203499849
NOx,1,4,5,0.933247226087972
NOx,1,5,5,0.929488090582453
NOx,1,6,5,0.916196602483795
NOx,1,7,5,0.910890163398627
NOx,1,1,6,0.960088728403597
NOx,1,2,6,0.961498508742036
NOx,1,3,6,0.960816802733741
NOx,1,4,6,0.961451503618268
NOx,1,5,6,0.959316954748915
NOx,1,6,6,0.951791570533632
NOx,1,7,6,0.948779658966457
NOx,1,1,7,1.0072867467449
NOx,1,2,7,1.00731866903212
NOx,1,3,7,1.00728773952412
NOx,1,4,7,1.00729055220256
NOx,1,5,7,1.0072062360681
NOx,1,6,7,1.00696153605457
NOx,1,7,7,1.0068459778804
NOx,1,1,8,1.03460671266548
NOx,1,2,8,1.03362802542223
NOx,1,3,8,1.03407890034005
NOx,1,4,8,1.03362090560023
NOx,1,5,8,1.03504947814516
NOx,1,6,8,1.04016536963021
NOx,1,7,8,1.04218641311255
NOx,1,1,9,1.04471494753932
NOx,1,2,9,1.04337905661952
NOx,1,3,9,1.04400777549564
NOx,1,4,9,1.04339235677575
NOx,1,5,9,1.04537288087438
NOx,1,6,9,1.05241946174421
