sector,hour,coeff,coeff_l,coeff_u
1,0,0.901204989622079,0.895097275511989,0.907312703732169
1,1,0.869559167641363,0.863994457255871,0.875123878026854
1,2,0.854878116553953,0.848026311437927,0.861729921669979
1,3,0.847421129195036,0.840443789912623,0.854398468477448
1,4,0.848612865501213,0.842471817946527,0.854753913055899
1,5,0.872786323263583,0.865441995010597,0.88013065151657
1,6,0.929631989297448,0.923269074357239,0.935994904237658
1,7,0.998838661793416,0.992141868663419,1.00553545492341
1,8,1.04995225052435,1.04278614892566,1.05711835212304
1,9,1.06972927312076,1.06361492926969,1.07584361697183
1,10,1.07161892067259,1.06433989822737,1.07889794311781
1,11,1.0700766306215,1.0635489477765,1.0766043134665
1,12,1.06931387228297,1.06278618943797,1.07584155512797
1,13,1.06866584315165,1.06138682070643,1.07594486559688
1,14,1.06886530122802,1.06275095737695,1.07497964507909
1,15,1.07363877399901,1.06647267240032,1.08080487559771
1,16,1.08633986975666,1.07964307662666,1.09303666288665
1,17,1.10160474918211,1.09524183424191,1.10796766412232
1,18,1.1084476291511,1.10110330089811,1.11579195740409
1,19,1.09799607025259,1.0918550226979,1.10413711780728
1,20,1.06772631115442,1.06074897187201,1.07470365043683
1,21,1.01683566977544,1.00998386465942,1.02368747489147
1,22,0.955050602636647,0.949485892251155,0.960615313022138
1,23,0.901204989622079,0.895097275511989,0.907312703732169
10,0,0.705035169350745,0.6988889728243,0.71118136587719
10,1,0.707332689950196,0.701748010119712,0.712917369780679
10,2,0.707571738099878,0.700665989883293,0.714477486316463
10,3,0.705765343336331,0.698738515726065,0.712792170946597
10,4,0.711136381081831,0.704970846229733,0.717301915933929
10,5,0.743555276561641,0.736145080801796,0.750965472321486
10,6,0.819419871906839,0.813025713816226,0.825814029997451
10,7,0.93237758551377,0.92563571769567,0.93911945333187
10,8,1.06815449764938,1.06092785159773,1.07538114370104
10,9,1.2117313299491,1.20559378496195,1.21786887493625
10,10,1.34694580642664,1.33960185714164,1.35428975571163
10,11,1.45756747391197,1.4510010538792,1.46413389394475
10,12,1.52760528303653,1.52103886300376,1.53417170306931
10,13,1.54123316724112,1.53388921795612,1.54857711652611
10,14,1.49087730020688,1.48473975521974,1.49701484519403
10,15,1.38626730995242,1.37904066390076,1.39349395600407
10,16,1.24030008202988,1.23355821421178,1.24704194984798
