sector,wday,coeff,coeff_l,coeff_u
1,1,1.0189116119959,1.01474591458901,1.02307730940279
1,2,1.04198163480753,1.03797652339508,1.04598674621997
1,3,1.04013691386589,1.03652893266034,1.04374489507145
1,4,1.047934192463,1.04457646135746,1.05129192356854
1,5,1.01423814887558,1.01063016767003,1.01784613008114
1,6,0.933318695914519,0.929313584502079,0.93732380732696
1,7,0.903478802077578,0.899313104670686,0.907644499484471
10,1,1.0015661277409,1.00059841172278,1.00253384375903
10,2,1.00104437059999,1.00028577103222,1.00180297016776
10,3,1.00052251495302,0.99992225401493,1.0011227758911
10,4,1.00000045332005,0.999462998160995,1.00053790847911
10,5,0.999478123010124,0.998877862072037,1.00007838394821
10,6,0.998955554155659,0.99819695458789,0.999714153723429
10,7,0.998432856220255,0.997465140202128,0.999400572238382
11,1,0.99713276893603,0.995924924995002,0.998340612877058
11,2,0.998880165195193,0.998012025698166,0.999748304692221
11,3,1.00041074529475,0.999553637348068,1.00126785324143
11,4,1.00138890910405,1.00054425823711,1.00223355997099
11,5,1.00152745093614,1.00067034298946,1.00238455888282
11,6,1.00086826611741,1.00000012662038,1.00173640561444
11,7,0.999791694416433,0.998583850475405,1.00099953835746
2,1,1.0155054994702,1.01209912099436,1.01891187794605
2,2,1.0080992220589,1.00548786688332,1.01071057723448
2,3,1.00045394902802,0.997921104130287,1.00298679392576
2,4,0.995626059230737,0.993153759793562,0.998098358667912
2,5,0.994463519048762,0.991930674151024,0.9969963639465
2,6,0.993999913543142,0.991388558367564,0.99661126871872
2,7,0.991851837620231,0.988445459144389,0.995258216096074
3,1,1.07740174423399,1.07344818353447,1.08135530493351
3,2,1.08471829416382,1.08096617525223,1.08847041307541
3,3,1.08174566143047,1.0783610817754,1.08513024108554
3,4,1.05581465853682,1.05263891201207,1.05899040506158
3,5,0.993494483318307,0.990109903663233,0.99687906297338
3,6,0.901783224990023,0.898031106078431,0.905535343901615
3,7,0.80504193332657,0.801088372627051,0.808995494026089
4,1,1.08192627643025,1.07795841135801,1.0858941415025
4,2,1.08572671245169,1.08195633699544,1.08949708790795
4,3,1.08250213071647,1.07910157722894,1.085902684204
4,4,1.05799870227941,1.05481035906805,1.06118704549077
4,5,0.996805330677008,0.993404777189476,1.00020588416454
4,6,0.901683947480477,0.897913572024218,0.905454322936736
4,7,0.793356899964692,0.789389034892447,0.797324765036937
5,1,1.02735471506764,1.02147413245517,1.03323529768011
5,2,1.03226085989738,1.02723545986174,1.03728625993302
5,3,1.03196939626274,1.02731434363853,1.03662444888695
5,4,1.02177234489864,1.01724090958726,1.02630378021001
5,5,0.998154410593134,0.993499357968925,1.00280946321734
5,6,0.963464020870425,0.958438620834785,0.968489420906066
5,7,0.92502425241004,0.919143669797568,0.93090483502251
6,1,1.01775352417313,1.00965088075668,1.02585616758959
6,2,1.01709981415329,1.01116815140644,1.02303147690013
6,3,1.01504480762929,1.00920400048978,1.0208856147688
6,4,1.00925492779604,1.00352680098832,1.01498305460376
6,5,0.997734077858073,0.991893270718559,1.00357488499759
6,6,0.981049581858428,0.975117919111585,0.986981244605271
6,7,0.962063266531753,0.953960623115298,0.970165909948209
7,1,1.05660822954055,1.0486008253614,1.0646156337197
7,2,1.08873395906322,1.08109961141231,1.09636830671413
7,3,1.11240238311735,1.10551942306713,1.11928534316757
7,4,1.11732994190291,1.11088975887596,1.12377012492985
7,5,1.04629303241539,1.03941007236518,1.05317599246561
7,6,0.883569292303592,0.875934944652684,0.8912036399545
7,7,0.695063161656995,0.687055757477846,0.703070565836145
8,1,0.986196106348994,0.981973273824543,0.990418938873445
8,2,1.00638126663557,1.00263117226765,1.01013136100349
8,3,1.01812483921089,1.01469569640045,1.02155398202132
8,4,1.01903211487228,1.01571936384735,1.02234486589722
8,5,1.01061614197342,1.00718699916299,1.01404528478386
8,6,0.992963939597643,0.989213845229724,0.996714033965562
8,7,0.966685591361204,0.962462758836753,0.970908423885655
9,1,0.997991843984165,0.997532992090315,0.998450695878015
9,2,1.00006180601472,0.999659132566275,1.00046447946317
9,3,1.00142749067515,1.00105793914109,1.00179704220921
9,4,1.00149929002603,1.00114120709235,1.00185737295971
9,5,1.00049462510854,1.00012507357447,1.0008641766426
9,6,0.999448929053877,0.999046255605428,0.999851602502327
9,7,0.999076015137518,0.998617163243669,0.999534867031368
