
"Gas","NFR/CRF Group","Source","Activity","Units","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A","","","kilotonne","482.35673154131","420.65086682411","361.98530062079","366.3943879301","338.71239113239","293.34487083844","286.1489178815","284.59934250829","270.14389035005","277.57826357094","244.78294053245","230.37899003981","225.45687953781","215.82269351212","187.1097262904","215.10716487541","224.75671253747","202.84347502045","196.2947200866","190.98691169468","182.12274524449","186.45711099162","181.58458983723","173.41350608824","163.10120462955","149.55801932193","147.29351840778","138.62086350579","133.82677488477","133.4770405215","119.947288663","115.79603111261","103.83231877617","102.80242904216","102.15676561634","101.33015365197","99.806325402986","93.697572060221","94.883627176514","91.274518062976","99.316564760087","88.234227696649","94.363111974473","95.712939222435","88.976699021673","89.313837544301","88.092541672541","87.425631283377","90.2947322054","87.837934406051"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Miscellaneous industrial/commercial combustion","MSW","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00640446270767297","0.00639562896600721","0.00677547985763471","0.00709349455760192","0.00725250190758553","0.00798570246584326","0.00882490792409006","0.00838705933659923","0.00541706754909257","0.00572414737320194","0.00273810385861289","0.00392464104327535","0.00697312753098114","0.00442914668954505","0.00513518292446756","0.00570757315165665","0.00683548225711202","0.00583790474135226","0.00675260831692057","0.00781441739323569","0.00618315802039292","0.00659460968632097","0.00826807201054901","0.00645352839383825","0.00730903917837037","0.00623535472098989","0.00680419371712103","0.00508770915923715","0.00736479190906024","0.00728484079969544","0.00897358199067896"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Burning oil","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.58938347173636e-06","1.58938347173636e-06","1.29077203159196e-06","1.51713876847563e-06","1.4208124974613e-06","1.39673092970771e-06","1.20407838767907e-06","1.20407838767907e-06","7.05551744156376e-05","0.00162462477731053","0.000638555083255816","6.68818455312635e-05","5.86134133687704e-05","8.63810435793912e-05","7.42652981983697e-05","0.00189047838266378","2.5855233117267e-05","2.63065896410575e-05","2.96059629262951e-05","7.21142694043785e-05","3.29202940805125e-05","3.54664993134453e-05","3.84543066086574e-05"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Coal","kilotonne","28.3689842604375","26.7638235135216","24.4866922914149","28.2194533783146","24.635855775793","27.4078717601097","28.5835445433852","29.3918195818871","29.6122582287513","32.6249197358947","32.9074486016256","32.0462682878763","29.4755862676955","29.9667970524578","19.6230809461022","27.1653892485592","30.3661584010267","31.6608680536088","30.297455022754","29.6243823543288","30.3305208197836","30.1343304240745","28.2855849723738","23.548725849008","20.8573049409817","15.8382159455507","14.5595707505387","8.66367144870346","9.91046164357254","7.53901026309733","8.80123479598229","6.68744435721843","3.18022565991451","2.82281650993138","3.03002286985817","2.63426543272455","3.33307369353425","2.61257512254268","2.16749348952309","1.49148845375753","1.62523401576107","1.63325069128523","2.6625360044328","2.45130535342783","1.83643552802197","1.22449525685655","0.336292356142008","0.275326646398134","0.177613704681121","0.106042883847676"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Coke","kilotonne","0.0647434800000001","0.02249304","0.00820692000000001","0.0030396","0.00192508","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Fuel oil","kilotonne","1.85730841987234","2.23757059068885","2.71441966496675","2.5182811550298","2.57679503030932","2.01646616063264","1.57300900451425","1.58549196457388","1.73903237330734","1.67193646298682","0.988650436722772","0.743984419554005","0.977103698667614","0.585762900798183","3.08844035575345","1.48375584008789","0.855848852170303","0.674662227545241","0.77676186062262","0.80723141717335","0.924466242588113","0.68464499332971","0.466719968020043","0.418729334043255","0.295656819432615","0.207589658288273","0.260028833581403","1.90864474146827","1.53034370831859","1.20942946676756","1.01984366851441","0.786861319603537","0.367170393734591","0.342353464935541","0.337232162518208","0.280735453259936","0.343487422298213","0.258282599882491","0.486739960937063","0.304347226474821","0.253394040530848","0.165468293218855","0.180143763955596","0.0885475832068431","0.0709837175676688","0.0761483568961289","0.0697209470854408","0.0607193284650056","0.0463322918522451","0.0296890929569097"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Gas oil","kilotonne","0.2356484375","0.1736484375","0.3971875","0.2065859375","0.1760703125","0.102203125","0.0871875","0.1731640625","0.1193984375","0.1145546875","0.04359375","0.0230078125","0.057640625","0.0312421875","0.1085","0.05134375","0.0186484375","0.01646875","0.0167109375","0.01259375","0.015471637421875","0.017752583515625","0.014369892578125","0.01779792828125","0.019424369921875","0.01152687046875","0.0149394521875","0.0156320488836193","0.00417957732162831","0.0328538097207672","0.00692365671409057","0.00268457367976407","0.00668344130224737","0.0107699839137189","0.111007034857065","0.0216101648421672","0.0270729907512239","0.0156600724091418","0.0168524883367451","0.0166450212564128","0.0263927932623708","0.0076163288942427","0.0110863922648845","0.0147892651617176","0.0283473041225448","0.0143645332963815","0.0183068135119181","0.0157303928890155","0.0218821994958159","0.0194743523231407"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","LPG","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0.00920429316227351","0.0190222058686986","0.0170060273664863","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Natural gas","kilotonne","0.00912825417812652","0.0400121808141212","0.0958466688703284","0.043359207346101","0.14985550609091","0.130534034747209","0.0973680445666829","0.0666362555003236","0.0384908051177668","0.0244941487113062","0.00836756632994931","0","0","0","0.0150616193939088","0.0191693337740657","0.000167351326598986","0.00018256508356253","0.000258633868380251","0.00028906138230734","0.000456915686184361","0.00104882918874137","0.0142973735409922","0.26140270649207","0.417103428809017","0.555002885217384","0.777885102188549","2.06901215557302","0.0981784585385489","0.299987826348901","0.172568811935102","0.184737003718189","0.409920988895531","0.44659643315067","0.415891634878851","0.617411838005203","0.681624177499527","0.943036121865508","1.01686342607256","0.714680995547895","0.734727534654293","0.557632999622274","0.494461501610138","0.392310240170164","0.133774839854764","0.0472502253400251","0.113700783437146","0.114276108401195","0.143759202797839","0.0731092202620744"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Landfill gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0137717812239222","0.018877856909708","0.0188786433475252","0.0282351639539741","0.051171059599871","0.0606931823409473","0.0701739045483668","0.0763011835295812","0.0960906386175572","0.124657006840786","0.160965274857847","0.23118057993987","0.297069529254753","0.340411747940113","0.36371196828219","0.444857014249623","0.543646967661607","0.582580029512512","0.600771424001334","0.635034505655746","0.63763031911603","0.667720226977832","0.70836727092213","0.722099827936109","0.707228756246567","0.702633297010656","0.683431729500607","0.661564900387625","0.638574447219049","0.581669182214783","0.531700516649287","0.492124989686849"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Sewage gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0188885695047471","0.0195474376467801","0.0223778884531306","0.0232418995903171","0.0232418995903171","0.0267411446959225","0.025553129382291","0.0290739747663261","0.0290739747663261","0.0288795722604591","0.0273243522135234","0.0290739747663261","0.026006735229314","0.0257086513869846","0.0260391356469585","0.0243003132333706","0.0268145856425833","0.0330073854683677","0.0315169662567209","0.0349643706940951","0.0388437807000625","0.042721030678187","0.0512531406579038","0.0549035877125168","0.0523201944123291","0.0542642194709988","0.0595195672129357","0.0633615182495819","0.0673217675576405","0.0685306992198711","0.0702793137846455","0.0742877412189657"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","OPG","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0.00639296039165207","0.012958703496592","0.0111444850070691","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Orimulsion","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0531671347937827","0.143379757056782","0.441115711901965","0.485707502511376","0.457952787952789","0.480372512677995","0.374688644671458","0.0810760937997796","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Petroleum coke","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00895376213657422","0","0","0","0","0","0","0","0.00859598818314453","0.0122377507912191","0.0117224813526195","0.0219199785693565","0.0360572947795516","0.0171218189603195","0.00314419278279805","0.0137379333723035","0.00406833818907629","0","0.00101421644333489","0","0","0","0"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Straw","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000413810299283736","0.000413810299258554","0.0015967223354438","0.00413810299226844","0.00413810299353071","0.00413771930573929","0.0151214420388542","0.00968405655797363","0.00984618303539545","0.00532635188306418","0.00120371491368324","0.00232132452948","0.00655134673054993","0.0107027454531761","0.000434608124794461","0.0157413625061445","0.012081577072631","0.0125441255747846","0.00766924286591976","0.020534777927394"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Wood","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0988504532389738","1.19417531065163","1.17441284733919","1.24144406851443","1.17861069216909","0.686249703544733","0.634799655610963","0.73374119120691","1.02326707000727","0.918507810597971","0.864256533323032","0.827327545581661","0.930306833116265","0.715608094248352","0.59130963512115","0.429410719793995"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Slurry","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.076220007677686","0.069360206986694","0.084801815949544","0.0440664562906918","0.0678640364656138","0.0161755794071533","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","MSW","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0128282099282974","0.0126675855486938","0.00974474374550329","0.00958366278290167","0.0114808436284212","0.0164521665736237","0.0260459594225628","0.0274869919099839","0.0266052582520282","0.0356497216051327","0.0515842799512876","0.0221997783907748","0.0224164411722261","0.0406630595290566","0.0235293464547382","0.0226268837794574","0.0244519055630231","0.0268220316183497","0.0285345924467483","0.0280479363175685","0.030592027684501","0.0321896380819535","0.0369769592492688","0.0402875768438793","0.0403368834712482","0.0395448954552914","0.0442725487525468","0.0582613915600922","0.0519900023045529","0.0648139280239439","0.0755076950535521","0.106058035361474"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Scrap tyres","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00968088","0.00968088","0.0150591466666667","0.0164933511111111","0.0118321866666667","0.00896377777777778","0.00292042398947048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PM2.5 (Particulate Matter < 2.5&micro;m)","1A1a","Power stations","Sour gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0460817641416112","0.117469820821421","0.131946346247203","0.136311405440474","0.140013417667677","0.022781825614463","0.0140869868444461","0.0124581087802956","0.00700979249675785","0.00368463451752656","0.00339255983016165","0.00183108361694155","0.00195465367698056","0.00240942644978535","0.000448491971090936","9.0792601836776e-05","0","0.000438366255973739","0","0","0","0","0","0","0","0","0","0"
