
"Gas","NFR/CRF Group","Source","Activity","Units","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Carbon Dioxide as Carbon","1A","","","kilotonne","154436.86448192","157354.37135002","153087.1806368","149298.47314093","147561.50506036","144852.36668575","150401.15067531","144628.89594459","146225.49598256","144616.39284753","146907.75632762","149736.94893428","145601.80816411","148247.4174726","148266.91223326","147590.65497347","147473.3112783","144708.75160355","141463.87633221","129155.21279539","133632.13009314","122507.9662729","127536.53467587","124238.3737448","113581.4410057","109287.98217216","103627.69437127","100308.5869663","98917.575366574","95442.236948184"
"Carbon Dioxide as Carbon","1A1ai","Miscellaneous industrial/commercial combustion","MSW","kilotonne","22.978184166","23.3760748009091","31.1349421816364","37.1033017052726","43.3700792050909","51.1289465858183","62.7598296432802","52.0294410299629","49.335228718375","49.026280348151","75.9655816600974","80.3211853546173","91.7451436395345","116.516278050444","115.071752959534","126.780008959535","111.013065109535","136.587089374262","152.593486609577","143.146758437683","137.17869164492","151.588064752715","143.29662075849","153.884652640482","157.57497879548","136.708243514739","143.243251429858","166.907970896387","165.617501574317","163.77412234105"
"Carbon Dioxide as Carbon","1A1ai","Power stations","Burning oil","kilotonne","0","0","0","0","0","0","0","0.250993417624375","0.250993417624375","0.250993417624375","0.250993417624375","0.28427873042162","0.263639900252393","0.251857552105054","0.260219218532196","13.919663782","15.905079072","6.14700399999999","4.04351057","3.18154945727271","2.2937018","2.37260095","2.04930771000001","1.425747584","1.45063695438","1.632575886","3.97663192239999","1.8153396466","2.21838573450841","2.09190492228203"
"Carbon Dioxide as Carbon","1A1ai","Power stations","Coal","kilotonne","49949.9489217003","50185.8424697987","46898.5985718121","39044.7021530202","36854.3591946308","34686.7797476509","32618.0998586129","28045.0206926175","29136.9723847874","24572.5596635347","27706.6092699777","30895.2350241789","29131.6481182641","31921.9712000001","30712.7296000001","31121.8129454348","34396.6558910673","31367.5868792668","28327.0052092471","23239.6634347719","24508.908598698","24711.1602629135","32945.8953979545","30539.3183523869","23397.8282362534","17837.2165186273","7411.49956867563","5341.92680344788","4001.41716327133","1765.11935084737"
"Carbon Dioxide as Carbon","1A1ai","Power stations","Coke","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carbon Dioxide as Carbon","1A1ai","Power stations","Fuel oil","kilotonne","5306.58463531365","3987.82780679926","2788.53312285244","2511.82897009961","1924.18237441974","1829.72940291694","1824.55594726297","941.984642833529","807.27946609746","839.564324794291","830.145182115379","867.149546352823","684.791141091859","639.866842785463","723.59734736964","584.60540090176","770.119489078428","624.962998434811","895.292585872079","661.599582322393","479.52692614384","343.68943633743","385.937758722435","296.030533102976","251.15168461867","244.545092484181","264.771745478165","198.103059804642","196.385849679716","179.982096236465"
"Carbon Dioxide as Carbon","1A1ai","Power stations","Gas oil","kilotonne","178.631422134651","186.9843204588","181.595483511934","194.755461254847","205.640818829571","181.929108070468","193.438640458972","294.50334196433","282.498255361676","329.062803771224","280.617466951833","283.025794151638","285.302554369291","291.027493070492","327.273397868045","315.906042751438","334.319240747732","249.63811993142","257.065137860883","239.469810828781","235.942080794822","243.763616479177","240.412131658673","254.751762283408","262.527488822608","255.024504130471","242.906007778266","239.967104126906","256.194237455245","252.517152246347"
"Carbon Dioxide as Carbon","1A1ai","Power stations","LPG","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carbon Dioxide as Carbon","1A1ai","Power stations","Natural gas","kilotonne","4.35202950288095","10.0092230867043","136.706790566427","2504.26629669899","4003.58621733278","5339.28957251269","7500.39746114688","10147.4057797018","11220.8912149855","13658.292703323","13954.730532634","13774.158382353","14534.4513287696","14305.4703521489","15287.5756428217","14820.2012874405","13917.5478075126","16021.733253817","17292.6727110851","16437.3443810685","17270.190408696","13853.6579085351","9218.79287722314","8793.821050057","9517.14030485063","9320.51368602276","13596.1080232964","12933.7451749435","12356.6768998059","12295.9318517915"
"Carbon Dioxide as Carbon","1A1ai","Power stations","OPG","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
