
"Gas","NFR/CRF Group","Source","Activity","Units","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Nitrous Oxide","1A","","","kilotonne","12.163648285963","12.12561949629","11.925076687788","11.866672405468","12.416432509922","12.834187313902","12.278614899142","11.753072223406","11.668253939708","11.227483336715","11.206853802847","11.062468793447","10.841806586145","10.471027167749","10.116890308279","9.9452352844358","9.7949470517108","9.3194878222799","8.5019441324558","7.8771494837051","8.0691719232318","8.0363816402329","8.7293935209588","8.6157081787737","8.5228400160636","8.6477250646874","8.2374989190081","8.2477527181556","8.4258057686445","8.4351119569806"
"Nitrous Oxide","1A1ai","Miscellaneous industrial/commercial combustion","MSW","kilotonne","0.00848748096","0.00899157168","0.00941360112","0.00962461584","0.01059762816","0.01171131696","0.0111302589328","0.0071888563152","0.007596374352","0.0081416473824","0.0118479548119596","0.0125357888730194","0.0147670821512577","0.0176864069512577","0.0175161669512577","0.0188960069512577","0.0170378429512577","0.0200517898312577","0.0217116625566388","0.020574439048221","0.0193911634746043","0.0217074028179237","0.0203171603268964","0.0214601592022236","0.0211946992041714","0.0239278321330519","0.0250003640105818","0.0306297058746782","0.0302410395770958","0.0298065481557066"
"Nitrous Oxide","1A1ai","Power stations","Burning oil","kilotonne","0","0","0","0","0","0","0","7.69459913820756e-06","7.69459913820756e-06","7.69459913820756e-06","7.69459913820756e-06","8.71501290677874e-06","8.08229701192842e-06","7.72109054381196e-06","7.97830788086358e-06","0.000426859301151149","0.000487362592936078","0.00018828195666648","0.000123852218401223","9.74612457426084e-05","7.02635737059048e-05","7.27173277593672e-05","6.28087630200786e-05","4.3721369526313e-05","4.44699726218623e-05","5.00623145812171e-05","0.000121906150146691","5.56295663702152e-05","6.80058895891146e-05","6.4093864203441e-05"
"Nitrous Oxide","1A1ai","Power stations","Coal","kilotonne","3.53482330107746","3.51195859702834","3.29649943827331","2.7444495706603","2.59689943928712","2.48099166052125","2.28745521426275","1.94063105171987","1.99646546010949","1.69485689209072","1.9165931400098","2.11051023649113","1.97581957434469","2.17925463910894","2.09670192486417","2.16724815687135","2.39375281581542","2.18391322491508","1.98815510745","1.63225396862485","1.7211578307826","1.73447443088196","2.30934593995952","2.14204024061271","1.6419062800683","1.24858407376668","0.512081797052086","0.370150296797602","0.280552101449217","0.122381165177288"
"Nitrous Oxide","1A1ai","Power stations","Coke","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrous Oxide","1A1ai","Power stations","Fuel oil","kilotonne","0.149127881571499","0.111938510307721","0.0785457246608958","0.070751688428535","0.0541992123887423","0.0515387178684285","0.0513929950796215","0.0265027596308366","0.0225823223140888","0.0234048247834645","0.0230622870227811","0.0243138822516802","0.0191129345897265","0.0179005479076583","0.0202033670981386","0.0166725563076437","0.0215636717132231","0.0176565118373529","0.0253127801790249","0.018580507946128","0.0134153767842464","0.00959362251905409","0.0107949717620135","0.00829638540363007","0.00704333187222177","0.00685220828997712","0.00737765252055003","0.00550968686996771","0.00548769736557554","0.00503653881320165"
"Nitrous Oxide","1A1ai","Power stations","Gas oil","kilotonne","0.00526828264113505","0.0055096038158111","0.00535081854155717","0.0057385850848183","0.00605932859680376","0.00536064898689204","0.00569978417967348","0.00866774111839294","0.00833272440125441","0.00972755035920669","0.00829543938167127","0.00836663285552815","0.00843393702792088","0.00860317411239556","0.00967565912258654","0.00928809027835568","0.00982219876221985","0.00732331478131162","0.00754686605154509","0.00703030601796998","0.00692673963688138","0.00715636269124963","0.00705797048130389","0.00747895044169071","0.00770722864048931","0.00748695754138369","0.0071311851893749","0.00704490545350805","0.00752129833450543","0.00741334721455744"
"Nitrous Oxide","1A1ai","Power stations","LPG","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrous Oxide","1A1ai","Power stations","Natural gas","kilotonne","2.85982372188287e-05","6.56459536159476e-05","0.000894868993327842","0.0163611292760208","0.0261063981004453","0.0347374901945845","0.0486876317754711","0.0657027529104205","0.0724690997846446","0.0878167300522351","0.0900726255743545","0.0888118446005915","0.0936136995332929","0.0920314250390763","0.0984598649623804","0.0959081149553977","0.0905012602160621","0.104241999608321","0.1122617635224","0.106955739211612","0.112665977948415","0.0905062473193025","0.0600688278582971","0.0572142640660055","0.0620213252417672","0.0606952804682557","0.0885472148747435","0.0840026755549999","0.0803207209964459","0.0799989739039172"
"Nitrous Oxide","1A1ai","Power stations","Landfill gas","kilotonne","0.0001737354528","0.0002598411816","0.0004709145168","0.0005585442408","0.000645792966","0.0007021807884","0.0008842982148","0.0011471873868","0.0014813233344","0.0021274972992","0.0027338568894","0.00313272453312","0.00334715065776","0.00409390830576","0.00500304764232","0.00536133891384","0.00552874978656","0.00584406439344","0.0058679530182","0.00614486294604","0.00651892756788","0.00664530486984","0.00650845010088","0.00646615923408","0.00628945199064","0.00608821700848","0.00587664159398692","0.00535295661301522","0.00489310742904453","0.00452890371111587"
