
"Gas","NFR/CRF Group","Source","Activity","Units","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Sulphur Dioxide","1A","","","kilotonne","6342.6038976171","5990.0564853534","5743.2073635909","5911.3200235294","5414.9351382191","5143.3645463225","4966.7159990334","4963.8607399108","5013.7140149924","5336.3170049653","4712.273408547","4283.5764648934","4102.5573642988","3773.0823644394","3627.7482302099","3645.1047928309","3799.5474281607","3783.3808944187","3716.6424373479","3606.130068315","3474.6021149508","3413.0010385861","3326.572166677","3021.2460518478","2740.4012404195","2444.8466032685","2070.581720945","1667.2431570136","1674.3824972631","1285.1051200642","1235.0520922987","1169.0222846084","1053.0446114095","1019.8482711838","858.10709215563","742.84899842857","697.37965602552","602.14924515759","507.8755492701","412.47873466365","416.16186101732","392.8489019704","435.50092188928","368.90515237824","296.42002955209","238.59161141205","168.85888451442","164.70075533398","151.59855376844","140.05083382764"
"Sulphur Dioxide","1A1a","Miscellaneous industrial/commercial combustion","MSW","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.543182210526316","0.54243299368421","0.574649317894737","0.601621124210526","0.259280899821086","0.250577158797111","0.274292524550455","0.264684333667436","0.0234214784396317","0.0304220264002803","0.0303728756667403","0.0351180109225648","0.0392747495290638","0.0468379652650921","0.0536970536209061","0.0595252465873736","0.0671061106072349","0.0550519480956053","0.0629193074728711","0.0662490332184434","0.0518177655354832","0.0525057002925345","0.0666074537541877","0.0575225614693714","0.0657837476256772","0.0588167614798038","0.0621228355669729","0.068110904469429","0.0922140765860354","0.0775919299083059","0.0789991421157417"
"Sulphur Dioxide","1A1a","Power stations","Burning oil","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0131726285364877","0.0131726285364877","0.00811950568847127","0.00751313094670929","0.0103280901137506","0.0101062456960328","0.0088934962125089","0.0100076481770472","0.464847114050825","0.0223989594470231","3.07088564219117e-05","0.000778329315375101","0.000609176701280007","0.00166845549961831","0.00682323824085236","0.0642486885347106","0.0776494440590483","0.0844828383643081","0.0968207421153764","0.235836175915723","0.107659639764688","0.131562492717884","0.124061483908353"
"Sulphur Dioxide","1A1a","Power stations","Coal","kilotonne","2244.66912","2117.66229","1937.48643","2189.0565","1911.0675","2126.1","2217.3","2280","2297.1","2615.16","2637.80705","2568.77625","2408.44456","2450.2126","1623.6944","2163.4844","2449.80528","2587.00352","2488.1092405","2394.638834","2212.43343631002","2198.1224986928","2063.26737118372","1782.45328680337","1651.50203908805","1496.30316420797","1206.20236080849","974.561486305146","1066.96995646956","755.070470393632","785.344142031933","725.35440550108","665.931331104762","660.150413411109","490.179585636058","372.534764549858","347.815210562305","275.700327605028","200.247267480819","151.03063752477","165.238340643714","161.724083160482","220.91192891852","171.407127060734","116.200016316664","83.9166841585368","31.600702216555","24.088312834636","16.2045785519398","6.9776048459142"
"Sulphur Dioxide","1A1a","Power stations","Coke","kilotonne","12.141","4.218","1.539","0.57","0.361","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sulphur Dioxide","1A1a","Power stations","Fuel oil","kilotonne","642.762","803.04","1026.364","952.201","974.326","808.9798","588.7304","579.177","635.265","621.47","367.488","276.544","338.148","180.192","962.53359","462.42267","266.731156598909","236.940532648454","235.132783871849","240.259946661869","300.155149996827","211.732449403464","136.097472928454","125.971647032466","89.5054833419919","75.4601500892742","81.2572601243616","27.4266134541155","23.5629815803613","23.3915775993799","20.7714641940541","16.8136327483508","10.9011216884313","9.65123269490694","7.77373104588719","7.78053162431425","10.1202077799074","6.14382153101331","10.0781716704829","5.23567194449549","2.80402062128633","2.2921496704257","1.92313297506923","0.948056622356277","0.722212593353569","0.738030284247962","0.649340965763991","0.552881632680651","0.450542820965744","0.316628823149727"
"Sulphur Dioxide","1A1a","Power stations","Gas oil","kilotonne","13.622","10.038","22.96","11.942","10.0326","5.908","4.824","8.008","5.7188","5.4868","1.62","0.703","1.8088","0.7482","2.4192","1.06","0.4158","0.3944","0.345","0.2184","0.224292279285056","0.25623927678966","0.1862731548475","0.25467308636748","0.0977961958934368","0.102070456977415","0.171851311202313","0.318731261167259","0.164206054583105","0.273083328906877","0.157762392743986","0.159642378479169","0.200151816742433","0.256228463623741","1.70591599518771","1.07144820387187","0.486269523055986","0.458134966312726","0.216944182443951","0.211352521505423","0.17775058684842","0.227231565655169","0.241589703918702","0.279867046172604","0.311519665573625","0.400889917637554","0.131412448910205","0.122373651884381","0.161560106958624","0.120012280419562"
"Sulphur Dioxide","1A1a","Power stations","Natural gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.894768448127298","0.62619922635623","0.440722946085907","1.48463982061835","5.79577995140454","0.268949088040523","0.358139063314798","0.365309453512727","0.330657797057178","1.57343561860149","0.159616459448445","0.641183499499426","0.637681704809331","0.303229408093591","0.854217175397389","0.694285396911448","1.12999945786624","0.764217302532209","0.790947260877241","0.868836292675101","0.865515338339233","0.836586364887694","1.35623974795433","0.176272993369913","0.0934621338037767","0.113776681319497","0.121622052277884"
"Sulphur Dioxide","1A1a","Power stations","Landfill gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0382604734064867","0.05244606565567","0.0524482505206995","0.0784423395945549","0.142162363253475","0.168616524700319","0.194955668053916","0.211978345854494","0.266956994426631","0.346319478767163","0.447190346544911","0.642261032692074","0.825312328094911","0.94572476991535","1.01045695279484","1.23589241555925","1.5103485896656","1.61851160455522","1.66905055472801","1.76423952869935","1.77145116314595","1.85504631331798","1.96797107726803","2.00612257879811","1.96480807970373","1.9520410713533","1.89869567970527","1.83794571423906","1.77407412001627","1.61598110771929","1.47715921032338","1.36721131235185"
"Sulphur Dioxide","1A1a","Power stations","Orimulsion","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.8347706845258","23.1628733453887","68.1505582456357","81.6981353434361","71.0149970554273","72.8116634250522","57.9353856180353","12.7174966792636","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sulphur Dioxide","1A1a","Power stations","Petroleum coke","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0753005633550844","0","0","0","0","0","0","0","0.195514454681771","0.181114786174006","0.287597813039515","0.559793768211201","1.15419900518767","0.429213413080187","0.117833053262911","0.282018119318835","0.131108854346629","0","0.0760461793668993","0","0","0","0"
"Sulphur Dioxide","1A1a","Power stations","Straw","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0204526567767684","0.169483074847987","0.132719265003142","0.191401186783216","0.166682969588467","0.129962868870487","0.13059580818088","0.0754659819524598","0.0877626297907566","0.0904948294885869","0.102582858529781","0.1055825558774","0.129161443727417","0.129668531141029","0.133205686093844","0.280896962051254","0.254698982006007","0.317305427026662","0.18882810054711","0.35338674747261"
"Sulphur Dioxide","1A1a","Power stations","Wood","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00427126971670811","0.0720370827355985","0.0523418279737817","0.0491371712876736","0.100197813227169","0.0330212474337565","0.0728874942474832","0.0594163866515294","0.370382684361376","0.407050496278141","0.238713496282816","0.383667843103045","0.38845785140913","0.453348635905345","0.552297203444132","0.861460849605959"
"Sulphur Dioxide","1A1a","Power stations","Slurry","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.18775886228331","3.68669280748556","5.65206338803659","2.94121713796551","3.98537661636801","0.82691672254027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sulphur Dioxide","1A1a","Power stations","MSW","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.088","1.07437695157895","0.826481734736842","0.812819962105263","0.97372571368421","0.588173930537533","0.817275942619465","0.854340517560109","0.839626234878115","0.154136749890327","0.274154074694918","0.246254760122128","0.200584159736118","0.229026569640897","0.248821452348544","0.236602475403641","0.255013062381453","0.26332044364814","0.269083681886828","0.261344453331093","0.25935295701563","0.26976427147769","0.294407286013996","0.324556064348887","0.35953678629091","0.355917017138591","0.417613440870633","0.53193118806765","0.69600796144207","0.811530942957002","0.804243763621834","0.933684432452988"
