
"Gas","NFR/CRF Group","Source","Activity","Units","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Non Methane VOC","1A","","","kilotonne","870.51513336756","861.18282287317","854.22532307961","883.22684794498","858.53280665624","825.69437230626","842.08223153203","861.27432396023","846.38076794139","855.00458051489","858.57784295711","849.41341827802","866.3460828378","848.08957514408","853.23986686029","897.3507973481","934.26756999569","956.12424807922","984.50891659086","1033.1967033532","1002.8612551449","1003.4276342626","967.22070127312","919.40680984435","853.18263138583","794.68859764961","772.71109100469","694.6010680151","637.66717586444","579.68419807934","501.18375961975","462.7416741398","408.45701537802","361.27505019393","323.5921089693","287.78787713968","261.31603436189","236.11239335342","220.15591010659","172.89449302952","167.22008405711","145.45604728666","141.70056266228","133.42855634346","124.13963636148","125.89946256694","123.29381105613","122.12962738646","124.51644392558","123.69311630166"
"Non Methane VOC","1A1a","Miscellaneous industrial/commercial combustion","MSW","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00639037894736842","0.00638156463157895","0.00676058021052632","0.00707789557894737","0.00723655326315789","0.00796814147368421","0.00880550147368421","0.00836861573894737","0.00540515512421053","0.00571155966315789","0.00612153938526316","0.00890823670072151","0.00876386539137493","0.00609429576258863","0.00597342664748094","0.00642046876194882","0.00713321088670973","0.00651266036633597","0.00776018394975087","0.00817850027909541","0.00728950275858659","0.00721109686692608","0.00898928039412533","0.00900172299430692","0.00946039619290786","0.00907566461984683","0.00907520637103447","0.010377302506509","0.010247270304867","0.00943716002600234","0.00892822023489208"
"Non Methane VOC","1A1a","Power stations","Burning oil","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.42407580662475e-06","7.42407580662475e-06","3.4224462938341e-06","2.13244730615817e-05","3.02754864454555e-06","7.50305533648246e-06","1.3163254976285e-06","6.58162748814251e-07","0.00121265653873068","0.00132599897923007","9.58054456203878e-05","7.25717210725861e-05","5.1863622509473e-05","3.83193502424219e-05","4.28171818593594e-05","3.89402238578472e-05","6.60388346758832e-05","2.9350810801797e-05","3.25995803698048e-05","6.59669616316888e-05","3.07667999015752e-05","4.03274630088742e-05","3.42713632173224e-05"
"Non Methane VOC","1A1a","Power stations","Coal","kilotonne","6.06774393227138","5.72442165139574","5.2373739295218","6.03576128903119","5.26927799132897","5.86217490348432","6.11363548915657","6.28651464180624","6.33366350161978","6.97803125240492","7.03846037439929","6.85426549539436","6.30443120853539","6.40949458448657","4.19711291916891","5.81031115768942","6.49491260218212","6.77183357215368","6.48021787420689","6.33625668890953","6.48729020317893","6.44532771794487","6.04990594697526","5.03675553101516","5.30172464638491","5.18531339707711","4.93660797142088","3.33192031140755","1.15493153786759","0.916261648069121","1.07302969101025","1.26934571924318","1.18449302808852","1.25610741849501","1.08739198270045","1.09838638983504","1.26624444238231","1.23349139860606","1.05733395039986","0.904911672406231","0.949987509681714","0.963203750232021","1.32558557182909","1.22576220849974","0.90158117712907","0.674780466284734","0.257188097249094","0.167046154055932","0.135078255925204","0.0609610621402216"
"Non Methane VOC","1A1a","Power stations","Coke","kilotonne","0.01917","0.00666","0.00243","0.0009","0.00057","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Non Methane VOC","1A1a","Power stations","Fuel oil","kilotonne","1.02587389257456","1.23590957065607","1.49929448334261","1.39095847704452","1.42327828799263","1.11378377835345","0.868842704447969","0.875737597450234","0.960544781378098","0.923484731490922","0.54607552577942","0.410935622935018","0.539697749752324","0.323542854131304","1.70588271492299","0.819544219481771","0.47272331511412","0.372645898839156","0.429040058740033","0.445869747470926","0.510623746002741","0.378159823551067","0.257790157634619","0.231282800020706","0.171685191407471","0.154967603226078","0.162903881037792","0.190340988663059","0.0611752719185767","0.046732282611203","0.0512439518000637","0.0552042465617611","0.0544209580737389","0.0487329130636633","0.063429404088673","0.0558044588989208","0.0800806612470849","0.0545971244195287","0.0868629254268511","0.0688912044273097","0.0550185351444638","0.0479655700144971","0.0361308793680203","0.0224472715095858","0.0248187401610517","0.0271462628028394","0.0292940331393353","0.0218327616293413","0.0235668415039818","0.0170825071353877"
"Non Methane VOC","1A1a","Power stations","Gas oil","kilotonne","0.08411585","0.06198465","0.141778","0.07374185","0.06284915","0.0364819","0.031122","0.06181175","0.04261985","0.04089085","0.015561","0.00821275","0.0205751","0.01115205","0.0387296","0.0183274","0.00665665","0.0058786","0.00596505","0.0044954","0.0044832370629687","0.005118014439392","0.003804214492","0.005333643421376","0.00566753880208","0.002880346030656","0.004146050435584","0.0123727749048037","0.00954701912495714","0.0181356486507858","0.0245848358213262","0.0174372748013661","0.0159686579259825","0.0057027059379191","0.0148520772830666","0.00997369600748769","0.0122396444497719","0.0028613221764034","0.00371065517076225","0.00332857403959618","0.00370663060972662","0.00275416445080345","0.00745277433750743","0.00880916781762155","0.00780185066848193","0.00796748460448336","0.00410647067043187","0.00369734333134494","0.00508233473701872","0.00798885751235054"
"Non Methane VOC","1A1a","Power stations","LPG","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0.0451926079338242","0.09339805639657","0.0834987232301133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Non Methane VOC","1A1a","Power stations","Natural gas","kilotonne","0.0305943149544377","0.134105080550285","0.321240307021596","0.145322996033579","0.502256670502019","0.437498703848459","0.326339359514002","0.223338499167395","0.129006028057879","0.0820947451277411","0.0280447887082345","0","0","0","0.0504806196748222","0.0642480614043191","0.000560895774164691","0.000611886299088754","0.000866838923709068","0.000968819973557193","0.00153140152957665","0.00351526260198275","0.0479191683972296","0.8761189791937","1.39796651369956","1.86015121178924","2.60716467249008","1.77437250759129","2.26378898516906","2.03285217531778","3.6200036336414","2.39772074009533","4.65262688144953","2.86419537224755","2.87613975595067","2.26433747307675","2.67882579552591","1.14360441091383","1.36351156890183","1.22201112547176","1.22979364159867","0.919359984458697","0.59544962881718","0.56014971373011","0.67912557014692","0.787379274818882","0.881819983439079","0.876726880461309","0.87007265238697","0.814736132875135"
"Non Methane VOC","1A1a","Power stations","Landfill gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00539604137949823","0.00739669730332965","0.00739700544437073","0.0110630651602211","0.0200497779150049","0.0237807236435252","0.0274954478688781","0.0298962303376651","0.0376501088517203","0.0488429460372813","0.063069204315161","0.0905808736872065","0.11639739597825","0.133379687644285","0.142509149626942","0.174303295835203","0.213011046693443","0.228265748272141","0.235393476763931","0.248818392785337","0.249835481033938","0.261625269536063","0.277551541345894","0.282932213946547","0.277105450008788","0.275304863157198","0.267781329988121","0.259213497489656","0.250205408077405","0.227908861270449","0.208330203819708","0.192823772397909"
