sector,wday,hour,coeff,coeff_l,coeff_u
1,1,0,0.985591842913296,0.984700243797365,0.986483442029227
1,2,0,0.999127283775355,0.998447641104268,0.999806926446441
1,3,0,0.998654462224742,0.997925656702769,0.999383267746715
1,4,0,0.999999281864079,0.999670221881584,1.00032834184657
1,5,0,0.994336909103511,0.993546990132064,0.995126828074958
1,6,0,0.999649901725296,0.999042224353794,1.0002575790968
1,7,0,0.995514154417696,0.99466255918167,0.996365749653722
1,1,1,0.977955411202741,0.977140815678204,0.978770006727278
1,2,1,0.998483484491764,0.997815793004181,0.999151175979348
1,3,1,0.997666088569362,0.996957595364643,0.99837458177408
1,4,1,0.999998876357944,0.999669827403252,1.00032792531264
1,5,1,0.993541227976882,0.99278749498303,0.994294960970735
1,6,1,0.999368063965274,0.998765302247253,0.999970825683295
1,7,1,0.991764728200678,0.990972154248318,0.992557302153037
1,1,2,0.972786525706606,0.971787930167592,0.973785121245619
1,2,2,0.997959136220178,0.997245845673785,0.998672426766571
1,3,2,0.996910406011905,0.996133890540502,0.997686921483308
1,4,2,0.999998552749224,0.999669466791717,1.00032763870673
1,5,2,0.993306728426744,0.992448511911708,0.994164944941779
1,6,2,0.999127945697595,0.998502235251048,0.999753656144143
1,7,2,0.988721845204767,0.987778933759125,0.98966475665041
1,1,3,0.970879107049555,0.96986141717208,0.97189679692703
1,2,3,0.997620698722402,0.996885971211109,0.998355426233695
1,3,3,0.996447143204256,0.995646134429642,0.99724815197887
1,4,3,0.999998336975281,0.999669210498966,1.0003274634516
1,5,3,0.993745176409625,0.992861511519154,0.994628841300096
1,6,3,0.99894818261196,0.998307559424327,0.999588805799593
1,7,3,0.98669147394096,0.985725826108068,0.987657121773852
1,1,4,0.972406244513061,0.971507647768596,0.973304841257526
1,2,4,0.997498092701939,0.99677837673449,0.998217808669389
1,3,4,0.996301475989612,0.995531310350484,0.99707164162874
1,4,4,0.999998245643861,0.999669090278691,1.00032740100903
1,5,4,0.994847135381556,0.994021972470909,0.995672298292204
1,6,4,0.998843721688903,0.998204905636774,0.999482537741033
1,7,4,0.985833324937047,0.98496143233063,0.986705217543464
1,1,5,0.976823281096199,0.975754083393897,0.977892478798502
1,2,5,0.997578995870622,0.996829137935188,0.998328853806056
1,3,5,0.996458633532817,0.99564133277518,0.997275934290454
1,4,5,0.9999982845767,0.999669060276322,1.00032750887708
1,5,5,0.996463045969556,0.995556941626575,0.997369150312537
1,6,5,0.998825245373478,0.99817005981772,0.999480430929235
1,7,5,0.986138019120457,0.985135293328753,0.98714074491216
1,1,6,0.983460624494719,0.982530463672029,0.984390785317409
1,2,6,0.997846124392823,0.997120367281279,0.998571881504366
1,3,6,0.996893190725179,0.996115058425175,0.997671323025183
1,4,6,0.999998455887917,0.99966920338807,1.00032770838776
1,5,6,0.99842574614416,0.997586186475039,0.999265305813281
1,6,6,0.998899907096025,0.99825436884345,0.9995454453486
1,7,6,0.987557741059707,0.986661455280076,0.988454026839339
1,1,7,0.991173305641143,0.99019611816834,0.992150493113945
1,2,7,0.998267598379102,0.997534315273371,0.999000881484833
1,3,7,0.997532555829953,0.996741940831256,0.99832317082865
1,4,7,0.999998744306965,0.999669443202851,1.00032804541108
1,5,7,1.00051325142704,0.999652236329024,1.00137426652505
1,6,7,0.999056442239338,0.998407365602489,0.999705518876187
1,7,7,0.989882302707747,0.988951092718401,0.990813512697093
1,1,8,0.998657375567536,0.997613555214973,0.999701195920099
1,2,8,0.99880642022045,0.998061311836877,0.999551528604022
1,3,8,0.998288052461353,0.997478252089105,0.999097852833603
1,4,8,0.999999128430831,0.999669781180416,1.00032847568125
1,5,8,1.00248541554239,1.00159185157766,1.00337897950712
1,6,8,0.999277205008421,0.998622920426532,0.99993148959031
1,7,8,0.992845575502692,0.99186275351723,0.993828397488153
1,1,9,1.0049856375242,1.00409078867567,1.00588048637272
1,2,9,0.99942297785268,0.998703111100883,1.00014284460448
1,3,9,0.999089740483292,0.998321187217121,0.999858293749464
1,4,9,0.999999581523171,0.999670223641164,1.00032893940518
1,5,9,1.00415588688736,1.00333327063803,1.00497850313668
1,6,9,0.999545847912938,0.998902850201672,1.0001888456242
1,7,9,0.996211815048243,0.995342907548111,0.997080722548376
1,1,10,1.00981511788432,1.00875534655802,1.01087488921063
1,2,10,1.00007361470273,0.999325590383222,1.00082163902223
1,3,10,0.999896746464435,0.999082347405426,1.00071114552344
1,4,10,1.00000006859037,0.99967066917866,1.00032946800209
1,5,10,1.00542172526176,1.0045204589819,1.00632299154161
1,6,10,0.999848045799154,0.999192571422506,1.0005035201758
1,7,10,0.999792460250334,0.998797495392144,1.00078742510852
1,1,11,1.01294809215995,1.01199481599951,1.0139013683204
1,2,11,1.0007144529254,0.999985068847453,1.00144383700335
1,3,11,1.0006744579428,0.999890316024044,1.00145859986156
1,4,11,1.00000055395716,0.999671158274336,1.00032994963998
1,5,11,1.00619761446556,1.00534790434259,1.00704732458854
1,6,11,1.0001690549063,0.999521921424028,1.00081618838857
1,7,11,1.00339648005288,1.00248343990978,1.00430952019598
1,1,12,1.01494124398081,1.01398796782036,1.01589452014125
1,2,12,1.00130262043203,1.00057323635408,1.00203200450998
1,3,12,1.00141812804023,1.00063398612147,1.00220226995898
1,4,12,1.00000100217567,0.999671606492849,1.0003303978585
1,5,12,1.00648121964378,1.00563150952081,1.00733092976676
1,6,12,1.00048942545407,0.999842291971793,1.00113655893634
1,7,12,1.00678099415879,1.00586795401568,1.00769403430189
1,1,13,1.01670812272706,1.01564835140075,1.01776789405337
1,2,13,1.0017957681209,1.0010477438014,1.00254379244041
1,3,13,1.00213707516783,1.00132267610882,1.00295147422684
1,4,13,1.00000137794077,0.999671978529054,1.00033077735248
1,5,13,1.00630989968855,1.0054086334087,1.0072111659684
1,6,13,1.00078744545019,1.00013197107354,1.00144291982684
1,7,13,1.00967865891571,1.00868369405752,1.0106736237739
1,1,14,1.01869514135702,1.0178002925085,1.01958999020555
1,2,14,1.00215859198015,1.00143872522836,1.00287845873195
1,3,14,1.00281200099569,1.00204344772952,1.00358055426186
1,4,14,1.00000165151156,0.99967229362955,1.00033100939356
1,5,14,1.00574110700451,1.00491849075518,1.00656372325383
1,6,14,1.00103845953708,1.00039546182582,1.00168145724835
1,7,14,1.01186453831657,1.01099563081643,1.0127334458167
1,1,15,1.02036448274578,1.01932066239322,1.02140830309835
1,2,15,1.00237055534105,1.00162544695748,1.00311566372463
1,3,15,1.0033634140243,1.00255361365205,1.00417321439655
1,4,15,1.00000180481399,0.999672457563579,1.00033115206441
