Profile_ID,hour,wday,N
AVIA_GEN,0,1,11
AVIA_GEN,1,1,8
AVIA_GEN,2,1,
AVIA_GEN,3,1,4
AVIA_GEN,4,1,16
AVIA_GEN,5,1,55
AVIA_GEN,6,1,57
AVIA_GEN,7,1,57
AVIA_GEN,8,1,52
AVIA_GEN,9,1,49
AVIA_GEN,10,1,60
AVIA_GEN,11,1,60
AVIA_GEN,12,1,56
AVIA_GEN,13,1,56
AVIA_GEN,14,1,53
AVIA_GEN,15,1,57
AVIA_GEN,16,1,60
AVIA_GEN,17,1,55
AVIA_GEN,18,1,54
AVIA_GEN,19,1,45
AVIA_GEN,20,1,45
AVIA_GEN,21,1,41
AVIA_GEN,22,1,28
AVIA_GEN,23,1,13
AVIA_GEN,0,1,4
AVIA_GEN,1,1,2
AVIA_GEN,2,1,1
AVIA_GEN,3,1,2
AVIA_GEN,4,1,
AVIA_GEN,5,1,6
AVIA_GEN,6,1,33
AVIA_GEN,7,1,49
AVIA_GEN,8,1,53
AVIA_GEN,9,1,46
AVIA_GEN,10,1,44
AVIA_GEN,11,1,47
AVIA_GEN,12,1,47
AVIA_GEN,13,1,47
AVIA_GEN,14,1,42
AVIA_GEN,15,1,39
AVIA_GEN,16,1,44
AVIA_GEN,17,1,43
AVIA_GEN,18,1,45
AVIA_GEN,19,1,46
AVIA_GEN,20,1,41
AVIA_GEN,21,1,38
AVIA_GEN,22,1,28
AVIA_GEN,23,1,10
AVIA_GEN,0,1,8
AVIA_GEN,1,1,3
AVIA_GEN,2,1,
AVIA_GEN,3,1,
AVIA_GEN,4,1,6
AVIA_GEN,5,1,29
AVIA_GEN,6,1,46
AVIA_GEN,7,1,47
AVIA_GEN,8,1,27
AVIA_GEN,9,1,14
AVIA_GEN,10,1,28
AVIA_GEN,11,1,37
AVIA_GEN,12,1,41
AVIA_GEN,13,1,28
AVIA_GEN,14,1,33
AVIA_GEN,15,1,40
AVIA_GEN,16,1,31
AVIA_GEN,17,1,48
AVIA_GEN,18,1,43
AVIA_GEN,19,1,26
AVIA_GEN,20,1,12
AVIA_GEN,21,1,27
AVIA_GEN,22,1,27
AVIA_GEN,23,1,10
AVIA_GEN,0,1,2
AVIA_GEN,1,1,1
AVIA_GEN,2,1,
AVIA_GEN,3,1,
AVIA_GEN,4,1,
AVIA_GEN,5,1,1
AVIA_GEN,6,1,23
AVIA_GEN,7,1,37
AVIA_GEN,8,1,41
AVIA_GEN,9,1,25
AVIA_GEN,10,1,13
AVIA_GEN,11,1,23
AVIA_GEN,12,1,35
AVIA_GEN,13,1,30
AVIA_GEN,14,1,16
AVIA_GEN,15,1,20
AVIA_GEN,16,1,24
AVIA_GEN,17,1,29
AVIA_GEN,18,1,31
AVIA_GEN,19,1,38
AVIA_GEN,20,1,27
AVIA_GEN,21,1,8
AVIA_GEN,22,1,19
AVIA_GEN,23,1,26
AVIA_GEN,0,1,3
AVIA_GEN,1,1,1
AVIA_GEN,2,1,
AVIA_GEN,3,1,1
AVIA_GEN,4,1,2
AVIA_GEN,5,1,26
AVIA_GEN,6,1,26
AVIA_GEN,7,1,25
AVIA_GEN,8,1,22
AVIA_GEN,9,1,28
AVIA_GEN,10,1,21
AVIA_GEN,11,1,26
AVIA_GEN,12,1,25
AVIA_GEN,13,1,27
AVIA_GEN,14,1,31
AVIA_GEN,15,1,23
AVIA_GEN,16,1,26
AVIA_GEN,17,1,24
AVIA_GEN,18,1,24
AVIA_GEN,19,1,19
AVIA_GEN,20,1,18
AVIA_GEN,21,1,17
AVIA_GEN,22,1,12
AVIA_GEN,23,1,1
AVIA_GEN,0,1,
AVIA_GEN,1,1,
AVIA_GEN,2,1,
AVIA_GEN,3,1,
AVIA_GEN,4,1,1
AVIA_GEN,5,1,2
AVIA_GEN,6,1,21
AVIA_GEN,7,1,19
AVIA_GEN,8,1,23
AVIA_GEN,9,1,21
AVIA_GEN,10,1,24
AVIA_GEN,11,1,22
AVIA_GEN,12,1,18
AVIA_GEN,13,1,22
AVIA_GEN,14,1,19
AVIA_GEN,15,1,23
AVIA_GEN,16,1,23
AVIA_GEN,17,1,24
AVIA_GEN,18,1,25
AVIA_GEN,19,1,20
AVIA_GEN,20,1,16
AVIA_GEN,21,1,14
AVIA_GEN,22,1,16
AVIA_GEN,23,1,5
AVIA_GEN,0,1,4
AVIA_GEN,1,1,
AVIA_GEN,2,1,
AVIA_GEN,3,1,1
AVIA_GEN,4,1,1
AVIA_GEN,5,1,16
AVIA_GEN,6,1,13
AVIA_GEN,7,1,10
AVIA_GEN,8,1,6
AVIA_GEN,9,1,10
AVIA_GEN,10,1,6
AVIA_GEN,11,1,17
AVIA_GEN,12,1,9
AVIA_GEN,13,1,11
AVIA_GEN,14,1,14
AVIA_GEN,15,1,16
AVIA_GEN,16,1,20
AVIA_GEN,17,1,8
AVIA_GEN,18,1,15
AVIA_GEN,19,1,9
AVIA_GEN,20,1,2
AVIA_GEN,21,1,7
AVIA_GEN,22,1,9
AVIA_GEN,23,1,2
AVIA_GEN,0,1,
AVIA_GEN,1,1,
AVIA_GEN,2,1,
AVIA_GEN,3,1,
AVIA_GEN,4,1,
AVIA_GEN,5,1,
AVIA_GEN,6,1,
AVIA_GEN,7,1,
AVIA_GEN,8,1,
AVIA_GEN,9,1,
AVIA_GEN,10,1,
AVIA_GEN,11,1,
AVIA_GEN,12,1,
AVIA_GEN,13,1,
AVIA_GEN,14,1,
AVIA_GEN,15,1,
AVIA_GEN,16,1,
AVIA_GEN,17,1,
AVIA_GEN,18,1,
AVIA_GEN,19,1,
AVIA_GEN,20,1,
AVIA_GEN,21,1,
AVIA_GEN,22,1,
AVIA_GEN,23,1,
AVIA_GEN,0,1,5
AVIA_GEN,1,1,1
AVIA_GEN,2,1,1
AVIA_GEN,3,1,
AVIA_GEN,4,1,
AVIA_GEN,5,1,4
AVIA_GEN,6,1,15
AVIA_GEN,7,1,29
AVIA_GEN,8,1,26
AVIA_GEN,9,1,12
AVIA_GEN,10,1,17
AVIA_GEN,11,1,14
AVIA_GEN,12,1,15
AVIA_GEN,13,1,15
AVIA_GEN,14,1,22
AVIA_GEN,15,1,13
AVIA_GEN,16,1,14
AVIA_GEN,17,1,20
AVIA_GEN,18,1,16
AVIA_GEN,19,1,11
AVIA_GEN,20,1,14
AVIA_GEN,21,1,26
AVIA_GEN,22,1,12
