Profile_ID,hour,wday,N
SOLV_IND,0,1,0.020833333
SOLV_IND,0,2,0.020833333
SOLV_IND,0,3,0.020833333
SOLV_IND,0,4,0.020833333
SOLV_IND,0,5,0.020833333
SOLV_IND,0,6,0.03125
SOLV_IND,0,7,0.036458333
SOLV_IND,1,1,0.014583333
SOLV_IND,1,2,0.014583333
SOLV_IND,1,3,0.014583333
SOLV_IND,1,4,0.014583333
SOLV_IND,1,5,0.014583333
SOLV_IND,1,6,0.028125
SOLV_IND,1,7,0.034895833
SOLV_IND,2,1,0.008333333
SOLV_IND,2,2,0.008333333
SOLV_IND,2,3,0.008333333
SOLV_IND,2,4,0.008333333
SOLV_IND,2,5,0.008333333
SOLV_IND,2,6,0.025
SOLV_IND,2,7,0.033333333
SOLV_IND,3,1,0.004166667
SOLV_IND,3,2,0.004166667
SOLV_IND,3,3,0.004166667
SOLV_IND,3,4,0.004166667
SOLV_IND,3,5,0.004166667
SOLV_IND,3,6,0.022916667
SOLV_IND,3,7,0.032291667
SOLV_IND,4,1,0.004166667
SOLV_IND,4,2,0.004166667
SOLV_IND,4,3,0.004166667
SOLV_IND,4,4,0.004166667
SOLV_IND,4,5,0.004166667
SOLV_IND,4,6,0.022916667
SOLV_IND,4,7,0.032291667
SOLV_IND,5,1,0.008333333
SOLV_IND,5,2,0.008333333
SOLV_IND,5,3,0.008333333
SOLV_IND,5,4,0.008333333
SOLV_IND,5,5,0.008333333
SOLV_IND,5,6,0.025
SOLV_IND,5,7,0.033333333
SOLV_IND,6,1,0.03125
SOLV_IND,6,2,0.03125
SOLV_IND,6,3,0.03125
SOLV_IND,6,4,0.03125
SOLV_IND,6,5,0.03125
SOLV_IND,6,6,0.036458333
SOLV_IND,6,7,0.0390625
SOLV_IND,7,1,0.052083333
SOLV_IND,7,2,0.052083333
SOLV_IND,7,3,0.052083333
SOLV_IND,7,4,0.052083333
SOLV_IND,7,5,0.052083333
SOLV_IND,7,6,0.046875
SOLV_IND,7,7,0.044270833
SOLV_IND,8,1,0.058333333
SOLV_IND,8,2,0.058333333
SOLV_IND,8,3,0.058333333
SOLV_IND,8,4,0.058333333
SOLV_IND,8,5,0.058333333
SOLV_IND,8,6,0.05
SOLV_IND,8,7,0.045833333
SOLV_IND,9,1,0.0625
SOLV_IND,9,2,0.0625
SOLV_IND,9,3,0.0625
SOLV_IND,9,4,0.0625
SOLV_IND,9,5,0.0625
SOLV_IND,9,6,0.052083333
SOLV_IND,9,7,0.046875
SOLV_IND,10,1,0.0625
SOLV_IND,10,2,0.0625
SOLV_IND,10,3,0.0625
SOLV_IND,10,4,0.0625
SOLV_IND,10,5,0.0625
SOLV_IND,10,6,0.052083333
SOLV_IND,10,7,0.046875
SOLV_IND,11,1,0.0625
SOLV_IND,11,2,0.0625
SOLV_IND,11,3,0.0625
SOLV_IND,11,4,0.0625
SOLV_IND,11,5,0.0625
SOLV_IND,11,6,0.052083333
SOLV_IND,11,7,0.046875
SOLV_IND,12,1,0.0625
SOLV_IND,12,2,0.0625
SOLV_IND,12,3,0.0625
SOLV_IND,12,4,0.0625
SOLV_IND,12,5,0.0625
SOLV_IND,12,6,0.052083333
SOLV_IND,12,7,0.046875
SOLV_IND,13,1,0.0625
SOLV_IND,13,2,0.0625
SOLV_IND,13,3,0.0625
SOLV_IND,13,4,0.0625
SOLV_IND,13,5,0.0625
SOLV_IND,13,6,0.052083333
SOLV_IND,13,7,0.046875
SOLV_IND,14,1,0.0625
SOLV_IND,14,2,0.0625
SOLV_IND,14,3,0.0625
SOLV_IND,14,4,0.0625
SOLV_IND,14,5,0.0625
SOLV_IND,14,6,0.052083333
SOLV_IND,14,7,0.046875
SOLV_IND,15,1,0.0625
SOLV_IND,15,2,0.0625
SOLV_IND,15,3,0.0625
SOLV_IND,15,4,0.0625
SOLV_IND,15,5,0.0625
SOLV_IND,15,6,0.052083333
SOLV_IND,15,7,0.046875
SOLV_IND,16,1,0.0625
SOLV_IND,16,2,0.0625
SOLV_IND,16,3,0.0625
SOLV_IND,16,4,0.0625
SOLV_IND,16,5,0.0625
SOLV_IND,16,6,0.052083333
