Pollutant,sector,wday,hour,coeff,coeff_l,coeff_u
NH3,1,1,0,0.999380308369138,0.998219229440869,1.00054138729741
NH3,1,2,0,0.999374457524617,0.998321564157023,1.00042735089221
NH3,1,3,0,0.999368459560417,0.998318341175875,1.00041857794496
NH3,1,4,0,0.999361825133041,0.998309364053874,1.00041428621221
NH3,1,5,0,0.999354385846066,0.998280865846595,1.00042790584554
NH3,1,6,0,0.999346447799149,0.998246409344955,1.00044648625334
NH3,1,7,0,0.999338280319901,0.998098455964173,1.00057810467563
NH3,1,1,1,0.989238123922823,0.988138145129279,0.990338102716366
NH3,1,2,1,0.989136515218528,0.988152740609522,0.990120289827534
NH3,1,3,1,0.989032351559985,0.988052931243882,0.990011771876088
NH3,1,4,1,0.988917134762301,0.987936747404827,0.989897522119775
NH3,1,5,1,0.988787940368599,0.987786693925625,0.989789186811573
NH3,1,6,1,0.988650084259264,0.987622259473323,0.989677909045206
NH3,1,7,1,0.988508243712851,0.987333663358479,0.989682824067223
NH3,1,1,2,0.982131487118443,0.98088356787121,0.983379406365676
NH3,1,2,2,0.981962780804735,0.980813106255765,0.983112455353705
NH3,1,3,2,0.981789832365159,0.980640909732126,0.982938754998192
NH3,1,4,2,0.981598531813209,0.980445475916478,0.982751587709939
NH3,1,5,2,0.981384023518228,0.980209497443301,0.982558549593156
NH3,1,6,2,0.981155133717995,0.979953980540855,0.982356286895135
NH3,1,7,2,0.980919628345833,0.979587074081836,0.982252182609829
NH3,1,1,3,0.980846415911428,0.979583848941269,0.982108982881588
NH3,1,2,3,0.980665576544028,0.979499719717918,0.981831433370138
NH3,1,3,3,0.980480189964721,0.979314764806568,0.981645615122873
NH3,1,4,3,0.98027513142223,0.979105286502566,0.981444976341895
NH3,1,5,3,0.980045196077704,0.978853799723179,0.981236592432228
NH3,1,6,3,0.979799844936014,0.978581784892825,0.981017904979204
NH3,1,7,3,0.979547402442399,0.978199207033603,0.980895597851194
NH3,1,1,4,0.984847950261788,0.983683776370424,0.986012124153152
NH3,1,2,4,0.984704891548765,0.983648521561415,0.985761261536116
NH3,1,3,4,0.984558235619647,0.983504564405172,0.985611906834122
NH3,1,4,4,0.984396017560578,0.98333993678989,0.985452098331266
NH3,1,5,4,0.984214119918824,0.983136967915531,0.985291271922118
NH3,1,6,4,0.984020027122144,0.982916356376646,0.985123697867642
NH3,1,7,4,0.983820324486772,0.982577195264741,0.985063453708803
NH3,1,1,5,0.989761730530507,0.988454334765762,0.991069126295251
NH3,1,2,5,0.989665065479956,0.988449904490996,0.990880226468917
NH3,1,3,5,0.989565969783496,0.988350292223417,0.990781647343575
NH3,1,4,5,0.989456358725569,0.988235408078223,0.990677309372914
NH3,1,5,5,0.989333450135357,0.988090681517206,0.990576218753508
NH3,1,6,5,0.98920230125525,0.987932729371681,0.990471873138818
NH3,1,7,5,0.989067361796231,0.987671297263286,0.990463426329175
NH3,1,1,6,0.991838105839048,0.990648287771541,0.993027923906556
NH3,1,2,6,0.991761044973049,0.990675950960745,0.992846138985353
NH3,1,3,6,0.991682046409012,0.990599032215025,0.992765060602999
