Pollutant,sector,wday,hour,coeff,coeff_l,coeff_u
NOx,1,1,0,0.93312850167468,0.931236722165195,0.935020281184164
NOx,1,2,0,0.933447096381353,0.931598914802999,0.935295277959707
NOx,1,3,0,0.932881561348105,0.931106580309926,0.934656542386285
NOx,1,4,0,0.932844397118512,0.931122815485847,0.934565978751178
NOx,1,5,0,0.931592607611708,0.92978353954041,0.933401675683007
NOx,1,6,0,0.928509313102861,0.926524008730504,0.930494617475218
NOx,1,7,0,0.927122265309335,0.925060570736339,0.929183959882331
NOx,1,1,1,0.91329388947698,0.911497604508993,0.915090174444968
NOx,1,2,1,0.913706981878686,0.911955715767649,0.915458247989723
NOx,1,3,1,0.912973704707912,0.91130165155349,0.914645757862334
NOx,1,4,1,0.912925517275609,0.911310384350578,0.91454065020064
NOx,1,5,1,0.911302437158568,0.909598273615344,0.913006600701791
NOx,1,6,1,0.907304613255199,0.905423414833938,0.909185811676459
NOx,1,7,1,0.905506156180092,0.903548533237519,0.907463779122664
NOx,1,1,2,0.905905548808062,0.903878755272218,0.907932342343907
NOx,1,2,2,0.906353841351639,0.904368946322889,0.90833873638039
NOx,1,3,2,0.905558080677572,0.903638827014248,0.907477334340897
NOx,1,4,2,0.905505787131367,0.903635650598864,0.90737592366387
NOx,1,5,2,0.903744402242433,0.901788290910334,0.905700513574531
NOx,1,6,2,0.899405918554485,0.897273757502021,0.901538079606949
NOx,1,7,2,0.897454212608345,0.895245377375441,0.899663047841248
NOx,1,1,3,0.903778459840227,0.901729800225244,0.905827119455209
NOx,1,2,3,0.904236886436468,0.902229879872262,0.906243893000674
NOx,1,3,3,0.90342313688283,0.901480636387361,0.905365637378299
NOx,1,4,3,0.903369661194385,0.901475648616372,0.905263673772399
NOx,1,5,3,0.901568458629511,0.899588654029211,0.903548263229811
NOx,1,6,3,0.897131899649419,0.894975986532475,0.899287812766363
NOx,1,7,3,0.895136073650141,0.892903408379717,0.897368738920566
NOx,1,1,4,0.906890430095685,0.904995737448685,0.908785122742685
NOx,1,2,4,0.907334030386616,0.905482895381798,0.909185165391435
NOx,1,3,4,0.906546598894423,0.904768490400414,0.908324707388432
NOx,1,4,4,0.906494852701802,0.904770043217329,0.908219662186276
NOx,1,5,4,0.90475190412867,0.902939648541357,0.906564159715984
NOx,1,6,4,0.900458831103591,0.898470354180148,0.902447308027034
NOx,1,7,4,0.898527553552972,0.896462684191489,0.900592422914455
NOx,1,1,5,0.923500248329616,0.921380432338719,0.925620064320514
NOx,1,2,5,0.92386471475484,0.921785804127489,0.925943625382191
NOx,1,3,5,0.92321775318395,0.921199804601338,0.925235701766562
NOx,1,4,5,0.923175237995775,0.921203836729808,0.925146639261741
NOx,1,5,5,0.921743214057141,0.919686512451997,0.923799915662285
NOx,1,6,5,0.918215982423928,0.915982830440076,0.92044913440778
