Profile_ID,month,N
AGRI_GRZ_PIG,11,0.083333333
AGRI_GRZ_PIG,12,0.083333333
AGRI_GRZ_POU,1,0.083333333
AGRI_GRZ_POU,2,0.083333333
AGRI_GRZ_POU,3,0.083333333
AGRI_GRZ_POU,4,0.083333333
AGRI_GRZ_POU,5,0.083333333
AGRI_GRZ_POU,6,0.083333333
AGRI_GRZ_POU,7,0.083333333
AGRI_GRZ_POU,8,0.083333333
AGRI_GRZ_POU,9,0.083333333
AGRI_GRZ_POU,10,0.083333333
AGRI_GRZ_POU,11,0.083333333
AGRI_GRZ_POU,12,0.083333333
AGRI_GRZ_SHP,1,0.090909091
AGRI_GRZ_SHP,2,0.090909091
AGRI_GRZ_SHP,3,0.045454545
AGRI_GRZ_SHP,4,0.045454545
AGRI_GRZ_SHP,5,0.090909091
AGRI_GRZ_SHP,6,0.090909091
AGRI_GRZ_SHP,7,0.090909091
AGRI_GRZ_SHP,8,0.090909091
AGRI_GRZ_SHP,9,0.090909091
AGRI_GRZ_SHP,10,0.090909091
AGRI_GRZ_SHP,11,0.090909091
AGRI_GRZ_SHP,12,0.090909091
AGRI_HOU_CAT,1,0.181818182
AGRI_HOU_CAT,2,0.181818182
AGRI_HOU_CAT,3,0.045454545
AGRI_HOU_CAT,4,0
AGRI_HOU_CAT,5,0
AGRI_HOU_CAT,6,0
AGRI_HOU_CAT,7,0
AGRI_HOU_CAT,8,0
AGRI_HOU_CAT,9,0.045454545
AGRI_HOU_CAT,10,0.181818182
AGRI_HOU_CAT,11,0.181818182
AGRI_HOU_CAT,12,0.181818182
AGRI_HOU_MLI,1,0.083333333
AGRI_HOU_MLI,2,0.083333333
AGRI_HOU_MLI,3,0.083333333
AGRI_HOU_MLI,4,0.083333333
AGRI_HOU_MLI,5,0.083333333
AGRI_HOU_MLI,6,0.083333333
AGRI_HOU_MLI,7,0.083333333
AGRI_HOU_MLI,8,0.083333333
AGRI_HOU_MLI,9,0.083333333
AGRI_HOU_MLI,10,0.083333333
AGRI_HOU_MLI,11,0.083333333
AGRI_HOU_MLI,12,0.083333333
AGRI_HOU_PIG,1,0.083333333
AGRI_HOU_PIG,2,0.083333333
AGRI_HOU_PIG,3,0.083333333
AGRI_HOU_PIG,4,0.083333333
AGRI_HOU_PIG,5,0.083333333
AGRI_HOU_PIG,6,0.083333333
AGRI_HOU_PIG,7,0.083333333
AGRI_HOU_PIG,8,0.083333333
AGRI_HOU_PIG,9,0.083333333
AGRI_HOU_PIG,10,0.083333333
AGRI_HOU_PIG,11,0.083333333
AGRI_HOU_PIG,12,0.083333333
AGRI_HOU_POU,1,0.083333333
AGRI_HOU_POU,2,0.083333333
AGRI_HOU_POU,3,0.083333333
AGRI_HOU_POU,4,0.083333333
AGRI_HOU_POU,5,0.083333333
