Profile_ID,month,N
ROAD_BUS_MOT,1,0.07045071
ROAD_BUS_MOT,2,0.07686858
ROAD_BUS_MOT,3,0.081577796
ROAD_BUS_MOT,4,0.082723844
ROAD_BUS_MOT,5,0.085724407
ROAD_BUS_MOT,6,0.092017253
ROAD_BUS_MOT,7,0.094601071
ROAD_BUS_MOT,8,0.087870642
ROAD_BUS_MOT,9,0.088016503
ROAD_BUS_MOT,10,0.085995291
ROAD_BUS_MOT,11,0.083015565
ROAD_BUS_MOT,12,0.071138338
ROAD_BUS_RUR,1,0.076921475
ROAD_BUS_RUR,2,0.080920642
ROAD_BUS_RUR,3,0.083836701
ROAD_BUS_RUR,4,0.080712352
ROAD_BUS_RUR,5,0.085169756
ROAD_BUS_RUR,6,0.091960008
ROAD_BUS_RUR,7,0.088544053
ROAD_BUS_RUR,8,0.080024995
ROAD_BUS_RUR,9,0.08860654
ROAD_BUS_RUR,10,0.085211414
ROAD_BUS_RUR,11,0.085523849
ROAD_BUS_RUR,12,0.072568215
ROAD_BUS_URB,1,0.080151638
ROAD_BUS_URB,2,0.082463705
ROAD_BUS_URB,3,0.083859276
ROAD_BUS_URB,4,0.081380574
ROAD_BUS_URB,5,0.082859464
ROAD_BUS_URB,6,0.086525443
ROAD_BUS_URB,7,0.084213377
ROAD_BUS_URB,8,0.079255973
ROAD_BUS_URB,9,0.085942219
ROAD_BUS_URB,10,0.086567102
ROAD_BUS_URB,11,0.087671062
ROAD_BUS_URB,12,0.079110167
ROAD_CAT_ALL,1,0.074455545
ROAD_CAT_ALL,2,0.07843254
ROAD_CAT_ALL,3,0.081552219
ROAD_CAT_ALL,4,0.083707417
ROAD_CAT_ALL,5,0.085005299
ROAD_CAT_ALL,6,0.086279366
ROAD_CAT_ALL,7,0.087386733
ROAD_CAT_ALL,8,0.087708227
ROAD_CAT_ALL,9,0.086993796
ROAD_CAT_ALL,10,0.085553029
ROAD_CAT_ALL,11,0.08314778
ROAD_CAT_ALL,12,0.07977805
ROAD_CAT_MOT,1,0.072470672
ROAD_CAT_MOT,2,0.07775859
ROAD_CAT_MOT,3,0.080426368
ROAD_CAT_MOT,4,0.083761091
ROAD_CAT_MOT,5,0.084463765
ROAD_CAT_MOT,6,0.08639314
ROAD_CAT_MOT,7,0.08857262
ROAD_CAT_MOT,8,0.09114512
ROAD_CAT_MOT,9,0.088012863
ROAD_CAT_MOT,10,0.086357411
ROAD_CAT_MOT,11,0.081986542
ROAD_CAT_MOT,12,0.078651819
ROAD_CAT_RUR,1,0.073730469
ROAD_CAT_RUR,2,0.077350896
ROAD_CAT_RUR,3,0.081566787
ROAD_CAT_RUR,4,0.084115377
ROAD_CAT_RUR,5,0.085961319
ROAD_CAT_RUR,6,0.087330888
ROAD_CAT_RUR,7,0.088188357
ROAD_CAT_RUR,8,0.088664729
ROAD_CAT_RUR,9,0.087211795
ROAD_CAT_RUR,10,0.084984756
ROAD_CAT_RUR,11,0.08271008
ROAD_CAT_RUR,12,0.078184546
ROAD_CAT_URB,1,0.078068995
ROAD_CAT_URB,2,0.080188623
ROAD_CAT_URB,3,0.083630042
ROAD_CAT_URB,4,0.082808388
ROAD_CAT_URB,5,0.084439787
ROAD_CAT_URB,6,0.08496374
ROAD_CAT_URB,7,0.084594591
ROAD_CAT_URB,8,0.081736666
ROAD_CAT_URB,9,0.085249533
ROAD_CAT_URB,10,0.085332889
ROAD_CAT_URB,11,0.08592829
ROAD_CAT_URB,12,0.083058456
ROAD_CYC_ALL,1,0.051289004
ROAD_CYC_ALL,2,0.058380611
ROAD_CYC_ALL,3,0.072396963
ROAD_CYC_ALL,4,0.090021692
ROAD_CYC_ALL,5,0.106123811
ROAD_CYC_ALL,6,0.11131737
ROAD_CYC_ALL,7,0.112631403
ROAD_CYC_ALL,8,0.103620891
ROAD_CYC_ALL,9,0.099803938
ROAD_CYC_ALL,10,0.079718004
ROAD_CYC_ALL,11,0.063031871
ROAD_CYC_ALL,12,0.051664442
ROAD_CYC_MOT,1,0.052050967
ROAD_CYC_MOT,2,0.060392468
ROAD_CYC_MOT,3,0.073863992
ROAD_CYC_MOT,4,0.088649302
ROAD_CYC_MOT,5,0.105374012
ROAD_CYC_MOT,6,0.113381853
ROAD_CYC_MOT,7,0.109127688
ROAD_CYC_MOT,8,0.104268763
ROAD_CYC_MOT,9,0.101370092
ROAD_CYC_MOT,10,0.078493525
ROAD_CYC_MOT,11,0.06268638
ROAD_CYC_MOT,12,0.050340959
ROAD_CYC_RUR,1,0.042115369
ROAD_CYC_RUR,2,0.049878955
ROAD_CYC_RUR,3,0.068035729
ROAD_CYC_RUR,4,0.092328241
ROAD_CYC_RUR,5,0.115285082
ROAD_CYC_RUR,6,0.119730361
ROAD_CYC_RUR,7,0.121212121
ROAD_CYC_RUR,8,0.11275983
ROAD_CYC_RUR,9,0.104683196
ROAD_CYC_RUR,10,0.076300192
ROAD_CYC_RUR,11,0.054762501
ROAD_CYC_RUR,12,0.042908423
ROAD_CYC_URB,1,0.057861924
ROAD_CYC_URB,2,0.064138118
ROAD_CYC_URB,3,0.075126671
ROAD_CYC_URB,4,0.088200338
ROAD_CYC_URB,5,0.098771868
ROAD_CYC_URB,6,0.103713589
ROAD_CYC_URB,7,0.1066536
ROAD_CYC_URB,8,0.095977814
ROAD_CYC_URB,9,0.095623345
ROAD_CYC_URB,10,0.083800746
ROAD_CYC_URB,11,0.070435163
ROAD_CYC_URB,12,0.059696824
ROAD_HGV_MOT,1,0.07626574
ROAD_HGV_MOT,2,0.079990955
ROAD_HGV_MOT,3,0.082585513
ROAD_HGV_MOT,4,0.081609578
ROAD_HGV_MOT,5,0.083668563
ROAD_HGV_MOT,6,0.085394301
ROAD_HGV_MOT,7,0.086263122
ROAD_HGV_MOT,8,0.083049677
ROAD_HGV_MOT,9,0.087143843
ROAD_HGV_MOT,10,0.087250958
ROAD_HGV_MOT,11,0.087584204
ROAD_HGV_MOT,12,0.079193545
ROAD_HGV_RUR,1,0.074804743
ROAD_HGV_RUR,2,0.079852843
ROAD_HGV_RUR,3,0.083043623
ROAD_HGV_RUR,4,0.082079246
ROAD_HGV_RUR,5,0.083936565
ROAD_HGV_RUR,6,0.086282027
ROAD_HGV_RUR,7,0.087413087
ROAD_HGV_RUR,8,0.085246214
ROAD_HGV_RUR,9,0.0886513
ROAD_HGV_RUR,10,0.087758358
ROAD_HGV_RUR,11,0.086567768
ROAD_HGV_RUR,12,0.074364225
ROAD_HGV_URB,1,0.075225558
ROAD_HGV_URB,2,0.080224724
ROAD_HGV_URB,3,0.083533697
ROAD_HGV_URB,4,0.08131978
ROAD_HGV_URB,5,0.082974266
ROAD_HGV_URB,6,0.086128502
ROAD_HGV_URB,7,0.087330683
ROAD_HGV_URB,8,0.083105197
ROAD_HGV_URB,9,0.088318614
ROAD_HGV_URB,10,0.088306711
ROAD_HGV_URB,11,0.088116266
ROAD_HGV_URB,12,0.075416002
ROAD_LGV_ALL,1,0.074507761
ROAD_LGV_ALL,2,0.078904053
ROAD_LGV_ALL,3,0.0812793
ROAD_LGV_ALL,4,0.082050214
ROAD_LGV_ALL,5,0.084300448
ROAD_LGV_ALL,6,0.086342327
ROAD_LGV_ALL,7,0.086175643
ROAD_LGV_ALL,8,0.084550474
ROAD_LGV_ALL,9,0.088009168
ROAD_LGV_ALL,10,0.087134076
ROAD_LGV_ALL,11,0.086404834
ROAD_LGV_ALL,12,0.080341702
ROAD_LGV_MOT,1,0.072970495
ROAD_LGV_MOT,2,0.078096349
ROAD_LGV_MOT,3,0.079700783
ROAD_LGV_MOT,4,0.082263711
ROAD_LGV_MOT,5,0.083972329
ROAD_LGV_MOT,6,0.085972662
ROAD_LGV_MOT,7,0.087389565
ROAD_LGV_MOT,8,0.088181364
ROAD_LGV_MOT,9,0.089014836
ROAD_LGV_MOT,10,0.08768128
ROAD_LGV_MOT,11,0.085243374
ROAD_LGV_MOT,12,0.079513252
ROAD_LGV_RUR,1,0.074228168
ROAD_LGV_RUR,2,0.078565738
ROAD_LGV_RUR,3,0.081231807
ROAD_LGV_RUR,4,0.082210755
ROAD_LGV_RUR,5,0.084918482
ROAD_LGV_RUR,6,0.086834719
ROAD_LGV_RUR,7,0.086897205
ROAD_LGV_RUR,8,0.085939087
ROAD_LGV_RUR,9,0.087834495
ROAD_LGV_RUR,10,0.086605604
ROAD_LGV_RUR,11,0.085689143
ROAD_LGV_RUR,12,0.079044797
ROAD_LGV_URB,1,0.07578693
ROAD_LGV_URB,2,0.079370039
ROAD_LGV_URB,3,0.082161532
ROAD_LGV_URB,4,0.081099098
ROAD_LGV_URB,5,0.083432285
ROAD_LGV_URB,6,0.086015457
ROAD_LGV_URB,7,0.084203071
ROAD_LGV_URB,8,0.079807512
ROAD_LGV_URB,9,0.087452868
ROAD_LGV_URB,10,0.087869508
ROAD_LGV_URB,11,0.089181926
ROAD_LGV_URB,12,0.083619774
