Pollutant,sector,month,coeff,coeff_l,coeff_u
NH3,1,1,1.09779417551289,1.09217270844446,1.10341564258132
NH3,1,2,1.07690443513788,1.07229924721178,1.08150962306399
NH3,1,3,1.05365843722592,1.04934997978853,1.05796689466331
NH3,1,4,1.0274889528697,1.02324867060601,1.0317292351334
NH3,1,5,1.00024805815846,0.995860220444258,1.00463589587266
NH3,1,6,0.974633886358175,0.970086012839748,0.979181759876603
NH3,1,7,0.953700952092466,0.949153078574039,0.958248825610893
NH3,1,8,0.94297246399354,0.938584626279339,0.94736030170774
NH3,1,9,0.943782870214024,0.939542587950326,0.948023152477722
NH3,1,10,0.955099580614861,0.950791123177473,0.959408038052249
NH3,1,11,0.974703939571041,0.970098751644938,0.979309127497143
NH3,1,12,0.999012248251037,0.99339078118261,1.00463371531946
NH3,10,1,0.931945157417563,0.890678951610406,0.973211363224719
NH3,10,2,1.29503900421511,1.25595177210089,1.33412623632934
NH3,10,3,1.64828753402309,1.6135629621277,1.68301210591847
NH3,10,4,1.48351943086069,1.45022159940778,1.5168172623136
NH3,10,5,0.886896663157451,0.850329741824653,0.92346358449025
NH3,10,6,0.467625432805363,0.428103301088018,0.507147564522707
NH3,10,7,0.477768565123345,0.438246433406,0.51729069684069
NH3,10,8,0.89951542736399,0.862948506031192,0.936082348696788
NH3,10,9,1.11616118904327,1.08286335759036,1.14945902049618
NH3,10,10,1.01542132544933,0.980696753553939,1.05014589734471
NH3,10,11,0.895160024318037,0.856072792203814,0.934247256432261
NH3,10,12,0.882660246222764,0.841394040415607,0.92392645202992
NH3,11,1,0.980498634890217,0.967485212014669,0.993512057765765
NH3,11,2,1.01795841647942,1.00645293547858,1.02946389748026
NH3,11,3,1.02237517870158,1.01196564252033,1.03278471488284
NH3,11,4,1.0019371586314,0.991728192406624,1.01214612485617
NH3,11,5,0.980620632100334,0.969804184210934,0.991437079989735
NH3,11,6,0.972251702725848,0.960842880511298,0.983660524940398
NH3,11,7,0.986170740475161,0.974761918260611,0.997579562689712
NH3,11,8,1.03322297259503,1.02240652470562,1.04403942048443
NH3,11,9,1.04571391461827,1.0355049483935,1.05592288084304
NH3,11,10,1.00976774554483,0.99935820936358,1.02017728172608
NH3,11,11,0.975452385967209,0.963946904966366,0.986957866968051
NH3,11,12,0.974030517270701,0.961017094395153,0.987043940146249
NH3,2,1,1.75851835663178,1.75845532192476,1.75858139133879
NH3,2,2,1.7454376279415,1.74537736750283,1.74549788838016
NH3,2,3,1.5132515823942,1.51319811270635,1.51330505208206
NH3,2,4,1.15361064629014,1.15355962344918,1.15366166913111
NH3,2,5,0.750026462425425,0.749970090154876,0.750082834695973
NH3,2,6,0.372885892063757,0.372824696013278,0.372947088114236
NH3,2,7,0.200321837568583,0.200260641518104,0.200383033619062
NH3,2,8,0.201995700674796,0.201939328404248,0.202052072945344
NH3,2,9,0.398281939084312,0.398230916243347,0.398332961925278
NH3,2,10,0.839230697605057,0.8391772279172,0.839284167292914
NH3,2,11,1.35501479213162,1.35495453169296,1.35507505257029
NH3,2,12,1.71142446518883,1.71136143048182,1.71148749989584
NH3,3,1,0.974018442536945,0.972211056149322,0.975825828924567
NH3,3,2,1.00040218312273,0.998675067760719,1.00212929848475
NH3,3,3,1.04142485059668,1.03989229028681,1.04295741090656
NH3,3,4,1.00348737136801,1.00202460330755,1.00495013942846
NH3,3,5,0.969271178073276,0.967655502348863,0.970886853797689
NH3,3,6,1.01116619909398,1.00941263225441,1.01291976593355
NH3,3,7,0.975377725959157,0.973624159119588,0.977131292798727
NH3,3,8,0.955540665668808,0.953924989944395,0.957156341393221
NH3,3,9,1.00264120066111,1.00117843260065,1.00410396872157
NH3,3,10,1.04904387698963,1.04751131667975,1.05057643729951
NH3,3,11,1.03505088652118,1.03332377115916,1.03677800188319
NH3,3,12,0.982575419408487,0.980768033020865,0.984382805796109
NH3,4,1,0.947839421931121,0.945491651035964,0.950187192826278
NH3,4,2,0.980524316161814,0.978283450482528,0.982765181841101
NH3,4,3,1.02671917171262,1.02473045904869,1.02870788437655
NH3,4,4,1.01583909920329,1.01393972651983,1.01773847188675
NH3,4,5,0.993065520766508,0.990969245784878,0.99516179574814
NH3,4,6,1.01413077380218,1.01185689807915,1.01640464952522
NH3,4,7,0.994346141558683,0.992072265835649,0.996620017281717
NH3,4,8,0.984392935871847,0.982296660890216,0.986489210853479
NH3,4,9,1.01353343013835,1.01163405745489,1.01543280282181
NH3,4,10,1.04431160737652,1.04232289471258,1.04630032004045
NH3,4,11,1.02673276547477,1.02449189979548,1.02897363115405
NH3,4,12,0.958564816002307,0.95621704510715,0.960912586897464
NH3,5,1,1.034553543602,1.03264666635767,1.03646042084634
NH3,5,2,0.960399917835643,0.958578359035425,0.962221476635861
NH3,5,3,0.988436345166202,0.986819915524908,0.990052774807496
NH3,5,4,1.00961887013174,1.00807575838016,1.01116198188333
NH3,5,5,0.982753975618435,0.981049951167714,0.984458000069156
NH3,5,6,0.987042634296905,0.985193491884843,0.988891776708966
NH3,5,7,1.02786416023041,1.02601501781834,1.02971330264247
NH3,5,8,1.029727547122,1.02802352267128,1.03143157157272
NH3,5,9,1.0067133047546,1.00517019300301,1.00825641650619
NH3,5,10,0.977138534894476,0.975522105253182,0.97875496453577
NH3,5,11,0.972465406674671,0.970643847874453,0.974286965474889
NH3,5,12,1.02328575967292,1.02137888242858,1.02519263691725
NH3,6,1,0.999879873151935,0.999800347913551,0.999959398390319
NH3,6,2,0.999901715004984,0.999832334919749,0.999971095090219
NH3,6,3,0.999923556852284,0.999863443783778,0.99998366992079
NH3,6,4,0.999945398658425,0.999893254122679,0.999997543194171
NH3,6,5,0.999967240335035,0.999921137182126,1.00001334348795
NH3,6,6,0.999989081744493,0.999946307825363,1.00003185566362
NH3,6,7,1.00001092273592,0.999968148816794,1.00005369665505
NH3,6,8,1.00003276320241,0.999986660049502,1.00007886635532
NH3,6,9,1.00005460312897,1.00000245859323,1.00010674766472
NH3,6,10,1.00007644260131,1.0000163295328,1.00013655566982
NH3,6,11,1.00009828177351,1.00002890168828,1.00016766185875
NH3,6,12,1.00012012081072,1.00004059557233,1.0001996460491
NH3,7,1,0.896256102663135,0.895211534615137,0.897300670711133
NH3,7,2,0.936642529836827,0.935654746120442,0.937630313553211
NH3,7,3,0.972104490335863,0.971226737291002,0.972982243380724
NH3,7,4,1.00052243674382,0.999680057019675,1.00136481646796
NH3,7,5,1.02292930222125,1.02200518864465,1.02385341579784
NH3,7,6,1.0402683595016,1.03927030895287,1.04126641005032
NH3,7,7,1.05100864154786,1.05001059099913,1.05200669209658
NH3,7,8,1.05360591905953,1.05268180548294,1.05453003263613
NH3,7,9,1.0454486153758,1.04460623565166,1.04629099509994
NH3,7,10,1.02627752675335,1.02539977370849,1.02715527979821
NH3,7,11,0.99654181267007,0.995554028953686,0.997529596386455
NH3,7,12,0.95839426329091,0.957349695242912,0.959438831338908
NH3,8,1,0.868838424425911,0.864409530024031,0.873267318827792
NH3,8,2,0.889463866973538,0.885241395394852,0.893686338552224
NH3,8,3,0.979489470228502,0.975741617225424,0.983237323231581
NH3,8,4,1.02574689832901,1.02216522525824,1.02932857139978
NH3,8,5,1.05944275484611,1.05549273151881,1.06339277817341
NH3,8,6,1.13286395457411,1.12858161328117,1.13714629586706
NH3,8,7,1.10227150978274,1.09798916848979,1.10655385107568
NH3,8,8,1.04209565916187,1.03814563583457,1.04604568248917
NH3,8,9,1.02569010530051,1.02210843222974,1.02927177837128
NH3,8,10,1.00045662973118,0.996708776728098,1.00420448273426
NH3,8,11,0.947444097430096,0.94322162585141,0.951666569008782
NH3,8,12,0.926196629216422,0.921767734814541,0.930625523618302
NH3,9,1,0.998388579480281,0.998294032050664,0.998483126909897
NH3,9,2,0.998681577015877,0.998599096634854,0.998764057396899
NH3,9,3,0.998974573391031,0.998903111485504,0.999046035296557
NH3,9,4,0.999267567194124,0.999205576428597,0.99932955795965
NH3,9,5,0.99956055695909,0.999505744421703,0.999615369496477
NH3,9,6,0.999853541415314,0.999802683611817,0.999904399218812
NH3,9,7,1.00014651969573,1.00009566189223,1.00019737749923
NH3,9,8,1.00043949161627,1.00038467907889,1.00049430415366
NH3,9,9,1.00073245786441,1.00067046709888,1.00079444862994
NH3,9,10,1.00102541975256,1.00095395784704,1.00109688165809
NH3,9,11,1.00131837887258,1.00123589849156,1.0014008592536
NH3,9,12,1.00161133674273,1.00151678931311,1.00170588417235
