sector,hour,coeff,coeff_l,coeff_u
1,0,0.896956941971584,0.891663524503146,0.902250359440022
1,1,0.870727041534942,0.865908357779618,0.875545725290266
1,2,0.862396565720836,0.856455312090255,0.868337819351418
1,3,0.859410608520136,0.853361979927056,0.865459237113216
1,4,0.861967404803242,0.856648981248741,0.867285828357744
1,5,0.885009160658312,0.878638654110879,0.891379667205746
1,6,0.938986292682434,0.933474104748355,0.944498480616512
1,7,1.00461874799348,0.998814019188284,1.01042347679867
1,8,1.05256813331964,1.04635324592653,1.05878302071274
1,9,1.07012237742141,1.06482739200574,1.07541736283709
1,10,1.07035629275657,1.06404254727175,1.0766700382414
1,11,1.06734272348625,1.06168598981196,1.07299945716053
1,12,1.06546410334949,1.0598073696752,1.07112083702378
1,13,1.06448820226915,1.05817445678433,1.07080194775398
1,14,1.06519742345626,1.05990243804059,1.07049240887194
1,15,1.07056153298591,1.06434664559281,1.07677642037901
1,16,1.08314595264265,1.07734122383746,1.08895068144785
1,17,1.09761375308173,1.09210156514765,1.10312594101581
1,18,1.10353175098493,1.09716124443749,1.10990225753236
1,19,1.09241072090639,1.08709229735189,1.09772914446089
1,20,1.06159766501278,1.0555490364197,1.06764629360586
1,21,1.01012005939113,1.00417880576055,1.01606131302171
1,22,0.948449603079147,0.943630919323823,0.953268286834471
1,23,0.896956941971584,0.891663524503146,0.902250359440023
2,0,0.783115142974871,0.777869551191834,0.788360734757909
2,1,0.620293970304283,0.615531451543545,0.62505648906502
2,2,0.517229164223075,0.511332588517073,0.523125739929076
2,3,0.463768253354976,0.457769692979191,0.469766813730761
2,4,0.464466973639366,0.45920848556023,0.469725461718501
2,5,0.540885294511924,0.534555916766557,0.54721467225729
2,6,0.703731848131434,0.698276897776068,0.7091867984868
2,7,0.897694123857256,0.891939380746353,0.903448866968158
2,8,1.04520537487759,1.03903370758729,1.05137704216789
2,9,1.11053280716576,1.10529851129244,1.11576710303908
2,10,1.12282197175683,1.11654923647949,1.12909470703416
2,11,1.11436413452839,1.10876048841911,1.11996778063767
2,12,1.09811081205259,1.09250716594331,1.10371445816187
2,13,1.07786554845708,1.07159281317974,1.08413828373442
2,14,1.06949106693964,1.06425677106632,1.07472536281296
2,15,1.11425726681934,1.10808559952904,1.12042893410964
2,16,1.24947743306458,1.24372268995368,1.25523217617549
2,17,1.42927833551098,1.42382338515561,1.43473328586634
2,18,1.55414750469235,1.54781812694698,1.56047688243771
2,19,1.55304021065677,1.54778172257764,1.55829869873591
2,20,1.43937232090377,1.43337376052798,1.44537088127956
2,21,1.24242419517928,1.23652761947328,1.24832077088528
2,22,1.005311103423,1.00054858466226,1.01007362218374
2,23,0.783115142974871,0.777869551191834,0.788360734757909
3,0,0.878175629465583,0.877187709614207,0.87916354931696
3,1,0.899462511581676,0.898565491551134,0.900359531612218
3,2,0.934956001543554,0.933845535859475,0.936066467227633
3,3,0.966850073200937,0.96572037247566,0.967979773926213
3,4,0.989467745531268,0.988477322625817,0.990458168436719
3,5,1.01115448844791,1.00996255857817,1.01234641831764
3,6,1.03864943936841,1.03762204353263,1.03967683520419
3,7,1.06533232742978,1.06424853326836,1.0664161215912
3,8,1.08007600065446,1.07891375122947,1.08123825007945
3,9,1.07999484836999,1.079008975329,1.08098072141098
3,10,1.07498487652998,1.07380361233934,1.07616614072062
3,11,1.07472626540353,1.07367089982803,1.07578163097902
3,12,1.07845333357701,1.07739796800151,1.0795086991525
3,13,1.08042689830524,1.0792456341146,1.08160816249588
3,14,1.07615015094885,1.07516427790786,1.07713602398984
3,15,1.06379587021075,1.06263362078576,1.06495811963574
3,16,1.04222457994272,1.0411407857813,1.04330837410413
3,17,1.01438411527675,1.01335671944097,1.01541151111253
3,18,0.985857217034357,0.984665287164623,0.987049146904091
3,19,0.96020952294582,0.959219100040369,0.961199945851271
3,20,0.935078040306134,0.933948339580857,0.93620774103141
3,21,0.907550056565285,0.906439590881207,0.908660522249364
3,22,0.883864377894444,0.882967357863902,0.884761397924986
3,23,0.878175629465583,0.877187709614207,0.87916354931696
4,0,0.900833989859551,0.898766923523042,0.902901056196061
4,1,0.918073769780924,0.916194121244214,0.919953418317634
4,2,0.946981075631066,0.944659578182076,0.949302573080056
4,3,0.973047131003589,0.970684411676331,0.975409850330847
4,4,0.991568572016499,0.989493656766006,0.993643487266992
4,5,1.0091781222194,1.0066878124069,1.0116684320319
4,6,1.03125631566101,1.02910501356526,1.03340761775676
4,7,1.05264330636259,1.05037618533134,1.05491042739384
4,8,1.06462227388457,1.06219329929531,1.06705124847382
4,9,1.06491223032986,1.06284661864353,1.06697784201619
4,10,1.06121343071665,1.05874535694185,1.06368150449146
4,11,1.06106919055357,1.05886057252084,1.06327780858629
4,12,1.06395771216558,1.06174909413286,1.0661663301983
4,13,1.065516424964,1.0630483511892,1.0679844987388
4,14,1.06221247143952,1.06014685975319,1.06427808312585
4,15,1.0523025701673,1.04987359557804,1.05473154475656
4,16,1.03458771634259,1.03232059531134,1.03685483737384
4,17,1.0115765500395,1.00942524794375,1.01372785213525
