Profile_ID,longname,SNAP,emission,prop,species
RAIL_FRE,Railways (freight),8,0.0150440279036984,0.0164229111522596,n2o
SHIP_REC,Shipping (recreational),8,0.00484313818580309,0.00528704337912099,n2o
MISC_ANY,Miscellaneous,9,5.98097785534612,1,n2o
AGRI_SPR_FER,Agricultural spreading (fertilisers),10,24.6607478374078,0.486883859246919,n2o
AGRI_HOU_CAT,Agricultural housing (cattle),10,5.95068785873776,0.117486050663927,n2o
MISC_ANY,Miscellaneous,10,5.80354532117014,0.114580975480375,n2o
AGRI_SPR_CAT,Agricultural spreading (cattle),10,3.78438467810632,0.0747161371220199,n2o
AGRI_GRZ_CAT,Agricultural grazing (cattle),10,1.78804021153701,0.0353017647486448,n2o
AGRI_SPR_BIO,Agricultural spreading (biosolids),10,1.09481355601504,0.0216152021351059,n2o
AGRI_SPR_POU,Agricultural spreading (poultry),10,1.04058384073172,0.0205445301004585,n2o
AGRI_HOU_POU,Agricultural housing (poultry),10,1.03716210511653,0.0204769738425288,n2o
AGRI_GRZ_SHP,Agricultural grazing (sheep),10,1.03343256010283,0.020403340419833,n2o
AGRI_HOU_PIG,Agricultural housing (pigs),10,0.994668463766511,0.0196380103110754,n2o
AGRI_SPR_NMD,Agricultural spreading (non-manure digestate),10,0.970717753301662,0.0191651449130057,n2o
AGRI_HOU_MLI,Agricultural housing (minor livestock),10,0.55001973460883,0.0108591893811953,n2o
AGRI_SPR_PIG,Agricultural spreading (pigs),10,0.454519077009928,0.00897369389505113,n2o
AGRI_GRZ_MLI,Agricultural grazing (minor livestock),10,0.360141164291327,0.00711036506678266,n2o
AGRI_YRD_CAT,Agricultural yarding (cattle),10,0.211759066523557,0.00418081690868756,n2o
AGRI_SPR_OTH,Agricultural spreading (miscellaneous),10,0.204981277944314,0.00404700118329354,n2o
AGRI_STO_CAT,Agricultural storage (cattle),10,0.186713037438803,0.00368632633686889,n2o
AGRI_GRZ_PIG,Agricultural grazing (pigs),10,0.173600437358229,0.00342744070314504,n2o
AGRI_GRZ_POU,Agricultural grazing (poultry),10,0.12737354286981,0.00251477053848036,n2o
AGRI_STO_SHP,Agricultural storage (sheep),10,0.104225144071878,0.00205774539810616,n2o
AGRI_STO_PIG,Agricultural storage (pigs),10,0.0434983091028027,0.000858798960450105,n2o
AGRI_STO_POU,Agricultural storage (poultry),10,0.0396858442322462,0.000783528428442793,n2o
AGRI_STO_MLI,Agricultural storage (minor livestock),10,0.0180058074155373,0.00035549355847333,n2o
AGRI_HOU_SHP,Agricultural housing (sheep),10,0.0168584342233391,0.000332840657129987,n2o
MISC_ANY,Miscellaneous,11,4.77862171038845,1,n2o
ENER_OTH,Energy generation (other not stated),1,8.03058374585,0.514294836326298,ch4
INDU_EXT_PAG,Extraction Of Crude Petroleum And Natural Gas,1,4.04213627750489,0.258866588163316,ch4
MISC_ANY,Miscellaneous,1,2.54357266506742,0.162895541453124,ch4
